,logFC,AveExpr,t,P.Value,adj.P.Val
CD38,1.03701734313752,0.512117427269703,17.2928514679876,1.53155368804085e-66,2.35859267958291e-64
CD45RA,0.840819380422624,-0.0118257581888448,11.8834788939737,1.07187723678315e-32,8.25345472323027e-31
CD27,0.38747248119939,0.664593431728493,4.46809206096293,3.98022863730122e-06,7.66194012680485e-05
CD48,0.429711800801296,0.908240729710604,3.85285043945395,5.86635428341135e-05,9.4034129852136e-04
HLA-A;B;C,0.343717262199229,0.393866461771909,3.74019560771015,9.23439446784295e-05,0.00129281522549801
CD39,0.329867302318887,1.49350262340341,3.54339134349046,1.98219037209195e-04,0.002543810977518
CD19,0.325696055573371,0.554347015491645,3.32067786342492,4.50265001706842e-04,0.00495291501877526
CD71,0.313969186235235,0.132681740807897,2.97825952243265,0.00145220191880588,0.0149092730330737
IgD,0.205132619081815,0.60693098538978,1.69650942899678,0.0449074394660791,0.301967984987145
CD63,0.141070134698707,0.237202122400423,0.64034631285097,0.261065330215269,0.998951933547043
CD55,0.129009639856021,1.00312687868987,0.449266274137244,0.326819440367686,0.998951933547043
integrin β7,0.117665438143868,0.586057489516863,0.304830427266654,0.380336876167494,0.998951933547043
CD352 (NTB-A),0.117330657073006,1.0928878259069,0.296578265190383,0.383497058054485,0.998951933547043
CD62P (P-Selectin),0.113079055976314,1.00835833002895,0.22243173370171,0.412136434641185,0.998951933547043
CD49f,0.0838615890942412,1.46276723300549,0,0.613512076472207,0.998951933547043
CD335 (NKp46),0.0805710459253565,1.07298112506677,0,0.632089983786286,0.998951933547043
CD303 (BDCA-2),0.0764527858179472,1.79482522665276,0,0.703690381459185,0.998951933547043
CD146,0.0685704349029984,0.989089788735146,0,0.704833180680231,0.998951933547043
CD42b,0.0620047114458684,1.29770522171493,0,0.758633482650809,0.998951933547043
CD194 (CCR4),0.0564086274932741,0.922421355738711,0,0.763235112917487,0.998951933547043
CD73 (Ecto-5'-nucleotidase),0.0568180506047307,1.0077184107336,0,0.765979107264706,0.998951933547043
CD99,0.0435019076214239,0.81121057744433,0,0.813206199895711,0.998951933547043
CD185 (CXCR5),0.0503756918659832,1.60348764145156,0,0.841295832991118,0.998951933547043
CD94,0.0432516430394411,1.04800416742025,0,0.841375802545918,0.998951933547043
CD131,0.0423455295902806,1.45208030358869,0,0.864861188685871,0.998951933547043
CD95 (Fas),0.04412973366458,0.618402856460441,0,0.867767658632239,0.998951933547043
CD26,0.0439714259246222,1.93546148821706,0,0.873574578273663,0.998951933547043
CD62L,0.034558647467731,0.383241043937709,0,0.873716129404574,0.998951933547043
CD57 Recombinant,0.0368892092533177,1.18431918367812,0,0.874035913459597,0.998951933547043
CD25,0.0312860935535709,0.729570843962221,0,0.880090466977994,0.998951933547043
CD162,0.0247589029084946,0.709447284596907,0,0.892018152380399,0.998951933547043
CD115 (CSF-1R),0.0414574213360823,1.82112612455166,0,0.900132112580856,0.998951933547043
CD196 (CCR6),0.0352946661863947,0.692716255742316,0,0.900549952394035,0.998951933547043
Podoplanin,0.0393972408969814,2.03908251278808,0,0.904375572231014,0.998951933547043
CD52,0.0295956403103344,0.758460253639089,0,0.905893586280557,0.998951933547043
CD272 (BTLA),0.0337538713290273,1.63649422791094,0,0.913785468030864,0.998951933547043
CD268 (BAFF-R),0.0228938180714458,0.914448202378959,0,0.920506589694131,0.998951933547043
CD274 (B7-H1; PD-L1),0.0289687232175641,0.866928390606601,0,0.921175511033702,0.998951933547043
CD83,0.0401646362066217,1.73982745395109,0,0.928746042475921,0.998951933547043
CD45,0.0139766044108492,0.801180366681971,0,0.942177847671902,0.998951933547043
CD47,0.0128341326121424,0.274906326292102,0,0.957607507424484,0.998951933547043
CD5,0.00871755774650954,0.154685507922868,0,0.961391755687452,0.998951933547043
CD152 (CTLA-4),0.0179999864117704,1.65899827521498,0,0.964865359685276,0.998951933547043
CD137 (4-1BB),0.0197523956248359,2.20915537966045,0,0.966360589093702,0.998951933547043
CD319 (CRACC),0.015008993882723,1.47731437222777,0,0.966893397003065,0.998951933547043
LOX-1,0.0247604116061013,1.05734277703682,0,0.968453322397995,0.998951933547043
CD28,0.0112599527784794,0.811188022765215,0,0.978200925260292,0.998951933547043
TCR Vα7.2,0.00669932107637108,1.37140582010695,0,0.981605639093449,0.998951933547043
CD24,0.00901007979687272,2.04337792762822,0,0.98697546035117,0.998951933547043
CD150 (SLAM),0.0137237844117189,2.06554379152141,0,0.989725282844566,0.998951933547043
CD154,0.00920123620860069,1.81300462682245,0,0.99049579171538,0.998951933547043
CD267 (TACI),0.00557628206492168,1.42072503705868,0,0.990519520748984,0.998951933547043
CD134 (OX40),0.00441929139583811,1.54026287275704,0,0.997126071867993,0.998951933547043
CD23,0.00433086646944614,1.03445682405309,0,0.998270438718432,0.998951933547043
