,logFC,AveExpr,t,P.Value,adj.P.Val
CD8,0.701014540516266,0.505330659775095,19.7025289659311,3.67155641423264e-85,5.65419687791826e-83
CD49a,0.453322489686605,1.07050945551729,10.5237396442415,4.53319152258704e-26,3.49055747239202e-24
CD103 (Integrin αE),0.313766251585711,1.0934509086846,6.47326739091868,5.01302150117316e-11,2.57335103726889e-09
CD11a,0.251652237790253,0.678759367479056,5.66316401796418,7.628994702563e-09,2.93716296048676e-07
CD314 (NKG2D),0.159659229851188,1.28481090357007,3.03846986791543,0.00119188666622669,0.0360660739776101
CD48,0.185258493672439,0.929562960623818,2.98847366957606,0.00140517171341338,0.0360660739776101
CD45,0.149789066734882,0.842111585263414,1.95905344969272,0.0250666995617292,0.45501772467993
CD99,0.150873988437193,0.894028571476938,1.93364661192616,0.0265919449488271,0.45501772467993
integrin β7,0.14258807536396,0.690173186523905,1.78219643989871,0.0373732896900106,0.575548661226163
CD279 (PD-1),0.12611635353027,1.67320454319123,1.45736709951938,0.0725227419700564,0.999999999999963
CD57 Recombinant,0.104448268847385,1.00459916850045,0.208055360032444,0.417594922645669,0.999999999999963
CD244 (2B4),0.1032126464243,0.847270064347105,0.137443140744466,0.445341606509798,0.999999999999963
CD45RO,0.10058577781988,0.738468322613069,0.0282049160488035,0.488749630708886,0.999999999999963
CD3,0.0983341460463461,0.870837016224588,0,0.526240562667226,0.999999999999963
CD18,0.0981045644989221,0.536684704153811,0,0.531792363529373,0.999999999999963
CD2,0.0899363392202865,0.599561146960462,0,0.650797632253239,0.999999999999963
CD195 (CCR5),0.0861445611943849,1.15723198044814,0,0.749541553347318,0.999999999999963
CD38,0.0832440138849051,1.15473488257294,0,0.788333559630902,0.999999999999963
CD44,0.0789081846494039,0.498729012047079,0,0.805278683256961,0.999999999999963
CD5,0.0696344273597503,0.597488306120043,0,0.833063589681277,0.999999999999963
CD29,0.0727972647808539,0.510201452317404,0,0.881771789998303,0.999999999999963
CD27,0.0658733061198126,0.611064557788027,0,0.920241652640379,0.999999999999963
KLRG1 (MAFA),0.066965767363835,0.866686238453857,0,0.933127830166176,0.999999999999963
TCR α/β,0.0630004002659692,1.10156334601022,0,0.958761173660464,0.999999999999963
CD352 (NTB-A),0.0583104422091626,0.968594772988374,0,0.967815754423913,0.999999999999963
