,logFC,AveExpr,t,P.Value,adj.P.Val
CD101 (BB27),0.219692204844443,0.0430025317342558,16.9612289387997,9.40493965413276e-65,1.44836070673644e-62
CD71,0.187502215705561,0.704027998519394,9.06195659512446,6.49657457501863e-20,3.3349082818429e-18
CD9,0.165671212921513,1.2556333814723,8.86335349407093,3.93208932051448e-19,1.51385438839808e-17
CD169 (Sialoadhesin; Siglec-1),0.138989654914164,0.852728848005343,7.40503415266002,6.597234204924e-14,1.69329011259716e-12
CD141 (Thrombomodulin),0.148254683722581,0.14641826309882,6.81745175217491,4.65460931596836e-12,1.02401404951304e-10
CD278 (ICOS),0.103561949118388,0.264760069549132,0.526491301001176,0.299273919245456,1
CLEC12A,0.0983683623592792,0.964129257370526,0,0.577280854182355,1
CD172a (SIRPα),0.0978221800933566,1.51452759391232,0,0.603389120446864,1
CD11a,0.0951885017021412,0.364402256881,0,0.74024563115473,1
CD31,0.0923793919725943,0.445985465093307,0,0.83540998985199,1
CD81 (TAPA-1),0.0869268682763047,0.138376557601501,0,0.992938998444874,1
CD162,0.0774182714766878,0.352153553667014,0,0.997715754019829,1
CD354 (TREM-1),0.0751283405598384,0.342330183678046,0,0.999975237396015,1
CD35,0.0679979211186046,1.10812475371747,0,0.999986321708559,1
CD107a (LAMP-1),0.0577418679320199,0.00699491683263942,0,0.999999985207971,1
CD52,0.0669916922214769,0.488099158436914,0,0.999999990339952,1
CD69,0.0582002660725161,0.623828616263674,0,0.999999997469383,1
CD32,0.0511384202590227,0.0769206961925959,0,0.99999999985089,1
CD16,0.0511404165724098,0.246834951610624,0,0.999999999881392,1
CD63,0.0478814576997461,0.025947536906529,0,0.99999999999944,1
CD64,0.0483490507049859,0.330808003117459,0,0.999999999999952,1
CD163,0.0538890430741785,0.541277985957395,0,0.999999999999958,1
CD11c,0.0277905097553891,0.908680184025579,0,0.999999999999997,1
CD274 (B7-H1; PD-L1),0.0509370131642938,0.390696675142142,0,1,1
CD270 (HVEM; TR2),0.0052786580281011,1.00883467806219,0,1,1
CD155 (PVR),0.0327637832110569,0.301471629296117,0,1,1
CD47,0.0360784131582659,0.148665098498654,0,1,1
CD40,0.0147542553315339,0.425808270484646,0,1,1
CD33,0.0168122319550898,1.09491652885617,0,1,1
CD45RA,0.0015975569657217,0.448358755731072,0,1,1
CD123,0.0264872898729033,0.211490898616077,0,1,1
CD7,0.0066837577711747,0.522790120788879,0,1,1
CD194 (CCR4),3.55410617364641e-04,0.945603125100576,0,1,1
CD4,0.0119989864362373,0.828499507034344,0,1,1
CD20,0.00404090804367535,0.865744577938241,0,1,1
CD62L,0.00520229741447537,0.365939990323359,0,1,1
KLRG1 (MAFA),0.0018959093129959,0.461565292408369,0,1,1
CD95 (Fas),0.0145780027939768,0.548644206475708,0,1,1
CD275 (B7-H2; B7-RP1; ICOSL),0.0295681237481053,0.891843599258106,0,1,1
CD58 (LFA-3),0.0282857099018273,0.292516829040881,0,1,1
CD21,0.00923302260524978,0.535316938947251,0,1,1
CD42b,1.40578267992297e-04,1.30596319426698,0,1,1
CD2,0.00682814230657179,0.351253039642865,0,1,1
CD29,0.022205086680248,0.320896754902734,0,1,1
IgD,3.30868695670804e-04,0.613752759020076,0,1,1
CD18,9.01934588380456e-04,0.745287785332636,0,1,1
CD28,0.00220996015711442,0.584416939542374,0,1,1
CD22,0.0014078230459458,0.616502184622046,0,1,1
CD26,0.00265763462054556,1.83764231076329,0,1,1
CD304 (Neuropilin-1),0.0188629207213255,0.386558815963395,0,1,1
CD158 (KIR2DL1/S1/S3/S5),0.00817057741179142,0.744316058365586,0,1,1
CD200 (OX2),0.00290592853928158,1.01704566638065,0,1,1
CD49a,0.0100374916156101,0.199811893428916,0,1,1
CD49d,0.0195358909661018,0.404832406195313,0,1,1
LOX-1,0.0181349421482632,0.567662216294099,0,1,1
CD158e1 (KIR3DL1; NKB1),5.46076315835146e-04,1.20075053778881,0,1,1
CD142,0.0015549698023719,1.00210305026945,0,1,1
CD151 (PETA-3),0.0324575313870161,0.290858803282023,0,1,1
Ig light chain κ,0.0242056639829607,0.16472296981523,0,1,1
CD85j (ILT2),0.0229879857991884,0.618059364771864,0,1,1
Ig light chain λ,0.0145615250928556,0.109475172398469,0,1,1
GPR56,9.83721953043128e-04,1.04162832564592,0,1,1
CD74,0.0110259646390396,0.433572233663597,0,1,1
CD88 (C5aR),0.0128796907343171,0.775025520714469,0,1,1
