,logFC,AveExpr,t,P.Value,adj.P.Val
CD49b,1.34406426453563,-0.0843343419912139,46.4083187328107,0,0
CD142,1.4507008901992,0.633984154768315,59.7081987888828,0,0
CD9,1.34630192098838,0.0892793579132471,36.73617154783,9.69566519977967e-279,4.9771081358869e-277
CD151 (PETA-3),0.707286560988188,0.355900872514476,24.7193028201105,1.45917325980841e-131,4.4942536402099e-130
CD95 (Fas),0.535766884263432,0.656065918742593,19.4574623714977,3.32146747124972e-83,8.52509984287427e-82
CD49f,0.415440263919095,1.4844669737941,12.869585927634,6.32180607064248e-38,9.73558134878942e-37
CD29,0.258905542462221,0.470453256659557,6.23515020088837,2.34137568014433e-10,1.71700883210584e-09
CD55,0.210111098728862,0.986999856639347,3.87380619466265,5.38919020322586e-05,2.76645097098927e-04
CD47,0.171076336196415,0.343568274047757,2.67805916641971,0.00370813081798032,0.0173046104839082
CD38,0.157902566832936,0.552524392292354,2.42804017476778,0.00759847524480342,0.0325045885472146
CD26,0.145192643009372,1.92521681111287,2.10635718659855,0.0175982192874236,0.0713190992174534
CD112 (Nectin-2),0.123172426899815,0.925156883342075,1.11426158431867,0.132595937908304,0.453772765286194
CD56 (NCAM),0.126772277501108,1.12532966664497,1.07012160329289,0.142294292628208,0.47637654488574
GPR56,0.108949269214555,1.08257288441316,0.349600317106659,0.363322758107452,0.999999999466201
CD146,0.099143150354405,1.01658795400773,0,0.51325426650983,0.999999999466201
CD81 (TAPA-1),0.0987994215486856,0.38150324764464,0,0.523981055775144,0.999999999466201
CD73 (Ecto-5'-nucleotidase),0.0895513838277645,1.01817854295667,0,0.650884848616721,0.999999999466201
HLA-A;B;C,0.0813667082168402,0.415803484564059,0,0.741880563947342,0.999999999466201
CD82,0.0853199539595735,0.777891706300082,0,0.778556885840864,0.999999999466201
CD63,0.0661111122997536,0.258389233295683,0,0.88258847065606,0.999999999466201
CD268 (BAFF-R),0.0650300209114376,0.923845625444032,0,0.908053323542984,0.999999999466201
CD49a,0.0642818578333908,1.04029651792008,0,0.909250825583578,0.999999999466201
CD270 (HVEM; TR2),0.0694846924676825,1.70394793717737,0,0.952809319489929,0.999999999466201
CD7,0.055894446591213,0.53581213781951,0,0.954105893400181,0.999999999466201
CD24,0.0572809890833137,2.10672383592713,0,0.984877695650139,0.999999999466201
TCR α/β,0.0449634066964937,1.25698343495709,0,0.989615545954469,0.999999999466201
CD8,0.0358449599961479,0.460529750221906,0,0.993190900917436,0.999999999466201
Podoplanin,0.0483350117960588,2.06872602369425,0,0.994209377719406,0.999999999466201
CD279 (PD-1),0.0517158651949236,2.12499842506601,0,0.995372775069241,0.999999999466201
CD99,0.0200904531126845,0.799694264837,0,0.996062602750355,0.999999999466201
CD158e1 (KIR3DL1; NKB1),0.0385267362183661,1.32064848434234,0,0.99644325285498,0.999999999466201
CD278 (ICOS),0.0356231107105718,1.38330009502379,0,0.996830042007218,0.999999999466201
CD61,0.0202132303468111,0.847460135107896,0,0.998043208318693,0.999999999466201
CD88 (C5aR),0.0319248622327217,1.66790932712662,0,0.999284690209124,0.999999999466201
CD155 (PVR),0.0204325981880445,0.713365063451548,0,0.999405414017347,0.999999999466201
CD62P (P-Selectin),0.0162421957244054,1.00153113768266,0,0.99943264634878,0.999999999466201
CD272 (BTLA),0.0282510222656762,1.66341369775801,0,0.999595446144604,0.999999999466201
CD131,0.0212421489342455,1.46113512076715,0,0.999642487898427,0.999999999466201
CD3,0.00518082605660738,0.793949008364813,0,0.999730184871735,0.999999999466201
CD303 (BDCA-2),0.0326021447007707,1.81899680895372,0,0.999744629184396,0.999999999466201
