,logFC,AveExpr,t,P.Value,adj.P.Val
CD5,0.326154660765087,0.59682075073099,6.53724671201121,3.28045965235868e-11,1.01038157292647e-09
CD95 (Fas),0.212555290104142,0.682493537586171,5.1643338549866,1.22888010852655e-07,3.15412561188482e-06
CD26,0.208593967269413,1.57386091078749,3.6413510481325,1.36266340853279e-04,0.00299785949877214
CD4,0.170156185923202,0.619923168407928,2.48370057003701,0.00650909573818269,0.111377860408904
CD45RO,0.146941859450445,0.738602656753968,2.08139418388658,0.0187111619973583,0.282313770137252
CD45,0.0954096407574447,0.843429956343316,0,0.56600209370804,0.999999999995328
CD49f,0.0907972352574782,0.968375660073476,0,0.639483005376222,0.999999999995328
CD278 (ICOS),0.0903089039002739,0.291940357745133,0,0.646248601804527,0.999999999995328
CD55,0.0885931013938155,0.788409967250537,0,0.674224891649719,0.999999999995328
CD161,0.0595863044390253,1.16315725712081,0,0.962931405680397,0.999999999995328
CD54,0.0488457999773246,0.776268211842107,0,0.9680889666174,0.999999999995328
CD49d,0.0536433077028865,0.473709589427671,0,0.968381010760286,0.999999999995328
TCR α/β,0.0549389541045153,1.10212366528148,0,0.974255687765736,0.999999999995328
HLA-A;B;C,0.0472986616093657,0.821096522763228,0,0.97711953676224,0.999999999995328
CD1c,0.0327845465211137,0.66366888985993,0,0.995804693296204,0.999999999995328
CD196 (CCR6),0.0388718100435623,0.753747097201201,0,0.997079933641231,0.999999999995328
CD123,0.0335434866029752,0.91107741252192,0,0.997510755315909,0.999999999995328
CD47,0.0289026062852732,0.317074888503325,0,0.997906686942305,0.999999999995328
CD3,0.0196145627229072,0.869370520258266,0,0.998178632773144,0.999999999995328
CD69,0.0224119104209279,0.567097760347732,0,0.998492081367632,0.999999999995328
CD52,0.03039584202908,0.621963994576268,0,0.998536697157907,0.999999999995328
CD64,0.0263006011998917,0.671478060072139,0,0.998587147067903,0.999999999995328
CD44,0.019939212307653,0.498965977071758,0,0.998626472017903,0.999999999995328
CD150 (SLAM),0.045273759398945,1.72956870996945,0,0.998693459908933,0.999999999995328
CD32,0.0117167042694016,0.536689440144057,0,0.999194758052537,0.999999999995328
CD16,0.0206723543916667,0.326562265233036,0,0.999471295922441,0.999999999995328
CD172a (SIRPα),0.0172635662866114,0.98558171518918,0,0.99955750015642,0.999999999995328
CD38,0.0231722868444573,1.1547459033128,0,0.999634722139236,0.999999999995328
CD18,0.01100474690749,0.537007991283682,0,0.999727634165394,0.999999999995328
CD35,0.0121038897110497,0.731603640247862,0,0.999743575477238,0.999999999995328
CD28,0.0239858172893974,0.701119086658182,0,0.999796339716621,0.999999999995328
CD49b,0.0135210126451346,1.00385193063006,0,0.999807448100626,0.999999999995328
CLEC12A,0.00828007321722949,0.532905835479005,0,0.999843943147901,0.999999999995328
CD25,0.00660649957368623,0.662371983567806,0,0.999878235643833,0.999999999995328
TCR Vα7.2,0.0194551419841018,1.21123921499808,0,0.999878694282331,0.999999999995328
CD134 (OX40),0.0341254290960199,1.37177407849388,0,0.999900848501424,0.999999999995328
CD328 (Siglec-7),0.00539629293072863,0.581790236165703,0,0.999903222761461,0.999999999995328
IgD,0.00820831408973796,0.539075413387899,0,0.999956108751348,0.999999999995328
CD226 (DNAM-1),0.010201690107039,1.10517004639642,0,0.999957099683667,0.999999999995328
CD62L,0.0063542452221686,0.346793673905596,0,0.999962036128501,0.999999999995328
CD21,0.0117180711286326,0.431847139194378,0,0.999963635898519,0.999999999995328
CD304 (Neuropilin-1),0.00768741505191287,0.95683965381,0,0.999969049696922,0.999999999995328
CD194 (CCR4),0.00225413860413286,0.850094113101817,0,0.999970682341885,0.999999999995328
NKp80,0.0184330779650121,1.76110372368783,0,0.999976599796772,0.999999999995328
CD41,0.0201121473927948,0.26252932663449,0,0.999981885726585,0.999999999995328
CD319 (CRACC),0.0144002917683141,1.36795618453157,0,0.999982670161012,0.999999999995328
CD43,8.52494516077799e-04,0.845324666147363,0,0.999984928189485,0.999999999995328
CD20,0.00446067734363819,0.767133293849873,0,0.999985980490788,0.999999999995328
CD24,0.0124066094768706,1.84432341786576,0,0.999988621225222,0.999999999995328
CD40,0.0020313450254673,0.971954006936967,0,0.999990512863835,0.999999999995328
CD137 (4-1BB),0.0107962057225679,1.95640445058242,0,0.999991108033865,0.999999999995328
CD223 (LAG-3),0.0116113019741458,1.5302239135379,0,0.999991592895267,0.999999999995328
CD72,0.00123436939280426,0.725818199087305,0,0.999992887888066,0.999999999995328
CD83,0.016143372248546,1.6033359324458,0,0.999993371151154,0.999999999995328
CD274 (B7-H1; PD-L1),0.00571009663626869,1.21532049322099,0,0.999993575831672,0.999999999995328
KLRG1 (MAFA),9.09125092021158e-04,0.880821725108534,0,0.999994886054851,0.999999999995328
