,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R,8,Up,1.67701337983213e-236,2.56750748452299e-233
2,REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN,12,Up,8.00372490494093e-151,6.12685141473228e-148
3,REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R,38,Up,3.63963804644036e-39,1.85742861636673e-36
4,REACTOME_PEPTIDE_HORMONE_METABOLISM,59,Up,4.49561397076007e-36,1.72069624730842e-33
5,REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS,5,Up,2.87592025632163e-31,8.80606782485683e-29
6,REACTOME_MODULATION_BY_MTB_OF_HOST_IMMUNE_SYSTEM,7,Up,4.91207143337384e-17,1.07434019492791e-14
7,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,109,Up,2.5366207180778e-13,4.31507368819679e-11
8,REACTOME_SIGNALING_BY_ACTIVIN,13,Up,4.61329180123997e-12,6.42086340699854e-10
9,REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,10,Up,2.21830550935335e-11,2.6124813344769e-09
10,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,91,Up,6.26969829475712e-11,6.85636292090939e-09
11,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,6,Up,1.25024705436746e-08,1.27608549349106e-06
12,REACTOME_SYNTHESIS_OF_LIPOXINS_LX,5,Up,5.44626935317017e-06,3.7901083544107e-04
13,REACTOME_ANTIMICROBIAL_PEPTIDES,31,Up,6.53884771216667e-06,4.35259819449007e-04
14,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,12,Up,9.92247762356081e-06,6.3297138506965e-04
15,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,221,Up,3.94227879515092e-05,0.00241425153415042
16,REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,27,Up,1.06997158454022e-04,0.00585045177118244
17,REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS,7,Up,1.46466346480479e-04,0.00773241298143494
18,REACTOME_AMYLOID_FIBER_FORMATION,41,Up,1.68517779080773e-04,0.00860002399242214
19,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,33,Up,9.52019327013002e-04,0.0470174706340938
20,REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,48,Up,0.00779796097269807,0.298466956230019
21,REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,14,Up,0.00992143176151546,0.370480781143419
22,REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX,16,Up,0.0170687962589617,0.568094066792835
23,REACTOME_OTHER_INTERLEUKIN_SIGNALING,21,Up,0.0194237327928216,0.619536143871039
24,REACTOME_NEUROTRANSMITTER_CLEARANCE,7,Up,0.022107262287736,0.69073915433722
25,REACTOME_COMPLEMENT_CASCADE,37,Up,0.0256912043912451,0.786664678459924
26,REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,29,Up,0.0374713789728822,0.990599889763568
27,REACTOME_HEMOSTASIS,492,Up,0.0461069928989049,0.990599889763568
28,REACTOME_ETHANOL_OXIDATION,9,Up,0.0464227295912631,0.990599889763568
29,REACTOME_NEUTROPHIL_DEGRANULATION,443,Up,0.0579681379635218,0.990599889763568
30,REACTOME_SIGNALING_BY_TGF_BETA_FAMILY_MEMBERS,95,Up,0.0609466063075839,0.990599889763568
31,REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION,36,Up,0.0708885686864123,0.990599889763568
32,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,444,Up,0.0754628167681556,0.990599889763568
33,REACTOME_TRANSPORT_OF_ORGANIC_ANIONS,4,Up,0.0903021862421389,0.990599889763568
34,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,91,Up,0.147607602805128,0.990599889763568
35,REACTOME_SIGNALING_BY_PDGF,52,Up,0.161744615804541,0.990599889763568
36,REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,53,Up,0.1675690072664,0.990599889763568
37,REACTOME_ARACHIDONIC_ACID_METABOLISM,43,Up,0.205084236127991,0.990599889763568
38,REACTOME_HEME_DEGRADATION,9,Up,0.278935702270474,0.990599889763568
39,REACTOME_INNATE_IMMUNE_SYSTEM,901,Up,0.283895916365378,0.990599889763568
40,REACTOME_GLYCEROPHOSPHOLIPID_CATABOLISM,7,Up,0.329418107230995,0.990599889763568
41,REACTOME_O_LINKED_GLYCOSYLATION,88,Up,0.350925249280574,0.990599889763568
42,REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,5,Up,0.417273161526841,0.990599889763568
43,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,56,Up,0.435647520575008,0.990599889763568
44,REACTOME_DISEASES_OF_GLYCOSYLATION,118,Up,0.468296278116816,0.990599889763568
45,REACTOME_METABOLISM_OF_PORPHYRINS,20,Up,0.506824942154559,0.990599889763568
46,REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES,32,Up,0.63333221112504,0.990599889763568
47,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,78,Up,0.648493572657666,0.990599889763568
48,REACTOME_FATTY_ACID_METABOLISM,153,Up,0.662731763802594,0.990599889763568
49,REACTOME_DISEASES_OF_METABOLISM,203,Up,0.66915451668946,0.990599889763568
50,REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,345,Up,0.681484566785368,0.990599889763568
