,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,ANLN,2.78939157471743,-1.53958828370739,75.3513693899535,0,0
2,ARHGAP11A,1.79568235933308,-1.54121808459175,44.6993991955933,0,0
3,ASPM,3.84838121730268,-1.52895359677217,90.6633049038305,0,0
4,AURKA,2.53956260915136,-1.5162077560906,54.0268054657648,0,0
5,BIRC5,2.93495706285616,-1.52755256754202,71.6678332828633,0,0
6,BUB1,1.73497525774311,-1.55096633798592,48.7835534439864,0,0
7,BUB1B,1.44080727525922,-1.56050355718232,45.0380922871771,0,0
8,CCNA2,1.92314952812276,-1.54971008306859,55.9935528773521,0,0
9,CCNB1,3.38089396924149,-1.51608163511312,74.1384771232865,0,0
10,CCNB2,2.7747182881578,-1.53175583863201,68.7843341382289,0,0
11,CDC20,2.57541446628274,-1.55691422410904,84.5121528583682,0,0
12,CDCA2,1.47459771855217,-1.56497484751756,51.9443423012248,0,0
13,CDCA8,1.72129711955462,-1.5485315064684,45.7189796221002,0,0
14,CDK1,3.30546218339357,-1.50523906176491,72.6818954909765,0,0
15,CDKN3,2.43353710361894,-1.52945908414061,57.5483588831225,0,0
16,CENPA,1.8681520006867,-1.55597205377787,57.8690676286269,0,0
17,CENPE,2.89181655587569,-1.47854001895661,50.8182973881471,0,0
18,CENPF,4.96728905866621,-1.43552042179448,75.7760308727726,0,0
19,CEP55,2.77828077482449,-1.53387552397106,71.909547767841,0,0
20,CIT,1.53292723153188,-1.55205908538176,41.5249207727971,0,0
21,CKAP2L,1.88394025645252,-1.55133348459914,56.3582619185123,0,0
22,CKS2,3.50657600737608,-1.41625507832945,50.3196379063816,0,0
23,DEPDC1,2.00779258006315,-1.55970077668788,67.5333494328035,0,0
24,DLGAP5,2.84155948445652,-1.54739166856196,81.3295068007376,0,0
25,GTSE1,3.01010561252104,-1.53735239535127,80.6787238632335,0,0
26,HJURP,1.7277535845178,-1.5628154065113,60.2990836232952,0,0
27,HMMR,3.80851953323965,-1.52791175095859,90.1999108640594,0,0
28,KIF11,2.37803273579726,-1.53307875634831,59.9974510205845,0,0
29,KIF14,2.11008822381445,-1.55671263870566,68.9988703271966,0,0
30,KIF18A,1.3542276478303,-1.56645564976248,46.1868370944753,0,0
31,KIF20A,1.588976581138,-1.56739368064011,61.4427880156601,0,0
32,KIF20B,2.97178581128449,-1.44645278982215,46.0622776444131,0,0
33,KIF23,1.7490273271936,-1.55139695012351,49.3449872228694,0,0
34,KIF2C,1.95321618087752,-1.55149578215033,57.1766708461423,0,0
35,KIF4A,1.66799005962523,-1.56046629462699,55.2752346584093,0,0
36,KNL1,2.18056328017136,-1.53378064718828,53.0865537471984,0,0
37,KPNA2,3.25388205941514,-1.34978662004885,40.4113071690552,0,0
38,MKI67,4.33290217804581,-1.50093250350738,87.374404494414,0,0
39,NCAPG,2.00256875172507,-1.54860874800757,58.2971195060144,0,0
40,NDC80,1.84995371971339,-1.55385265820021,55.9892287517091,0,0
41,NEK2,1.84257742391581,-1.56750400650164,75.1444564000877,0,0
