,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,11,Up,2.5019789866163e-133,3.83052982850956e-130
2,REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT,5,Up,1.93949245451099e-103,1.48468147392816e-100
3,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,118,Up,2.94287948327473e-91,1.50184949629787e-88
4,REACTOME_PHOSPHORYLATION_OF_EMI1,6,Up,1.06604630429002e-76,4.08029222967007e-74
5,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,108,Up,5.87233817972767e-71,1.79810995063261e-68
6,REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,7,Up,3.18875827176679e-70,8.13664819012492e-68
7,REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,29,Up,2.10115745681852e-69,4.59553152341308e-67
8,REACTOME_MITOTIC_PROMETAPHASE,194,Up,3.88504309100005e-60,7.43500121540135e-58
9,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,132,Up,6.35290245233407e-55,1.08069929494705e-52
10,REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,225,Up,1.01527156139622e-51,1.55438076049761e-49
11,REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS,16,Up,3.21657659152817e-50,4.47688978329966e-48
12,REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,180,Up,6.92312416121535e-50,8.83275257568391e-48
13,REACTOME_CELL_CYCLE_MITOTIC,484,Up,9.26659957891906e-50,1.09132030425578e-47
14,REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES,13,Up,2.16088554144411e-48,2.36308268853638e-46
15,REACTOME_CELL_CYCLE_CHECKPOINTS,250,Up,2.31450514045602e-47,2.36233824669211e-45
16,REACTOME_G0_AND_EARLY_G1,27,Up,1.67084193075625e-42,1.59878687249239e-40
17,REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,19,Up,4.88961473051131e-42,4.4035295014193e-40
18,REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,25,Up,8.55881049892702e-42,7.2797438188096e-40
19,REACTOME_CELL_CYCLE,593,Up,1.01387181783598e-40,8.16967238477308e-39
20,REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,22,Up,1.26105155743018e-36,9.65334967212802e-35
21,REACTOME_M_PHASE,344,Up,2.3858396736228e-36,1.73939073348405e-34
22,REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,84,Up,2.10867783730278e-35,1.46744807677753e-33
23,REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS,46,Up,6.93359440710336e-35,4.61536219011967e-33
24,REACTOME_PHOSPHORYLATION_OF_THE_APC_C,19,Up,2.27068640997003e-33,1.44850870569338e-31
25,REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION,14,Up,6.83973875579771e-33,4.18865601405052e-31
26,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,144,Up,1.35302176026798e-32,7.96721659603955e-31
27,REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,20,Up,1.10590358553235e-29,6.270882923889e-28
28,REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE,28,Up,2.56779797341845e-28,1.40403524903702e-26
29,REACTOME_RHO_GTPASE_EFFECTORS,250,Up,5.24052673030096e-27,2.76663669796233e-25
30,REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,24,Up,1.11193161829584e-26,5.67455769203644e-25
31,REACTOME_KINESINS,48,Up,1.67234563847528e-25,8.25922958872794e-24
32,REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,9,Up,2.11169518256977e-25,1.01031416391073e-23
33,REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX,13,Up,5.86785160001385e-24,2.72232751503673e-22
34,REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES,29,Up,3.22015588637268e-23,1.45001725354017e-21
35,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_G2_CELL_CYCLE_ARREST,18,Up,3.47442161782909e-22,1.51981128482753e-20
36,REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1,16,Up,6.97254222976793e-22,2.96526726493742e-20
37,REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA,15,Up,2.05975291220612e-21,8.52292353672317e-20
38,REACTOME_MITOTIC_G2_G2_M_PHASES,191,Up,1.04495217357297e-20,4.21005730984266e-19
39,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,71,Up,6.80063621513091e-20,2.6696856526578e-18
40,REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX,19,Up,8.79633296649867e-20,3.36679644292737e-18
41,REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION,10,Up,2.52133858438462e-19,9.41504725047039e-18
42,REACTOME_ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION,11,Up,1.47185383443268e-18,5.36525766789626e-17
43,REACTOME_G2_M_CHECKPOINTS,129,Up,3.56168825840199e-17,1.2681266799101e-15
44,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,7,Up,1.52407815313147e-16,5.30309921010062e-15
45,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,70,Up,1.78529227657989e-16,6.07396105654182e-15
46,REACTOME_AURKA_ACTIVATION_BY_TPX2,70,Up,3.02301226328539e-16,1.00613734241086e-14
47,REACTOME_CHROMOSOME_MAINTENANCE,67,Up,8.75402742677509e-16,2.85157787029631e-14
48,REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,70,Up,1.71950425309909e-14,5.48450210728064e-13
49,REACTOME_SIGNALING_BY_RHO_GTPASES,372,Up,1.7717697957254e-14,5.53587664746037e-13
50,REACTOME_S_PHASE,156,Up,3.15717829390085e-14,9.6672799359244e-13
