,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,SLC11A1,3.39503116801744,-1.14959711043639,36.4490988971922,1.52584986069057e-279,2.48179479841322e-275
2,TCF7L2,1.85164340346173,-1.43143411662264,27.3018174784329,1.14443616184544e-160,2.65917916748802e-157
3,TAGLN,1.15484994372525,-1.56552050005694,25.19881635331,1.12803216685233e-137,1.83474431938532e-134
4,AAK1,1.95359156005515,-1.28416786995394,23.0051280629649,1.68844795056483e-115,2.28855049299474e-112
5,DST,1.60902460807859,-1.3874320044907,21.5411681541411,9.54366963078864e-102,1.10876990389127e-98
6,TANC2,1.16153623161268,-1.49819968186864,19.0448802340707,2.91456844076277e-80,2.96284098056291e-77
7,MS4A7,2.36932811745066,-0.405508811723695,18.1886330474726,1.80525410049378e-73,1.72720340850184e-70
8,DDHD1,1.42064459928241,-1.39210298490203,17.8961105365471,3.22636668724668e-71,2.91538078711484e-68
9,CCDC88A,2.16649927211175,-0.566882887214718,17.334304645582,5.44988499638412e-67,4.66538839295725e-64
10,NEAT1,3.15268639404961,1.85236839764553,17.3114024974491,8.05372784889494e-67,6.54969417311381e-64
11,INHBA,1.37532857935628,-1.41206062825094,15.8173687459784,3.20730912756538e-56,2.00641857537888e-53
12,N4BP2L2,2.23956221944198,-0.316051761526817,15.8117085125248,3.50392934833158e-56,2.11079299446716e-53
13,ABCG1,1.1552418553058,-1.44268323698229,15.5547473252202,1.8817707323523e-54,1.09310717720394e-51
14,MAML2,1.29076916649203,-1.33573832882074,14.9266920757955,2.44447040537736e-50,1.37101072908492e-47
15,VMP1,2.02287567432965,-0.656990445890704,14.7476055010071,3.39818522580092e-49,1.8423827565884e-46
16,PPARG,0.978327362880838,-1.49496766690523,14.6441146720584,1.53369918628808e-48,8.04697331128248e-46
17,MACC1,1.0028206760578,-1.472876858982,14.4053462556629,4.77307336764945e-47,2.42606369765057e-44
18,MSR1,1.47709425731727,-1.21087913579444,14.4018447746665,5.01784637140997e-47,2.47319003730252e-44
19,FTX,1.47975919823049,-1.18799782033816,13.9626395086901,2.42353194591436e-44,1.12624991715135e-41
20,WSB1,1.86539357571311,-0.620773748676254,13.6957470887037,9.46657379570824e-43,4.05194270492617e-40
21,GPCPD1,1.54724603013581,-0.97526252581948,13.0487785729992,5.14586811774799e-39,1.99279868893264e-36
22,RNF149,1.55516477947748,-0.83483092805647,12.5451921684664,3.14689559117373e-36,1.1127012345748e-33
23,MALAT1,2.3641840193399,6.08161684806298,12.3735437765855,2.65085914059016e-35,9.17366466419126e-33
24,LSAMP,0.464251450230863,-1.61601268248213,11.9465501232308,4.70015909614392e-33,1.4424167490336e-30
25,GSAP,0.9466907718889,-1.43301130573066,11.9311481095593,5.6467304706355e-33,1.68781418820352e-30
26,GPRIN3,1.21426378087024,-1.20078965461258,11.9302513982022,5.70733355986434e-33,1.68781418820352e-30
27,ABHD5,0.946129047440919,-1.43735760572664,11.912107388482,7.08221851716127e-33,2.05700507467193e-30
28,TLR4,0.952692109356306,-1.43011313416384,11.8659099139886,1.2252147379714e-32,3.49616100229909e-30
29,LINC02185,0.549656141730558,-1.59618262478167,11.4969444557471,9.06213165604145e-31,2.37734792557281e-28
30,ALPK1,0.771990903044862,-1.50474700695249,11.4927614553961,9.50805692728917e-31,2.45473882416442e-28
31,ZEB2,1.65495708955424,-0.435913195619012,11.3004691204475,8.49472462832882e-30,2.15885462624638e-27
32,ADAM17,1.15167225420566,-1.25355626468987,11.2882959553136,9.74615396064536e-30,2.40183627530147e-27
33,SPOCD1,0.399336823069455,-1.62342213057089,11.0960062743665,8.38194043489175e-29,1.97582987207992e-26
34,ALOX5,1.26803951669486,-1.02620912567547,11.0458289083524,1.4609758064009e-28,3.3468692241001e-26
35,SLCO2B1,0.963997668049565,-1.36412242372433,10.8181270510326,1.76329526815743e-27,3.87567534278116e-25
36,RASAL2,0.838306345759004,-1.44254542193397,10.539312561732,3.47599110413055e-26,7.53826604115779e-24
37,CXCL3,0.912511823739371,-1.46022871206257,10.5293982441069,3.85936260936506e-26,8.25954379491088e-24
38,POLR2J3,1.17088699739898,-1.07140899625895,10.0196325420903,7.36056425912548e-24,1.36044974630313e-21
39,LRRFIP1,1.50555636405658,0.241208939479416,9.56355586191076,6.51952865655907e-22,1.12808652764823e-19
40,TTC39B,0.674739663763835,-1.51545303693118,9.38144948553743,3.69165607182194e-21,6.06512989981655e-19
41,SLC19A3,0.424726148001958,-1.61492242083167,9.27038228877059,1.0461762123758e-20,1.68475802913786e-18
42,EVL,1.09776940656038,-1.05986709357923,9.26864208162717,1.06328907480438e-20,1.69552909820522e-18
43,ATP10A,0.554744208306014,-1.57496676355561,9.22437952421947,1.60491056361018e-20,2.50998753049227e-18
44,THEMIS2,1.01661465345127,-1.16632560704495,9.0195370132277,1.05229402135097e-19,1.58477428308088e-17
45,TXNIP,1.51959277622248,0.783852476747146,8.6956991141891,1.89265812722922e-18,2.60882071520197e-16
46,DDX60L,0.788580913065945,-1.40643451653869,8.52194467945762,8.55328918354789e-18,1.13105080138542e-15
47,CCNT2,0.754526634419846,-1.42833344384873,8.51176650858736,9.33489808003022e-18,1.22445255864267e-15
48,GLUL,1.2504058237234,-0.469134830765926,8.20204251577112,1.27291072468015e-16,1.59260714899405e-14
49,OSBPL11,0.825413116435736,-1.3084470968537,7.85752694507897,2.0859508584762e-15,2.40624047610747e-13
