,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS,8,Up,2.33404961336032e-106,1.78671497902732e-103
2,REACTOME_RUNX3_REGULATES_WNT_SIGNALING,8,Up,2.33404961336032e-106,1.78671497902732e-103
3,REACTOME_REPRESSION_OF_WNT_TARGET_GENES,14,Up,6.95834730398525e-55,3.55107657413381e-52
4,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,29,Up,8.0577963180188e-26,3.0841215407217e-23
5,REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,37,Up,6.19016339506043e-16,1.8954280315675e-13
6,REACTOME_CA2_PATHWAY,55,Up,2.42069957354176e-11,6.17681841182073e-09
7,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,83,Up,2.68932016438553e-08,5.88192738810607e-06
8,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,29,Up,1.39837342693152e-07,2.67613714579019e-05
9,REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,17,Up,5.14146056385238e-07,8.74619569250888e-05
10,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX,38,Up,6.6462892024783e-06,8.47955730749523e-04
11,REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,10,Up,8.75983843109807e-05,0.00894087509200743
12,REACTOME_NGF_STIMULATED_TRANSCRIPTION,36,Up,1.03394228305373e-04,0.00989353522097039
13,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3,93,Up,1.85637355822868e-04,0.0167182818685183
14,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,149,Up,2.50433879167663e-04,0.0213007927225384
15,REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,134,Up,0.00129978541418426,0.0904532485961867
16,REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,54,Up,0.00296545632642707,0.189171401489993
17,REACTOME_DEADENYLATION_OF_MRNA,25,Up,0.0044196075902792,0.270656768828698
18,REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,26,Up,0.0054455998383563,0.297757619732982
19,REACTOME_PHOSPHORYLATION_SITE_MUTANTS_OF_CTNNB1_ARE_NOT_TARGETED_TO_THE_PROTEASOME_BY_THE_DESTRUCTION_COMPLEX,15,Up,0.00797315389361692,0.420927538314742
20,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,30,Up,0.0109384704202377,0.529909073241562
21,REACTOME_SIGNALING_BY_WNT,234,Up,0.0117302233454489,0.544211270966129
22,REACTOME_PLATELET_SENSITIZATION_BY_LDL,17,Up,0.0135539163691952,0.592887027463938
23,REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,17,Up,0.0135539163691952,0.592887027463938
24,REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,23,Up,0.0148909904469431,0.616165037142431
25,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,34,Up,0.0186795914543382,0.733293705553635
26,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,50,Up,0.0256656138225758,0.935572732437228
27,REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,27,Up,0.0271874941276152,0.96800124440416
28,REACTOME_CTLA4_INHIBITORY_SIGNALING,21,Up,0.0291952577581282,0.996541476255041
29,REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,30,Up,0.0439580682429988,0.996541476255041
30,REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,32,Up,0.0469361811475025,0.996541476255041
31,REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE,27,Up,0.0610777060580808,0.996541476255041
32,REACTOME_RAF_ACTIVATION,27,Up,0.0610777060580808,0.996541476255041
33,REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY,53,Up,0.0793737827700285,0.996541476255041
34,REACTOME_SIGNALING_BY_WNT_IN_CANCER,31,Up,0.0857290928573941,0.996541476255041
35,REACTOME_SIGNALING_BY_NTRKS,116,Up,0.0894319497988436,0.996541476255041
36,REACTOME_DAP12_SIGNALING,28,Up,0.0921631651290316,0.996541476255041
37,REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,42,Up,0.104683495561646,0.996541476255041
38,REACTOME_DAP12_INTERACTIONS,35,Up,0.143625124436765,0.996541476255041
39,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,98,Up,0.179946476819144,0.996541476255041
40,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES,61,Up,0.196668073135296,0.996541476255041
41,REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,53,Up,0.209208802744399,0.996541476255041
42,REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,69,Up,0.23723166449432,0.996541476255041
43,REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,71,Up,0.259896195872335,0.996541476255041
44,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,47,Up,0.314383246709471,0.996541476255041
45,REACTOME_PLATELET_HOMEOSTASIS,70,Up,0.322571777876946,0.996541476255041
46,REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,88,Up,0.323876900813725,0.996541476255041
47,REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,60,Up,0.330697951571027,0.996541476255041
48,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,80,Up,0.350654061549797,0.996541476255041
49,REACTOME_REGULATION_OF_TP53_EXPRESSION_AND_DEGRADATION,36,Up,0.357240015150387,0.996541476255041
50,REACTOME_SIGNALING_BY_TGF_BETA_FAMILY_MEMBERS,94,Up,0.361441543882052,0.996541476255041
