,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,TRDC,0.890420189619226,-0.972349853259617,24.9431486395384,5.91785365523951e-135,9.62538897024706e-131
2,TRGC2,0.82173047849144,-0.852447601814996,21.3848739415959,2.62771314983172e-100,2.13698771910064e-96
3,CD7,0.904250804218408,-0.461190650734941,19.649431761061,3.20776218954548e-85,1.30435630032393e-81
4,LEF1,0.539274564633038,-1.23141058470939,19.5958696056912,8.96731317268101e-85,2.91706697507313e-81
5,TCF7,0.589998893687395,-1.09997547572089,17.352662626757,4.07213171210678e-67,8.27915278717709e-64
6,ZNF683,0.652130871950656,-0.955247391262294,16.3046325063388,1.43620101731233e-59,2.595534394065e-56
7,LTB,0.81845035617943,0.0419317763025418,13.4313625591856,3.36660903989742e-41,5.47578960339316e-38
8,IFITM2,0.671322490873272,-0.277582583545705,11.6806255144674,1.08625607518335e-31,1.35907346637363e-28
9,MAL,0.380506498048638,-1.27891083760437,10.5926837674226,1.98212316218629e-26,2.30280237378286e-23
10,JUNB,0.655841943170256,-0.194258383278045,10.2849235772528,4.95494785541594e-25,5.37281512455602e-22
11,NUCB2,0.450375907853907,-1.09702030741423,9.90630637400278,2.29097709316174e-23,2.32892140126724e-20
12,PABPC1,0.595402614818917,-0.0532417962270018,9.58096509357847,5.52602218099945e-22,4.99337504299756e-19
13,KLF2,0.49821608907706,-0.916302802629065,9.1987023313288,2.03974409925762e-20,1.74612830391711e-17
14,ZFP36L2,0.560478401339238,0.125349040966239,7.95383038467358,9.66724502731233e-16,7.48751144615405e-13
15,FOS,0.603132125976336,0.192757080224769,7.80548016091421,3.15376220548898e-15,2.23025835966427e-12
16,KLRC2,0.401082374227863,-1.07607635006677,6.81844156286452,4.77299316777125e-12,2.98587437976152e-09
17,PPP2R5C,0.463414791588033,-0.553773836758029,6.62944930771282,1.74079018810704e-11,1.01121258605575e-08
18,RIPOR2,0.367965247765535,-1.02732196764627,5.16077914450273,1.24492372904726e-07,6.13596498574355e-05
19,CTSW,0.387363207375599,-0.8098641530995,5.13136146545061,1.45577598205125e-07,6.96417539648931e-05
20,TRG-AS1,0.373501333521117,-0.995328066374289,5.06908166196851,2.02190035163825e-07,9.39605977697032e-05
21,KLRC3,0.327928514809785,-1.2452785295726,4.92970196298051,4.16066419742111e-07,1.82900549110958e-04
22,RTKN2,0.302898631887929,-1.28809896192406,4.34482972392401,7.01385687311251e-06,0.00271619957240893
23,NCR3,0.309454184848746,-1.24896858207393,4.28805513396551,9.06715078044686e-06,0.00342970249869693
24,HCST,0.396386822857624,0.0447676029236074,3.91186857787367,4.59892535535224e-05,0.0162612001966966
25,DDIT4,0.327088615000985,-1.03651987429624,3.42247939304824,3.11071750572342e-04,0.103256775980799
26,GYPC,0.33740394213274,-0.791208820513716,3.25990941702579,5.58450084948098e-04,0.181663812633616
27,IKZF2,0.301006631605032,-1.18829884362945,2.99291123324159,0.00138384421996523,0.423277345059292
28,STK17A,0.347507245748262,-0.476023903816429,2.98821267996282,0.00140528599035978,0.423277345059292
29,LINC02446,0.314284678529363,-1.02045346001433,2.60055820135608,0.00465806269617949,1
30,CD52,0.335945896777582,0.982484847075682,2.08546622448714,0.0185217218599061,1
31,IL7R,0.317717236799698,-0.572974991061132,1.99192532136457,0.0231984508916587,1
32,RUNX3,0.285617024876169,-0.823186921876689,1.26261179380918,0.103373934203319,1
33,KLRK1,0.276761859613282,-0.979189172973449,1.02195279115109,0.153409658496416,1
34,LYAR,0.268618006449315,-1.06678973950052,0.87785670891179,0.190017598177058,1
35,CD27,0.263438749128005,-1.07465122751598,0.654969611451859,0.256248556896054,1
36,EEF1B2,0.267245022935573,0.448200566778653,0.446273157027613,0.327703112899304,1
37,IER2,0.257672690214544,-0.561309303916705,0.232865351533956,0.407934531356697,1
38,TLE4,0.254488494422465,-1.06140625129971,0.197308804006454,0.4217942486185,1
39,TXNIP,0.254063789488249,0.783767049920298,0.0916454146737353,0.463490480487805,1
40,IL32,0.251251606359402,1.1811766844221,0.0287431455275478,0.488534909154667,1
41,EEF1D,0.250003745403927,0.42462411072394,1.00628087742593e-04,0.499959855853743,1
42,FAU,0.248622604793692,1.82782869249672,0,0.515923674550424,1
43,PFDN5,0.235960365321479,0.42917264252195,0,0.646514061103405,1
44,EEF1A1,0.235215567518621,3.13179500889631,0,0.691493397046314,1
45,TMSB10,0.230738255521213,2.143486560046,0,0.699076335733139,1
46,NACA,0.227185464168067,1.25744927962679,0,0.730871083066813,1
47,UBA52,0.209764930447862,1.4201025108343,0,0.864043428548209,1
48,MBP,0.213087253330527,-0.776139332262032,0,0.901419655897788,1
49,ETS1,0.19778114644738,-0.299769834066941,0,0.926759561833846,1
50,RAC2,0.200089470980377,-0.325171511290947,0,0.935995540246281,1
51,RACK1,0.185175861347878,0.938985338791175,0,0.955502703542984,1
52,ZFP36,0.198749527838987,-0.767964946183071,0,0.958415301062978,1
53,XCL1,0.210045293175208,-1.07890150440525,0,0.961760134632124,1
54,TSC22D3,0.173993190083947,-0.00198196085214427,0,0.972308308966395,1
55,ZFAS1,0.17852901709643,-0.319112752359428,0,0.980342511933486,1
56,IFITM1,0.207068863816997,-1.12411529082985,0,0.983099091559991,1
57,CD3D,0.159380107330712,0.221727043252791,0,0.990650090283329,1
58,STK17B,0.16635412149184,-0.246157532525559,0,0.990713059840278,1
59,ATM,0.185662935199373,-0.876074211709198,0,0.992519548272783,1
60,NOP53,0.17238934060704,-0.450386653414425,0,0.99456544726093,1
61,DDX5,0.146693552389751,1.19893322345683,0,0.996134030951517,1
62,DGKD,0.21073611977231,-1.25075092433978,0,0.99768581277733,1
63,TMSB4X,0.180807438110082,4.07915453555741,0,0.99786482111559,1
64,UQCRH,0.162984191788276,-0.583560020170836,0,0.998064149022561,1
65,MALAT1,0.13581605496982,6.35000647734992,0,0.998541179540498,1
66,ITGB2,0.165033668373709,-0.744504257926438,0,0.998647355254068,1
67,NCF1,0.18779024703506,-1.13449845813815,0,0.999341386826041,1
