,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_CHYLOMICRON_REMODELING,5,Up,2.78136399621647e-270,4.25826827820742e-267
2,REACTOME_HDL_REMODELING,8,Up,6.67758667171091e-227,5.1116925971947e-224
3,REACTOME_CHYLOMICRON_ASSEMBLY,7,Up,3.92592278846892e-211,2.00352926304864e-208
4,REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY,15,Up,5.89138071070382e-190,2.25492596702189e-187
5,REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES,12,Up,8.74652183581499e-89,2.67818498612655e-86
6,REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,43,Up,2.97741009147808e-88,7.59735808342158e-86
7,REACTOME_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX,36,Up,1.73849950210881e-80,3.80234676818371e-78
8,REACTOME_PLASMA_LIPOPROTEIN_REMODELING,20,Up,3.67597822214881e-73,7.03490332263729e-71
9,REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,12,Up,4.93611413583867e-56,8.39687860218779e-54
10,REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,57,Up,1.8074629438911e-50,2.76722576709728e-48
11,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,32,Up,1.39586936494905e-44,1.94279636157909e-42
12,REACTOME_VLDL_ASSEMBLY,5,Up,3.06717436530951e-29,3.91320329440738e-27
13,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,29,Up,3.66477079090712e-25,4.00768862919915e-23
14,REACTOME_VLDL_CLEARANCE,6,Up,2.17778853023358e-24,2.2227961598584e-22
15,REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,8,Up,9.3708091723964e-18,8.9666930268368e-16
16,REACTOME_VISUAL_PHOTOTRANSDUCTION,64,Up,9.38307853465382e-14,7.98082957586389e-12
17,REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,32,Up,2.92798643803186e-13,2.3593406508562e-11
18,REACTOME_IRON_UPTAKE_AND_TRANSPORT,53,Up,1.24558938935559e-11,9.08093978620673e-10
19,REACTOME_METALLOTHIONEINS_BIND_METALS,9,Up,4.54227234541411e-11,3.16100861855863e-09
20,REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,5,Up,5.33807636225386e-10,3.55330213504811e-08
21,REACTOME_RESPONSE_TO_METAL_IONS,11,Up,3.72885522053981e-09,2.37869889276936e-07
22,REACTOME_TRIGLYCERIDE_CATABOLISM,17,Up,1.20631957578508e-08,7.38750108210783e-07
23,REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,55,Up,3.12194894751183e-08,1.83834763024639e-06
24,REACTOME_HEME_DEGRADATION,9,Up,4.50676146237244e-08,2.55550066625638e-06
25,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,214,Up,5.13806577914928e-08,2.80942096709912e-06
26,REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,12,Up,3.40462380442753e-07,1.53308207193487e-05
27,REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,5,Up,4.48121547483445e-07,1.90576135888098e-05
28,REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,70,Up,2.99204991021488e-06,1.14520710313474e-04
29,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,164,Up,8.60438386994318e-06,3.13650278687691e-04
30,REACTOME_TRIGLYCERIDE_METABOLISM,26,Up,9.71589378488012e-06,3.45931008945383e-04
31,REACTOME_COMPLEMENT_CASCADE,35,Up,7.3589019263257e-05,0.00213047011672316
32,REACTOME_HDL_ASSEMBLY,7,Up,7.37523946350931e-05,0.00213047011672316
33,REACTOME_RETINOID_CYCLE_DISEASE_EVENTS,6,Up,1.11507560550524e-04,0.00310396500368822
34,REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,13,Up,1.13692214370993e-04,0.0031082639321784
35,REACTOME_METABOLISM_OF_PORPHYRINS,20,Up,5.15557923694844e-04,0.0125288758916953
36,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,33,Up,7.08092215598169e-04,0.0154869883154399
37,REACTOME_LIPOPHAGY,8,Up,0.00215696025951163,0.0412788269664039
38,REACTOME_TRANSPORT_OF_SMALL_MOLECULES,564,Up,0.00236492618085277,0.0447000244800689
39,REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS,13,Up,0.00270986914346604,0.0493905911743631
40,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,42,Up,0.00381292800183294,0.0663362814864345
41,REACTOME_LDL_CLEARANCE,18,Up,0.00408568650772781,0.0695020671481254
42,REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,6,Up,0.00464732067539648,0.0773374777612175
43,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_KERATINOCYTES,8,Up,0.00597394396401759,0.0933276347848055
44,REACTOME_CHYLOMICRON_CLEARANCE,5,Up,0.00882524288866367,0.133776701609347
45,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,257,Up,0.011625402688431,0.171139341499884
46,REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION,14,Up,0.0156111961247694,0.220623353662603
47,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,55,Up,0.0161315508791423,0.222499138702405
48,REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,24,Up,0.028237357649188,0.348640278716991
49,REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE,22,Up,0.0288025842514612,0.352774051911897
50,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,43,Up,0.0394004121797814,0.450164410800338
