,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,C9orf43,1.1928071796965,-1.75062537680785,51.0850933513539,0,0
2,WWC2-AS2,1.10670433170489,-1.74844680180588,19.3686325381854,8.96543143137386e-84,7.00289849104612e-80
3,TBKBP1,1.19315910593014,-1.74875066410382,17.7015823875143,2.39950516402827e-70,1.24950232241499e-66
4,HOXB3,1.10456211550371,-1.74745292389328,17.2592220627348,5.52700751682299e-67,2.15857278569522e-63
5,LRRD1,1.10666114614063,-1.74701283338861,13.9009485894314,3.32625480223579e-44,1.03925505041055e-40
6,CCDC28B,1.18856573771144,-1.74485296875031,13.3894596319951,3.67638813505453e-41,9.57208924097031e-38
7,ZNF502,1.19388636001384,-1.73916220934046,10.3303066822694,2.61951887885334e-25,5.84601770363526e-22
8,TRIM62,1.10502851577807,-1.74120949844718,10.017835021838,6.47188293890162e-24,1.26379694089401e-20
9,FSTL3,1.10492121155756,-1.74006283240517,8.83555463898459,5.03182776881534e-19,8.7341348227148e-16
10,ZNF778,1.18890150415838,-1.73534591489534,8.76972821898088,9.04512207546076e-19,1.41302897062848e-15
11,LINC00482,1.14440687316775,-1.73994313186685,8.72449000364045,1.35011011780987e-18,1.9174018418569e-15
12,ZNF460,1.10334832663382,-1.73806108508006,8.3958803367498,2.33168034295385e-17,3.03545919313541e-14
13,ZDHHC11B,1.10530659019371,-1.73828468410513,7.96454915818768,8.34840585707524e-16,1.00322150999407e-12
14,LMBR1,2.24745739870189,-1.66394285206711,7.81529524365637,2.75922157518481e-15,2.88108771479463e-12
15,PDE8B,1.09773144929973,-1.73616471193279,7.81496896456117,2.76637535027009e-15,2.88108771479463e-12
16,EIF3C,1.08045566008007,-1.73399630986924,7.75820271626425,4.33378251582246e-15,4.23139690388615e-12
17,ZNF77,1.10812549410572,-1.73353345084347,7.74867921865588,4.67131792625199e-15,4.29266639081815e-12
18,ZNF155,1.10334320602409,-1.73355056987184,7.64242072848344,1.07210609911304e-14,9.30468971130219e-12
19,LENG9,1.51968337959156,-1.71196518598838,7.58196466668757,1.71144481648882e-14,1.4071679433257e-11
20,SIMC1,1.17279451250436,-1.72825020951879,7.40702395306472,6.49162351660298e-14,5.07060712881859e-11
21,RFC5,1.18115976914939,-1.72652750396296,7.32216725543114,1.22601219366425e-13,9.1203630902014e-11
22,AKAP8L,2.23214669459795,-1.64208067739431,7.28542076186673,1.61110063886278e-13,1.14402791728702e-10
23,ANAPC2,1.16238724309264,-1.72419927969143,7.1002189018989,6.25521255822819e-13,4.23832212670718e-10
24,ARL17B,1.1830929534256,-1.72914229778799,7.09466960348924,6.51131295871029e-13,4.23832212670718e-10
25,LINC00294,1.10178953718068,-1.73011135452894,6.88786531408284,2.8427822728715e-12,1.77639778667194e-09
26,EEF1AKMT3,1.19122934725302,-1.72627516840089,6.86735649470778,3.2826708450185e-12,1.97238015157227e-09
27,RNF103,1.60499906748655,-1.69528837395725,6.77358839781137,6.30417105624988e-12,3.6475466755828e-09
28,RCC1,1.18015244913365,-1.72168995991947,6.67364971762459,1.25187209177297e-11,6.98455207774188e-09
29,ENPP6,1.09698703142671,-1.72959059525368,6.66388582295598,1.3379496699033e-11,7.20739646318253e-09
30,CDKN1B,2.24318331100084,-1.62759702617335,6.6393237783426,1.58092746841917e-11,8.2324163038814e-09
31,BRCC3,2.16151334624827,-1.62272908617595,6.45977711566844,5.25870787912045e-11,2.5674545702016e-08
32,POFUT2,1.16638506180137,-1.72338301031622,6.4597636660801,5.25915671786272e-11,2.5674545702016e-08
33,PPP1R26,1.18741704988169,-1.72056211782632,6.40200910581001,7.68961799702141e-11,3.6402185560445e-08
34,ZNF175,1.16131526094015,-1.72252738225781,6.32187650067901,1.29561321404235e-10,5.95296165581457e-08
35,IGSF22,1.50114683637338,-1.70019836591259,6.27861564132716,1.71261669353289e-10,7.64414228182021e-08
36,EIF2AK3,1.18211366347918,-1.72204793917117,6.2644862295482,1.87528913632529e-10,8.13771302435378e-08
37,AMZ1,1.10634196921116,-1.72284253298141,6.25866097831233,1.94666254025531e-10,8.21912491996445e-08
38,CD2BP2-DT,1.09770468264867,-1.72967461396947,6.24178856008454,2.16868530730032e-10,8.91557943964356e-08
39,PTBP2,1.07674667294714,-1.72743398413866,6.08501128108167,5.83807106776285e-10,2.33852169796388e-07
40,PIGV,1.50297593108851,-1.6882362115172,6.06508059237248,6.60993061904072e-10,2.58150840326635e-07
41,ERVK13-1,1.10051042435069,-1.72846103983171,6.01024754805334,9.28310013972737e-10,3.53708757031271e-07
42,FBL,2.62047529527146,-1.52640526470084,5.89554093739931,1.87169503398617e-09,6.96181424307902e-07
43,ZNF529,1.07535448564865,-1.72315030066375,5.88158444741953,2.03603923901232e-09,7.34539721958851e-07
44,TMCO2,1.0926201517601,-1.72565322421412,5.87893690934093,2.06886107836317e-09,7.34539721958851e-07
45,KCTD3,1.06982911618963,-1.72441322820143,5.84878961473163,2.48088359574373e-09,8.61252522949079e-07
46,MSANTD2,1.10216517991177,-1.72186417978636,5.81988917021645,2.95024622949681e-09,1.00192927385216e-06
47,IKBKG,2.20560057568315,-1.58628031324376,5.69004408766749,6.3624626216204e-09,2.03761546306228e-06
48,DNASE1L1,2.23664045505306,-1.58845424776169,5.68749381446105,6.45824622733802e-09,2.03761546306228e-06
49,VSIR,2.60624844811051,-1.51538901419306,5.6862029966008,6.50941023514252e-09,2.03761546306228e-06
50,SLC12A2,1.18317865275295,-1.71520546625405,5.68319818497362,6.62204826157216e-09,2.03761546306228e-06
51,DPH2,1.18684788482166,-1.71273566519647,5.68242510910588,6.65205406581592e-09,2.03761546306228e-06
52,GID8,2.19904622127747,-1.57744568813578,5.66160806224354,7.51214372686124e-09,2.25682133271205e-06
53,SHISA4,1.17873652749832,-1.71249497264861,5.64974746618889,8.04856166076034e-09,2.3723515144226e-06
54,PANK2,2.2409635840218,-1.55809504759893,5.53278825028235,1.5787222314814e-08,4.56718494448194e-06
55,TOMM40L,1.09632276614372,-1.71714860771644,5.5047606994909,1.85133989017485e-08,5.2584785026021e-06
56,SLC7A6,1.10586669023206,-1.71685348400307,5.46990379618874,2.2549524822944e-08,6.29051208542912e-06
57,SUN1,1.18788827479185,-1.70781154019973,5.45153642442923,2.50071360510071e-08,6.85371016471637e-06
58,PBX3,2.18835168753873,-1.56838925248885,5.43314785659294,2.77309316312603e-08,7.45298846778265e-06
59,CAPN2,2.6101585562688,-1.48691124719523,5.43060685553627,2.81478888490063e-08,7.45298846778265e-06
60,PRR15,1.09766019192909,-1.71063490002687,5.42369826407764,2.92337692342682e-08,7.61149904962896e-06
61,THOP1,1.16681508780359,-1.70792709261919,5.40680751387257,3.2127409305865e-08,8.22777685534792e-06
62,ZNF420,1.10346613429151,-1.71535220832387,5.34271287504869,4.58488195703717e-08,1.1552423537554e-05
63,GPHN,1.06136605846826,-1.72102053401657,5.33337453042528,4.82710564902731e-08,1.1969689595096e-05
64,ZBTB4,2.22548488465907,-1.55402382565122,5.27940831911325,6.49085442237121e-08,1.58437699666067e-05
65,PPP3CB-AS1,1.12305079949791,-1.71894916126642,5.26692746585648,6.94575309476332e-08,1.6543938589497e-05
66,TAX1BP3,2.85877294720645,-1.40726452991376,5.26623365233063,6.98950164451929e-08,1.6543938589497e-05
67,ACP6,1.09926896649471,-1.71224529598253,5.24598295331419,7.78299520013593e-08,1.79994894224746e-05
68,TIRAP,1.10413578568556,-1.71272385122946,5.24475773500336,7.83488209402299e-08,1.79994894224746e-05
69,BBC3,1.1872063944445,-1.70673288453465,5.20988065628152,9.46045287824195e-08,2.14190137483907e-05
70,MYO19,1.0980893405987,-1.71260778833919,5.19473584507702,1.02637806257562e-07,2.29058258479375e-05
71,ATP6V1E2,1.17913404061784,-1.71350721642318,5.18282370759954,1.09415741831002e-07,2.40745453363931e-05
72,ZNF583,1.14316021183967,-1.70991498335825,5.16299252232992,1.21669755930277e-07,2.63989573214275e-05
73,HBP1,2.21063978690548,-1.54141265523101,5.14522550652055,1.33819599482212e-07,2.86373942891934e-05
74,FOCAD,1.09718472807376,-1.70873632011867,5.08126208219316,1.87690103348826e-07,3.96229026285859e-05
75,POLR3F,1.18025207240578,-1.70363623999278,5.06322027368136,2.06357733255222e-07,4.2982940118841e-05
76,PDLIM7,2.49721645245672,-1.4856767147584,5.00194622818373,2.84573295832832e-07,5.84947898355328e-05
77,ZNF197,1.07582182080353,-1.71143262247881,4.97036722658565,3.34495095323734e-07,6.78634075213945e-05
78,CBX7,1.07806746676543,-1.71051525836239,4.96518782799837,3.43545449232558e-07,6.88059872809106e-05
79,WWC3,1.07677674590368,-1.71131628521591,4.9302160899221,4.11127229447913e-07,8.12991085877886e-05
80,CCDC171,1.04616556922431,-1.71511176089417,4.90287772079656,4.727019696452e-07,9.23068771224665e-05
81,ZSCAN29,1.09850826622965,-1.71051660119479,4.8532663918389,6.07825426583186e-07,1.17227763136821e-04
82,IKBKE,1.09791565015386,-1.70704073094063,4.84628440379548,6.2959744377659e-07,1.19945991057047e-04
83,C2orf74,2.5172625680691,-1.45910456843263,4.839646545526,6.52737044580178e-07,1.22856121812428e-04
84,TP53,1.56274373924957,-1.64987129963725,4.76584571370738,9.41210553301279e-07,1.75042753138959e-04
85,CD3D,1.15395065411625,-1.69960181904761,4.75817535392543,9.77653538150288e-07,1.79681218505692e-04
86,ZNF738,1.17374643427458,-1.7010936927217,4.72088824286295,1.17513406277508e-06,2.13464468938051e-04
87,LARP4B,2.22947745528146,-1.49522020256166,4.64489934250699,1.70562081936267e-06,3.06266763679122e-04
88,GEMIN8,1.03280877020442,-1.70729255245968,4.63937401088676,1.74879101773875e-06,3.10450150899031e-04
89,VPS52,1.18205148624337,-1.69608062249031,4.63351105465326,1.79907351845402e-06,3.1578793826167e-04
90,PARP6,1.18621927353021,-1.69198399495991,4.6019764396725,2.09419914813775e-06,3.63506434357866e-04
91,DUSP18,1.08341407688657,-1.70164919774228,4.59598963134674,2.15523696453427e-06,3.68799028765669e-04
92,SPRTN,1.07568064871437,-1.70211987861558,4.59438296087585,2.17190568726422e-06,3.68799028765669e-04
93,SLC66A2,2.15256179714109,-1.53900617988561,4.55823425894534,2.58559979383349e-06,4.34325161067385e-04
94,WDR5,1.07168720810876,-1.70574905971629,4.54880996185285,2.69959744352839e-06,4.48650119817026e-04
95,WIPI2,2.10511506759582,-1.49849144975351,4.53918509331966,2.82992225681329e-06,4.65358373641444e-04
96,TTLL4,1.17693758189054,-1.69283903719913,4.52197856223021,3.06553581291749e-06,4.98852088222885e-04
97,ITGA5,2.54455975515606,-1.39384688922547,4.50297220068826,3.37378081032647e-06,5.43352616689898e-04
98,AAR2,1.17340089513686,-1.69003678145096,4.49416023297587,3.49483746677008e-06,5.57105621488593e-04
99,MYC,1.19166648916215,-1.7067549963013,4.46756270247201,3.95865669995301e-06,6.24668029966322e-04
100,HECTD1,2.20836375076188,-1.46417111571339,4.4543869191191,4.22093639319326e-06,6.59394683344651e-04
