,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_SYNTHESIS_OF_LIPOXINS_LX,5,Up,1.01519969535715e-40,1.55427073359179e-37
2,REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS,9,Up,4.88238589113504e-23,2.49164426644258e-20
3,REACTOME_HISTIDINE_CATABOLISM,6,Up,3.18285596272388e-20,1.21823811973256e-17
4,REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,13,Up,2.96820359132984e-19,9.08863939665196e-17
5,REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,13,Up,1.10877263568608e-17,2.82921817539231e-15
6,REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,32,Up,1.53490924857329e-16,3.35706579937959e-14
7,REACTOME_TFAP2_AP_2_FAMILY_REGULATES_TRANSCRIPTION_OF_GROWTH_FACTORS_AND_THEIR_RECEPTORS,10,Up,6.85229666006495e-16,1.31135827331993e-13
8,REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,31,Up,2.37631670658477e-15,4.04237875309032e-13
9,REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,14,Up,8.63987123588174e-15,1.20251298746681e-12
10,REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE,14,Up,8.63987123588174e-15,1.20251298746681e-12
11,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,24,Up,7.50288205409524e-14,8.20493744629987e-12
12,REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE,19,Up,6.69192788807206e-11,6.83022773109221e-09
13,REACTOME_REGULATION_OF_KIT_SIGNALING,16,Up,8.84759280973856e-10,8.46604036981858e-08
14,REACTOME_SYNTHESIS_OF_5_EICOSATETRAENOIC_ACIDS,6,Up,9.77697589068776e-10,8.80502946390762e-08
15,REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX,14,Up,1.73778276608403e-09,1.47808078604148e-07
16,REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION,16,Up,4.07439564801436e-09,3.11894986855499e-07
17,REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS,6,Up,2.5096272878463e-08,1.74647244440577e-06
18,REACTOME_ARACHIDONIC_ACID_METABOLISM,41,Up,7.21655312904002e-08,4.80371427850447e-06
19,REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,24,Up,7.96880693887412e-07,4.06674780780543e-05
20,REACTOME_SIGNALING_BY_SCF_KIT,42,Up,8.714821669335e-07,4.30399741153287e-05
21,REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX,16,Up,3.20495998341871e-06,1.44317462782766e-04
22,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,29,Up,9.47357284749474e-06,3.62601000737861e-04
23,REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS,53,Up,1.99497337631843e-05,7.10303311428725e-04
24,REACTOME_CELLULAR_HEXOSE_TRANSPORT,16,Up,2.65340063370616e-05,8.42691842878015e-04
25,REACTOME_PEPTIDE_HORMONE_METABOLISM,55,Up,9.49773006096403e-05,0.00227203511302124
26,REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN,3,Up,1.33002583558701e-04,0.00278941034833385
27,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,36,Up,1.78670736707708e-04,0.00359927497236186
28,REACTOME_ACTIVATION_OF_TRKA_RECEPTORS,3,Up,3.2388672691757e-04,0.00538989759685653
29,REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION,3,Up,3.2388672691757e-04,0.00538989759685653
30,REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,92,Up,3.37816561058196e-04,0.0055612597309688
31,REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS,14,Up,0.00128351017062514,0.0154728667025755
32,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS,16,Up,0.00155846734862676,0.0177810195333684
33,REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT,6,Up,0.00205912141432749,0.022045558638709
34,REACTOME_INTERLEUKIN_10_SIGNALING,44,Up,0.0023625313111064,0.0244394286304317
35,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS,31,Up,0.00295629094399685,0.0294426460704174
36,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,102,Up,0.00559437180153321,0.0478490683136723
37,REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING,21,Up,0.00906660831265394,0.0704618138409806
38,REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,58,Up,0.0174015191151372,0.118936275737835
39,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,172,Up,0.0203955546027378,0.132023405580108
40,REACTOME_FATTY_ACID_METABOLISM,150,Up,0.0407046218309821,0.226613730993577
41,REACTOME_HS_GAG_BIOSYNTHESIS,21,Up,0.0556554668995854,0.287866621024545
42,REACTOME_ARMS_MEDIATED_ACTIVATION,6,Up,0.0635842896962134,0.320074557696018
43,REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,84,Up,0.0637640366409441,0.320074557696018
44,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,39,Up,0.072875259205262,0.354196894740496
45,REACTOME_DAP12_SIGNALING,28,Up,0.084605395618455,0.397333928502622
46,REACTOME_TRANSPORT_OF_ORGANIC_ANIONS,4,Up,0.0893170723635967,0.415636589023302
47,REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS,8,Up,0.112821918613298,0.490711242604999
48,REACTOME_METAL_ION_SLC_TRANSPORTERS,19,Up,0.117114115315561,0.505075240980629
49,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,223,Up,0.122604611055475,0.522862561353573
50,REACTOME_LRR_FLII_INTERACTING_PROTEIN_1_LRRFIP1_ACTIVATES_TYPE_I_IFN_PRODUCTION,5,Up,0.123461465380324,0.52490445049556
