,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,DERL3,2.3518270198328,-1.52346249091709,39.7801853182735,0,0
2,FKBP11,2.50305567124725,-1.57103085823067,51.5991659558525,0,0
3,JCHAIN,6.62618647664966,-1.34584619238813,91.1750850466525,0,0
4,MZB1,4.02740278479753,-1.52679754053582,79.0835219478758,0,0
5,TXNDC5,1.8837678698138,-1.59199725516818,39.0015308644945,7.86113659310002e-316,2.4561335171462e-312
6,TNFRSF17,1.53953880550291,-1.6214296214568,38.1078718452148,2.48947693209496e-302,6.48176810553123e-299
7,SEC11C,2.4710134117736,-1.24462125878749,25.3748182268561,3.90552453298115e-139,8.71601489346164e-136
8,ITM2C,1.43065242299745,-1.51551411249435,23.1515239861648,1.21699018158504e-116,2.37647757709018e-113
9,SSR4,3.3294139088395,-0.251950821608744,22.3690857651929,3.55158469666908e-109,6.16476179237383e-106
10,XBP1,2.45027588731318,-1.07769263873981,21.5224886872632,2.29005408152061e-101,3.57752248615149e-98
11,TENT5C,1.21627105454804,-1.57858671284912,21.1924032569476,2.13214326392004e-98,3.02803109717808e-95
12,HSP90B1,3.20089061944251,-0.197924756326191,21.0734593532648,2.44447372791009e-97,3.18229738145095e-94
13,LINC02362,0.651182277950245,-1.6576634088935,20.0875871296154,8.99938986737447e-89,1.0042033464866e-85
14,CD27,1.22917051055481,-1.56800227611475,19.8579387262484,7.84088313623263e-87,8.16601842361508e-84
15,CD79A,2.02663048153167,-1.03253432126216,19.2081434918779,1.86396162140656e-81,1.71287108527137e-78
16,PIM2,1.24513880937839,-1.54249457964338,18.7714807068596,6.14446767607574e-78,5.33271522420306e-75
17,ZBP1,0.867258531631713,-1.62423164391943,17.922924924319,2.54830992617517e-71,1.99048488333543e-68
18,HERPUD1,2.2936224759628,-0.857417266556339,17.6854954422299,1.60696344020399e-69,1.19542775537461e-66
19,PRDM1,1.1524743487263,-1.54773087944472,17.288705698808,1.45502268243815e-66,1.0331983793204e-63
20,MANF,1.43416401804688,-1.37439869826591,15.9961827100705,2.24556995227163e-57,1.4032117517755e-54
21,PDIA4,1.5328736983129,-1.30659738101933,15.9090170974298,8.84016544732473e-57,5.31157940838872e-54
22,UBE2J1,1.62859828498286,-1.21361925274629,14.5490593628725,6.73100122143201e-48,3.50505670270703e-45
23,SDF2L1,1.39608782914072,-1.35052501673658,14.3727160305411,8.39445258663313e-47,4.23026252607686e-44
24,ISG20,1.61432718094463,-1.26054716261807,14.0922653992608,4.36957471991326e-45,2.06853019013591e-42
25,GLCCI1,0.851531844589091,-1.58017739037953,13.7171933032412,7.67617250500403e-43,3.52697549626979e-40
26,LMAN1,1.32306180035466,-1.31195126727683,13.5094013858503,1.2695024412403e-41,5.66633346773027e-39
27,MYDGF,1.49216892728738,-1.14964890907098,13.14282306038,1.62014485019279e-39,7.0305285693644e-37
28,CD38,0.971520333187504,-1.52281484033618,13.1112542116186,2.44511842545353e-39,1.03236864979554e-36
29,PPIB,1.95713162990888,-0.441251244178418,12.9226365109729,2.80309412985546e-38,1.15236674991058e-35
30,SPCS2,1.81765979470562,-0.716867301984888,12.8461831532742,7.4612025328805e-38,2.98868989663228e-35
31,PRDX4,0.938637520292633,-1.50281786526006,12.1294954540414,5.49561092985475e-34,2.09396180356563e-31
32,POU2AF1,0.992304231458574,-1.47496809037807,11.9775719900541,3.4060825574481e-33,1.2669005169632e-30
33,TRAM2,0.583686662441498,-1.63650584121224,11.7467560101145,5.21719571751772e-32,1.89541933718748e-29
34,TXNDC11,0.811414020037497,-1.55956317279768,11.7095076860382,8.06510890940193e-32,2.8634802586972e-29
35,SPCS1,1.57915816633984,-0.748054036658588,11.5263422925167,6.73606698663747e-31,2.33846307700557e-28
36,SSR3,1.50230455369204,-0.896238680779365,11.2748252041222,1.1784250533495e-29,4.00203395291867e-27
37,ELL2,0.828410693262396,-1.54583608567236,10.9189721146108,6.08828320660507e-28,1.98148250528301e-25
38,SELENOS,1.31793547979257,-1.05929095770355,10.4349527578405,1.070120597883e-25,3.34348479602564e-23
39,ERLEC1,1.07648033051715,-1.32685788715819,10.3924613160436,1.66653575890066e-25,5.10482776971493e-23
40,TP53INP1,0.843492523984733,-1.50327319768964,10.1334851997875,2.38743661629045e-24,6.90676570734989e-22
41,CRELD2,0.823360633090391,-1.50222177796759,10.0504426796721,5.52939341443441e-24,1.57054879855081e-21
42,CADM1,0.471308204432978,-1.64897195048075,9.94274611030095,1.62700855256302e-23,4.53877278716776e-21
43,SPCS3,1.28341602947377,-1.02520156804012,9.74414224525172,1.15596735771933e-22,3.16816176531428e-20
44,LIME1,0.688786069752772,-1.59027911958211,9.69572992588399,1.85356008895119e-22,4.99246822579233e-20
45,HSPA5,1.35483380788948,-0.896402573796243,9.45594441413983,1.85832429664782e-21,4.9204647732597e-19
46,SUB1,1.5015468329918,-0.141454252694905,8.83897243104763,5.41558642241028e-19,1.32191079829521e-16
47,HM13,1.00558870360997,-1.26855897531777,8.73038740104666,1.41509790127658e-18,3.4010245251912e-16
48,SLAMF7,0.939426292787881,-1.3862014262649,8.63717984326396,3.19806323575586e-18,7.56971876802697e-16
49,PDK1,0.541386392378027,-1.62217618803707,8.51405448431931,9.26892604898701e-18,2.12939945201875e-15
50,DNAJB11,0.81308932093081,-1.41846637182916,8.05709247791849,4.22949210787155e-16,9.05111311084512e-14
51,RABAC1,1.1261751850043,-0.980402115939874,7.93726880298706,1.11376869491607e-15,2.35125602053767e-13
52,CLPTM1L,0.751272725150053,-1.4344167785166,7.5972648833565,1.61068930691011e-14,3.18508713323415e-12
