,Pathway,NGenes,Direction,PValue,FDR
1,REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION,10,Up,1.95993835696653e-39,3.00066562451576e-36
2,REACTOME_THE_NLRP3_INFLAMMASOME,15,Up,6.69888486969536e-26,5.1279963677518e-23
3,REACTOME_INFLAMMASOMES,20,Up,3.44418309057862e-19,1.75768143722529e-16
4,REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION,24,Up,7.36513713125185e-16,2.81900623698665e-13
5,REACTOME_FOXO_MEDIATED_TRANSCRIPTION,56,Up,1.39297480226147e-06,1.33290276391395e-04
6,REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,54,Up,6.69394322265607e-06,5.39390898625602e-04
7,REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,15,Up,0.0308765679732268,0.67531465095729
8,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,16,Up,0.0366928991344667,0.780233730206506
9,REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,26,Up,0.102377922512489,0.981971740168623
10,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,29,Up,0.122179499821811,0.981971740168623
11,REACTOME_PERK_REGULATES_GENE_EXPRESSION,31,Up,0.135040740907943,0.981971740168623
12,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_VENTX,38,Up,0.177330042455473,0.981971740168623
13,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,76,Up,0.336937917582515,0.981971740168623
14,REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,90,Up,0.375027516313934,0.981971740168623
15,REACTOME_LEISHMANIA_INFECTION,187,Up,0.414600475901424,0.981971740168623
16,REACTOME_METABOLISM_OF_LIPIDS,634,Up,0.737615657191728,0.981971740168623
17,REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,266,Up,0.763954627058254,0.981971740168623
18,REACTOME_NEURONAL_SYSTEM,258,Up,0.765026010399772,0.981971740168623
19,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,277,Up,0.766756936439411,0.981971740168623
20,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,223,Up,0.770322997337009,0.981971740168623
21,REACTOME_MITOTIC_PROMETAPHASE,193,Up,0.775880136541314,0.981971740168623
