,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,GZMK,2.26653307036165,-1.01454846575761,68.449400031581,0,0
2,GZMA,2.12375868010476,-0.276759756076635,38.2209226299616,8.642911500956e-306,6.75097817339673e-302
3,GZMH,1.09437791244846,-1.11853514640821,32.4280272528522,1.56094507033242e-223,8.12836129624437e-220
4,CCL5,2.17850747342306,1.21905603353974,31.4527892313797,7.86361024428194e-211,3.07113298090431e-207
5,NKG7,1.55296743186077,-0.316467114718604,29.1781866445143,1.54786003856053e-182,4.83613390447851e-179
6,CST7,1.0832038830093,-0.681095582370122,22.3720030483422,1.98244111057565e-109,5.16161583823547e-106
7,CCL4,1.32268172159283,-0.556617427416223,22.1474374492627,2.54034852876626e-107,5.66933210234092e-104
8,CD8A,0.941005372024302,-0.766669237063554,19.0273237709306,4.1369185451115e-80,8.07836768896648e-77
9,APOBEC3G,0.833581291205267,-0.742445880178711,16.49028682958,7.09306253845544e-61,1.2311980330639e-57
10,GZMB,0.776176457816376,-1.06116193362884,16.4597443218483,1.16513870225957e-60,1.82017968066989e-57
11,CD8B,0.72765804125148,-0.985072408667226,15.7084820522978,1.76785285115706e-55,2.51067247643415e-52
12,COTL1,0.580845821083618,-0.451296170589876,8.0682427806682,3.82622855208633e-16,3.51607896709957e-13
13,IL32,0.664799344050356,1.14547516124959,7.46343819298731,4.43910028145865e-14,3.8526458109415e-11
14,APOBEC3C,0.466383023005057,-1.01690800243158,7.43377795297317,5.55347713366644e-14,4.56612735695459e-11
15,CD3D,0.589322781135839,0.1921110678858,6.94504604325133,1.96714944688922e-12,1.46337184091921e-09
16,CD2,0.573921640737726,0.433839034172577,6.32416046791837,1.3080659788803e-10,8.88461161829043e-08
17,GIMAP7,0.505056315624405,-0.548449577169812,6.17203345441835,3.45503614213138e-10,2.24894060884902e-07
18,CD3G,0.534364105073417,-0.117382269216819,6.07212440723855,6.45923368711216e-10,4.03624594640264e-07
19,TRAC,0.525097947050908,0.125617046664411,5.77586851717446,3.90148088146562e-09,2.25736793815762e-06
20,HCST,0.517331409504904,0.0181271871968159,5.65262418560283,8.04047014836809e-09,4.48600802349308e-06
21,TMSB4X,0.423718842320923,3.92165694392537,5.61828548677459,9.80950032009741e-09,5.28427634484696e-06
22,SUB1,0.476859329852613,-0.315467772118721,5.36205196763463,4.17325887291643e-08,2.17315500375668e-05
23,GIMAP4,0.426351959436281,-0.881203111881144,5.22423942146715,8.85724064630611e-08,4.46347785085787e-05
24,GZMM,0.391966066975591,-1.00020572312714,4.96511526176663,3.46963263150072e-07,1.69383128029076e-04
25,CD27,0.369107534720935,-1.09193517583479,4.61865407595665,1.94676706262726e-06,8.94482207422445e-04
