,Symbol,logFC,AveExpr,t,P.Value,adj.P.Val
1,FTL,0.426225539427982,2.21765734780262,2.0462526788949,0.0203742409021127,1
2,CCL5,0.470923785638153,1.25465157088686,1.64902588032704,0.0495814143972294,1
3,MALAT1,0.338132742891171,6.35000647734992,0.820979284404824,0.205835417446968,1
4,ANKRD12,0.316349901891472,-0.292217135920269,0.666565372837678,0.252529902002711,1
5,IL32,0.292897559600704,1.1811766844221,0.352010037206668,0.362422004397134,1
6,CD2,0.28909191099094,0.464493468053291,0.346234181828973,0.364586640069388,1
7,AHNAK,0.280999807688107,-0.321544850517438,0.310117930779739,0.378237794263469,1
8,ITGB1,0.27739654072886,-0.423231525804223,0.266911289147323,0.39477066167805,1
9,APOC1,0.266351203847,-0.548693149245592,0.1723325137875,0.431589222571145,1
10,APOE,0.260818771428204,-0.990874552979668,0.162072577036916,0.435625414916694,1
11,CRIP1,0.258775401609249,0.685958031045098,0.0713710689205819,0.471569298448652,1
12,CD52,0.253707242510843,0.982484847075682,0.0321428911662981,0.487185588923982,1
13,BCL11B,0.252509345633844,-0.616145517426003,0.0276083759830621,0.488987446044415,1
14,LINC01871,0.245163803961289,-0.856008603955508,0,0.523877307836181,1
15,PAG1,0.221200004234556,-0.885162525535488,0,0.649703570573136,1
16,S100A10,0.201083959294211,0.512279409131036,0,0.665765882815617,1
17,KLRB1,0.202937672866038,-0.424804452602552,0,0.665889801822678,1
18,LAPTM5,0.204332971329872,-0.432435140265975,0,0.695831221829432,1
19,AAK1,0.201490819698573,-0.790287464886454,0,0.727356956270597,1
20,IFNG,0.201363331590459,-0.95402947906534,0,0.730385315363715,1
21,CD48,0.188055911738914,-0.0629174384408157,0,0.7346551994973,1
22,CD3D,0.17666401594673,0.221727043252791,0,0.751793047576193,1
23,GLIPR2,0.206318838500034,-1.01016628801281,0,0.758137250154093,1
24,TRBC1,0.165335474589231,-0.429983391711954,0,0.779003437210479,1
25,MBP,0.1875311255701,-0.776139332262032,0,0.782272408155028,1
26,C11orf58,0.186487997209746,-0.70908151686607,0,0.783651822190915,1
27,S100A4,0.145960211414208,1.1023682262218,0,0.801171584797233,1
28,C1QA,0.182442258914877,-0.866266107726,0,0.806975771436186,1
29,KLF6,0.144572682455,0.624439608688762,0,0.809778526100643,1
30,SARAF,0.163758355390592,-0.204016650645478,0,0.827639273445381,1
31,TMSB10,0.151810437227165,2.143486560046,0,0.829081392250677,1
32,PTPRC,0.142697669406841,1.05740985230953,0,0.83900850896118,1
33,CD8B,0.178740698317457,-0.966857341514526,0,0.855019816303819,1
34,IKZF3,0.160746180470853,-0.757516179076865,0,0.860855835544178,1
35,GZMA,0.115695268457186,-0.252628725317956,0,0.890473026882253,1
36,DDX5,0.112805253211192,1.19893322345683,0,0.897310806913564,1
37,CD69,0.117810470710922,-0.28143113525766,0,0.897762239262294,1
38,CD3G,0.118045946050042,-0.0920372142961473,0,0.899238577360054,1
39,ANKRD11,0.139196168507086,-0.674177917075243,0,0.906006863405258,1
40,KMT2A,0.13908307372937,-0.704586662617328,0,0.90951731271022,1
41,HCLS1,0.152065328844678,-0.850902191175021,0,0.910120628709283,1
42,TCEA1,0.150190366175206,-0.882917717217332,0,0.910595964243064,1
43,TBCA,0.141693082500857,-0.743849899078507,0,0.912797873072399,1
44,XBP1,0.155857839446791,-0.961429145790836,0,0.9159186530748,1
45,RBPJ,0.120253228867853,-0.582399900757605,0,0.91945230151509,1
46,PDE4B,0.161175562515081,-1.07193032480655,0,0.92337541519924,1
47,IQGAP1,0.124331805381484,-0.579368133600325,0,0.923508451235858,1
48,C1QC,0.187991336915598,-1.23028491120177,0,0.924738686571615,1
49,ARL4C,0.11537616296102,-0.464121578898236,0,0.925498324594305,1
50,AKAP13,0.119008171263186,-0.588853310470016,0,0.932157091141615,1
51,PRRC2C,0.0974719401972002,-0.285117421741791,0,0.940830303534747,1
52,S100A6,0.0756929307520545,1.07349313635006,0,0.942863120719594,1
53,SKAP1,0.127837859845264,-0.81233318963272,0,0.947246326064543,1
54,CD8A,0.118965356976782,-0.74618062700627,0,0.94936741700768,1
55,C1QB,0.129209760030811,-0.950658144272798,0,0.951752125203734,1
56,SON,0.0843763124913212,-0.297376291197232,0,0.95348532482663,1
57,PUM1,0.1618246630133,-1.14922717315974,0,0.955005753433959,1
58,YWHAB,0.0868422432039933,-0.237473142913145,0,0.955604234424802,1
