Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,63,Up,7.0373772870772e-06,0.0515981565534595,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,44,Up,8.99522910309192e-06,0.0515981565534595,""
GOMF_SIALYLTRANSFERASE_ACTIVITY,9,Down,9.95975226228146e-06,0.0515981565534595,""
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Down,2.70872677883382e-05,0.105247578991588,""
GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_4_PHOSPHATASE_ACTIVITY,8,Down,6.514997108021e-05,0.202512170105725,""
GOBP_GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS,17,Down,0.000132754339176737,0.343877989914142,""
GOCC_CYTOSOLIC_RIBOSOME,111,Down,0.000172833694132642,0.383740182029932,""
GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY,7,Up,0.000289230861518854,0.556243013756247,""
GOBP_MESENCHYMAL_CELL_APOPTOTIC_PROCESS,3,Down,0.000343848163157393,0.556243013756247,""
GOBP_GANGLIOSIDE_METABOLIC_PROCESS,15,Down,0.000357896675946627,0.556243013756247,""
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS,33,Down,0.000498865812464971,0.67089133774526,""
GOBP_TRANSPORT_OF_VIRUS,15,Up,0.000517996142899441,0.67089133774526,""
HP_ABNORMAL_BRONCHOALVEOLAR_LAVAGE_FLUID_MORPHOLOGY,3,Up,0.00106307399108151,0.999303189938431,""
GOMF_PHOSPHATIDYLINOSITOL_MONOPHOSPHATE_PHOSPHATASE_ACTIVITY,12,Down,0.00109389293650146,0.999303189938431,""
GOBP_CYTOPLASMIC_TRANSLATION,147,Down,0.00109618723718148,0.999303189938431,""
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS,9,Down,0.00116262248214929,0.999303189938431,""
GOBP_ADULT_HEART_DEVELOPMENT,3,Down,0.00126463563658995,0.999303189938431,""
GOBP_REGULATION_OF_VIRAL_PROCESS,115,Up,0.00140695164742009,0.999303189938431,""
GOBP_POSITIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,17,Down,0.00141276887709444,0.999303189938431,""
HP_LIMITED_EXTRAOCULAR_MOVEMENTS,7,Up,0.0016514514231613,0.999303189938431,""
GOBP_GOLGI_TO_LYSOSOME_TRANSPORT,9,Down,0.00173386899929774,0.999303189938431,""
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS,40,Down,0.00181976061817187,0.999303189938431,""
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS,10,Up,0.00185834444032989,0.999303189938431,""
HP_NARROW_FORAMEN_OBTURATORIUM,3,Down,0.00213100621049452,0.999303189938431,""
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY,19,Down,0.00216226909857213,0.999303189938431,""
GOMF_WNT_PROTEIN_BINDING,3,Down,0.00224169372405377,0.999303189938431,""
HP_ABNORMALITY_OF_GLYCOLIPID_METABOLISM,7,Down,0.00244459938024671,0.999303189938431,""
HP_EPILEPTIC_AURA,5,Down,0.00249839441589001,0.999303189938431,""
GOBP_POSITIVE_REGULATION_OF_PYROPTOSIS,5,Up,0.00250268465091916,0.999303189938431,""
GOCC_PARALLEL_FIBER_TO_PURKINJE_CELL_SYNAPSE,2,Down,0.00255952242625797,0.999303189938431,""
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS,57,Down,0.00262535338382245,0.999303189938431,""
GOCC_PROXIMAL_DENDRITE,3,Down,0.00269140517918964,0.999303189938431,""
HP_DERMATAN_SULFATE_EXCRETION_IN_URINE,4,Up,0.00277522784375026,0.999303189938431,""
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,69,Up,0.0029803364403251,0.999303189938431,""
GOMF_ALPHA_N_ACETYLNEURAMINATE_ALPHA_2_8_SIALYLTRANSFERASE_ACTIVITY,2,Down,0.00301033213513761,0.999303189938431,""
GOBP_POSITIVE_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION,10,Down,0.00330407326262877,0.999303189938431,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE,14,Up,0.00332194850726294,0.999303189938431,""
HP_FETAL_AKINESIA_SEQUENCE,10,Up,0.00339609468019592,0.999303189938431,""
GOBP_INTRACELLULAR_TRANSPORT_OF_VIRUS,8,Up,0.00344744334790311,0.999303189938431,""
GOCC_SMALL_SUBUNIT_PROCESSOME,68,Down,0.00358155613740481,0.999303189938431,""
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,42,Down,0.00363136759959971,0.999303189938431,""
HP_UTERINE_LEIOMYOMA,7,Down,0.00366845830064942,0.999303189938431,""
GOBP_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,30,Down,0.00376132784267672,0.999303189938431,""
GOMF_QUATERNARY_AMMONIUM_GROUP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,2,Up,0.00395090404884759,0.999303189938431,""
HP_ORTHOSTATIC_HYPOTENSION,20,Down,0.00398458344482477,0.999303189938431,""
GOMF_BETA_GALACTOSIDE_CMP_ALPHA_2_3_SIALYLTRANSFERASE_ACTIVITY,4,Down,0.0040071172750499,0.999303189938431,""
