Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,64,Up,3.51425404764001e-05,0.317731255523945,""
GOMF_WNT_PROTEIN_BINDING,3,Down,4.08710130594218e-05,0.317731255523945,""
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_MACROPHAGE_COLONY_STIMULATING_FACTOR_STIMULUS,2,Up,0.000133813851169038,0.513240648400144,""
GOBP_DEDIFFERENTIATION,3,Up,0.000156313006411801,0.513240648400144,CDK6
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,44,Up,0.000165050375739691,0.513240648400144,""
HP_DILATATION_OF_THE_BLADDER,1,Up,0.000384477665792939,0.691469126436315,""
HP_MEGACYSTIS,1,Up,0.000384477665792939,0.691469126436315,""
GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_MIGRATION,7,Up,0.000385498133364684,0.691469126436315,""
GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY,7,Up,0.000400258691659817,0.691469126436315,""
GOBP_REGULATION_OF_VIRAL_PROCESS,116,Up,0.00102668689004794,0.999886280716945,""
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,69,Up,0.00115112471730027,0.999886280716945,""
GOBP_MICROGLIAL_CELL_PROLIFERATION,2,Up,0.00144854075397833,0.999886280716945,""
GOBP_NEUTROPHIL_MEDIATED_IMMUNITY,14,Down,0.0020288160151662,0.999886280716945,""
GOBP_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST,28,Up,0.00203452892528758,0.999886280716945,""
GOBP_POSITIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE,9,Down,0.00224085338336003,0.999886280716945,""
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION,9,Down,0.00224085338336003,0.999886280716945,""
GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,29,Up,0.00234057235732211,0.999886280716945,""
GOBP_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT,2,Down,0.00241446661547128,0.999886280716945,""
GOMF_SODIUM_ION_BINDING,3,Down,0.002498558233385,0.999886280716945,""
GOCC_POLAR_MICROTUBULE,4,Down,0.0025812708209251,0.999886280716945,""
GOBP_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,6,Down,0.00275359411514134,0.999886280716945,""
GOMF_5S_RRNA_BINDING,8,Down,0.00293166035623193,0.999886280716945,""
GOMF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,16,Up,0.00328899103312481,0.999886280716945,CDK6
GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS,33,Down,0.00329992592418331,0.999886280716945,""
GOBP_NEGATIVE_REGULATION_OF_MONOCYTE_DIFFERENTIATION,4,Up,0.003480673007031,0.999886280716945,CDK6
GOBP_MONOCYTE_ACTIVATION,3,Up,0.00360065501092304,0.999886280716945,""
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,57,Up,0.00406418667757103,0.999886280716945,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_LIFE_CYCLE,15,Up,0.00409920113571716,0.999886280716945,""
GOBP_AUTOPHAGY_OF_PEROXISOME,12,Down,0.00435512677714274,0.999886280716945,""
GOBP_NEGATIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,2,Down,0.00451835721198676,0.999886280716945,""
GOBP_PROTEIN_OXIDATION,4,Down,0.00465476036682189,0.999886280716945,""
GOBP_REGULATION_OF_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS,1,Down,0.00475665357271758,0.999886280716945,""
GOBP_QUATERNARY_AMMONIUM_GROUP_TRANSPORT,4,Up,0.00484646131016408,0.999886280716945,""
GOBP_NEUTROPHIL_MEDIATED_CYTOTOXICITY,3,Down,0.00490766109552529,0.999886280716945,""
GOBP_REGULATION_OF_MONOCYTE_DIFFERENTIATION,12,Up,0.00518685060974768,0.999886280716945,CDK6
HP_SECOND_TRIMESTER_ONSET,19,Up,0.00523748585691926,0.999886280716945,""
GOBP_POSITIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,18,Down,0.00524385518220897,0.999886280716945,""
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION,4,Down,0.00526925292394779,0.999886280716945,""
HP_ABNORMAL_FETAL_GASTROINTESTINAL_SYSTEM_MORPHOLOGY,11,Up,0.00529244708036375,0.999886280716945,""
GOBP_REGULATION_OF_RIBONUCLEASE_ACTIVITY,8,Up,0.00535719560358901,0.999886280716945,""
GOBP_CELLULAR_RESPONSE_TO_MACROPHAGE_COLONY_STIMULATING_FACTOR_STIMULUS,3,Up,0.00536111794713105,0.999886280716945,""
GOBP_MACROPHAGE_COLONY_STIMULATING_FACTOR_SIGNALING_PATHWAY,3,Up,0.00536111794713105,0.999886280716945,""
HP_DYSMENORRHEA,6,Up,0.00593000702799367,0.999886280716945,""
GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX,6,Up,0.0060450810148675,0.999886280716945,""
GOBP_AXONAL_FASCICULATION,3,Up,0.0062500992401068,0.999886280716945,""
GOCC_PROXIMAL_DENDRITE,3,Down,0.00633248444261811,0.999886280716945,""
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,5,Up,0.00634789745914938,0.999886280716945,""
GOMF_SODIUM_CHANNEL_REGULATOR_ACTIVITY,15,Down,0.0064018148969,0.999886280716945,""
GOBP_INTERLEUKIN_2_MEDIATED_SIGNALING_PATHWAY,8,Up,0.00648658124773818,0.999886280716945,""
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION,36,Down,0.00670622628178356,0.999886280716945,""
