Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,44,Down,1.40563980429301e-07,0.0021846453838322,""
GOBP_ERBB2_EGFR_SIGNALING_PATHWAY,1,Down,1.85321541000065e-06,0.0144013369511151,AREG
GOCC_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_COMPLEX,20,Up,4.01110030611648e-06,0.0207801736525541,""
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,69,Down,7.49381834532843e-06,0.0291172311807736,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,63,Down,7.17116479270443e-05,0.222908486416424,""
GOBP_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,1,Up,0.00011774782871961,0.261433821994311,""
GOBP_NEGATIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,1,Up,0.00011774782871961,0.261433821994311,""
HP_ABNORMALITY_OF_DENTAL_COLOR,13,Up,0.000173629910706566,0.329247368008929,""
GOBP_CATECHOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,5,Down,0.000203103765008406,0.329247368008929,""
GOBP_CHONDROCYTE_DEVELOPMENT,10,Down,0.000211843628882338,0.329247368008929,""
GOBP_POSITIVE_REGULATION_OF_INTEGRIN_ACTIVATION,5,Up,0.000262781952651215,0.364857787580332,""
GOCC_MITOCHONDRIAL_PERMEABILITY_TRANSITION_PORE_COMPLEX,5,Up,0.000286996773120036,0.364857787580332,""
GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX,6,Up,0.000305182810355444,0.364857787580332,""
HP_ABNORMAL_CIRCULATING_T4_CONCENTRATION,4,Up,0.000437933066564528,0.486168265753278,""
GOBP_DOPAMINE_BIOSYNTHETIC_PROCESS,4,Down,0.000614761940947671,0.63697533908058,""
GOCC_INTERCHROMATIN_GRANULE,5,Up,0.000763144270968668,0.709459731315392,""
GOBP_REGULATION_OF_INTEGRIN_ACTIVATION,6,Up,0.000840462604239204,0.709459731315392,""
GOBP_REGULATION_OF_VIRAL_PROCESS,115,Down,0.000882774018546528,0.709459731315392,""
GOBP_T_CELL_HOMEOSTASIS,35,Up,0.000891326528071805,0.709459731315392,""
GOBP_NEGATIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,5,Down,0.000940190551701748,0.709459731315392,""
GOBP_REGULATION_OF_CALCIUM_IMPORT_INTO_THE_MITOCHONDRION,5,Up,0.00095860599392763,0.709459731315392,""
GOBP_STRIATED_MUSCLE_ADAPTATION,16,Up,0.00106244261531903,0.741170764176284,""
GOBP_BRANCH_ELONGATION_INVOLVED_IN_MAMMARY_GLAND_DUCT_BRANCHING,3,Down,0.00111074056586323,0.741170764176284,AREG
GOMF_DEAD_H_BOX_RNA_HELICASE_BINDING,6,Down,0.00114451797324867,0.741170764176284,""
HP_PARESIS_OF_EXTENSOR_MUSCLES_OF_THE_BIG_TOE,5,Down,0.0012596944168701,0.783126825079803,""
GOBP_GROWTH_HORMONE_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT,9,Up,0.00132109562268439,0.789710314144646,""
GOBP_FARNESYL_DIPHOSPHATE_METABOLIC_PROCESS,4,Down,0.00150852575751311,0.849218532827173,""
GOCC_RIPOPTOSOME,6,Up,0.00154190924966148,0.849218532827173,""
GOCC_OTHER_ORGANISM_PART,2,Down,0.00158456681585304,0.849218532827173,""
GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_REMODELING,1,Down,0.00180889699342415,0.901328094259922,""
HP_DECREASED_LYMPHOCYTE_APOPTOSIS,6,Up,0.00202060083144228,0.901328094259922,""
GOBP_REGULATION_OF_PHOSPHOLIPID_CATABOLIC_PROCESS,3,Down,0.00203708353926431,0.901328094259922,""
GOBP_GLIAL_CELL_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY,2,Down,0.00212759466071619,0.901328094259922,""
GOBP_CELLULAR_RESPONSE_TO_ALDEHYDE,7,Down,0.00213781133711524,0.901328094259922,""
GOBP_LIPOPROTEIN_LOCALIZATION,13,Down,0.00214366396286186,0.901328094259922,""
GOMF_GROWTH_FACTOR_ACTIVITY,25,Down,0.0022281994904024,0.901328094259922,AREG
GOBP_REGULATION_OF_FAS_SIGNALING_PATHWAY,4,Down,0.00249134006042819,0.901328094259922,""
GOMF_ATP_DEPENDENT_PEPTIDASE_ACTIVITY,7,Up,0.00251007318879659,0.901328094259922,""
GOMF_HMG_BOX_DOMAIN_BINDING,3,Down,0.00253382115435998,0.901328094259922,""
GOMF_PSEUDOURIDINE_SYNTHASE_ACTIVITY,13,Up,0.00254244847664636,0.901328094259922,""
GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS,62,Up,0.0025790951420533,0.901328094259922,""
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,24,Down,0.00266520982001197,0.901328094259922,""
GOBP_DESMOSOME_ORGANIZATION,2,Down,0.0027043805233099,0.901328094259922,""
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX,10,Down,0.00273287740300455,0.901328094259922,""
HP_HETEROTAXY,8,Up,0.00282163697379092,0.901328094259922,""
GOCC_SEPTIN_CYTOSKELETON,9,Down,0.00283299544298787,0.901328094259922,""
HP_POSTERIOR_BLEPHARITIS,3,Up,0.00287382475172277,0.901328094259922,""
HP_ABDOMINAL_SITUS_INVERSUS,6,Up,0.0029861929245099,0.901328094259922,""
HP_ABNORMALITY_OF_ABDOMINAL_SITUS,6,Up,0.0029861929245099,0.901328094259922,""
GOMF_HORMONE_RECEPTOR_BINDING,9,Up,0.00301758401230596,0.901328094259922,""
