Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_INTERFERON_ALPHA_RESPONSE,80,Up,6.80526318783789e-06,0.000340263159391895,""
HALLMARK_INTERFERON_GAMMA_RESPONSE,152,Up,0.000311884370552037,0.00779710926380092,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,47,Up,0.000655080045706864,0.0109180007617811,""
HALLMARK_IL2_STAT5_SIGNALING,128,Up,0.00584613641146469,0.0730767051433087,""
HALLMARK_ANGIOGENESIS,8,Down,0.0633134321089333,0.478811608486169,""
HALLMARK_MYC_TARGETS_V2,48,Down,0.0681592475544551,0.478811608486169,""
HALLMARK_APICAL_JUNCTION,73,Down,0.0704798121236849,0.478811608486169,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,23,Down,0.0766098573577871,0.478811608486169,""
HALLMARK_HYPOXIA,105,Up,0.125836130834368,0.699089615746489,""
HALLMARK_COAGULATION,34,Down,0.194521777152928,0.91585675030347,""
HALLMARK_KRAS_SIGNALING_UP,76,Up,0.201703270992417,0.91585675030347,""
HALLMARK_MYOGENESIS,48,Down,0.249982383697254,0.91585675030347,""
HALLMARK_HEDGEHOG_SIGNALING,9,Up,0.29991432278774,0.91585675030347,CDK6
HALLMARK_PROTEIN_SECRETION,83,Down,0.307779297112158,0.91585675030347,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,47,Up,0.30845366529105,0.91585675030347,""
HALLMARK_GLYCOLYSIS,105,Up,0.309117168132427,0.91585675030347,""
HALLMARK_CHOLESTEROL_HOMEOSTASIS,46,Up,0.31139129510318,0.91585675030347,""
HALLMARK_NOTCH_SIGNALING,14,Down,0.34162025281036,0.922236842219654,""
HALLMARK_KRAS_SIGNALING_DN,34,Up,0.365912635479664,0.922236842219654,""
HALLMARK_INFLAMMATORY_RESPONSE,86,Up,0.368894736887862,0.922236842219654,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,82,Down,0.453015189131033,0.955377361204055,""
HALLMARK_DNA_REPAIR,129,Down,0.476877390276508,0.955377361204055,""
HALLMARK_BILE_ACID_METABOLISM,49,Down,0.482195649545505,0.955377361204055,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,39,Up,0.482993685205749,0.955377361204055,""
HALLMARK_MTORC1_SIGNALING,160,Up,0.568022596215196,0.955377361204055,""
HALLMARK_UV_RESPONSE_UP,92,Up,0.569723300231953,0.955377361204055,""
HALLMARK_ALLOGRAFT_REJECTION,126,Up,0.574254722703988,0.955377361204055,""
HALLMARK_PANCREAS_BETA_CELLS,10,Down,0.603993665853787,0.955377361204055,""
HALLMARK_APICAL_SURFACE,15,Down,0.604439814872714,0.955377361204055,""
HALLMARK_UV_RESPONSE_DN,75,Down,0.618047904662902,0.955377361204055,""
HALLMARK_MYC_TARGETS_V1,189,Down,0.655945776448648,0.955377361204055,""
HALLMARK_HEME_METABOLISM,119,Down,0.656637118125222,0.955377361204055,""
HALLMARK_SPERMATOGENESIS,40,Down,0.67189978397606,0.955377361204055,""
HALLMARK_XENOBIOTIC_METABOLISM,87,Up,0.678699684277892,0.955377361204055,""
HALLMARK_MITOTIC_SPINDLE,138,Down,0.704680111866674,0.955377361204055,""
HALLMARK_PEROXISOME,71,Up,0.716031678584845,0.955377361204055,""
HALLMARK_P53_PATHWAY,137,Down,0.739571416954375,0.955377361204055,""
HALLMARK_E2F_TARGETS,141,Up,0.746745663844997,0.955377361204055,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,97,Down,0.764260977816475,0.955377361204055,""
HALLMARK_COMPLEMENT,107,Up,0.775366700622183,0.955377361204055,""
HALLMARK_G2M_CHECKPOINT,136,Up,0.798649373388474,0.955377361204055,""
HALLMARK_TNFA_SIGNALING_VIA_NFKB,132,Up,0.814883041321685,0.955377361204055,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,82,Down,0.841595067649419,0.955377361204055,""
HALLMARK_OXIDATIVE_PHOSPHORYLATION,197,Down,0.846694631056053,0.955377361204055,""
HALLMARK_ADIPOGENESIS,134,Down,0.872065025371973,0.955377361204055,""
HALLMARK_APOPTOSIS,111,Down,0.894665925375849,0.955377361204055,""
HALLMARK_ANDROGEN_RESPONSE,70,Down,0.898054719531812,0.955377361204055,CDK6
HALLMARK_FATTY_ACID_METABOLISM,106,Down,0.950069345362695,0.967658908171163,""
HALLMARK_ESTROGEN_RESPONSE_LATE,74,Down,0.950305703368956,0.967658908171163,""
HALLMARK_TGF_BETA_SIGNALING,36,Down,0.967658908171163,0.967658908171163,""
