Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,58,Up,9.73328097099019e-06,0.0160404470401918,""
REACTOME_SIALIC_ACID_METABOLISM,16,Down,9.91328566023265e-05,0.081685473840317,""
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS,6,Up,0.00207385004075058,0.992325629551358,""
REACTOME_SPERM_MOTILITY_AND_TAXES,1,Down,0.00316618175990304,0.992325629551358,""
REACTOME_RAF_ACTIVATION,29,Down,0.00516355186071298,0.992325629551358,""
REACTOME_OTHER_INTERLEUKIN_SIGNALING,13,Up,0.00522224061776622,0.992325629551358,""
REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING,17,Up,0.00555893668079583,0.992325629551358,""
REACTOME_REGULATION_OF_GLYCOLYSIS_BY_FRUCTOSE_2_6_BISPHOSPHATE_METABOLISM,8,Down,0.0058102694009475,0.992325629551358,""
REACTOME_DRUG_MEDIATED_INHIBITION_OF_CDK4_CDK6_ACTIVITY,4,Up,0.00590927702529601,0.992325629551358,CDK6
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS,1,Down,0.00749787674704776,0.992325629551358,""
REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN,9,Down,0.00800400958038139,0.992325629551358,""
REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS,24,Up,0.00831475085027816,0.992325629551358,""
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION,11,Down,0.00883831034974229,0.992325629551358,""
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING,30,Up,0.00954109418851491,0.992325629551358,""
REACTOME_OAS_ANTIVIRAL_RESPONSE,8,Up,0.00965369196827202,0.992325629551358,""
REACTOME_RAB_GERANYLGERANYLATION,36,Down,0.0123161399523404,0.992325629551358,""
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_GLUCONEOGENESIS,3,Up,0.0138146372036577,0.992325629551358,""
REACTOME_RHO_GTPASES_ACTIVATE_KTN1,8,Down,0.0145050536382672,0.992325629551358,""
REACTOME_INTERFERON_GAMMA_SIGNALING,61,Up,0.014781867708336,0.992325629551358,""
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL,3,Up,0.0157149674963037,0.992325629551358,""
REACTOME_SIGNALING_BY_ERYTHROPOIETIN,21,Up,0.0161587555962496,0.992325629551358,""
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,7,Down,0.0170344369299201,0.992325629551358,""
REACTOME_DARPP_32_EVENTS,20,Down,0.0176744612934433,0.992325629551358,""
REACTOME_SPHINGOLIPID_CATABOLISM,6,Up,0.0193701833298867,0.992325629551358,""
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,5,Up,0.0195133917708357,0.992325629551358,""
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION,5,Up,0.0195133917708357,0.992325629551358,""
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_TRIGLYCERIDE_LIPOLYSIS_IN_ADIPOSE,3,Up,0.0207475706711721,0.992325629551358,""
REACTOME_FIBRONECTIN_MATRIX_FORMATION,3,Down,0.0207676126725075,0.992325629551358,""
REACTOME_SODIUM_CALCIUM_EXCHANGERS,3,Down,0.0210169038295106,0.992325629551358,""
REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS,5,Down,0.0231338008442353,0.992325629551358,""
REACTOME_RAP1_SIGNALLING,10,Down,0.0240796230316413,0.992325629551358,""
REACTOME_METALLOTHIONEINS_BIND_METALS,4,Up,0.0246388947618123,0.992325629551358,""
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION,15,Up,0.0247873509145001,0.992325629551358,""
