gene,logFC,logCPM,LR,PValue,FDR
GZMH,2.41513560508266,5.83968864167532,21.6238410610952,3.31703029330795e-06,0.0283572919774897
FARP1,2.941669129636,4.39103688388767,16.247849115027,5.55726474913434e-05,0.237545281701747
TRIB2,-1.54511814736152,6.00953644721594,15.0538864844496,0.000104484887807545,0.278003280365838
SYNJ2,-2.34966439404372,5.03401380950601,14.2405070640514,0.000160870199663989,0.278003280365838
ZFP62,-2.84039373043207,4.70543464596053,14.2204483897785,0.000162594034603953,0.278003280365838
ETV6,-1.66536254852177,5.79786237102183,13.4051083302785,0.000250939964812939,0.35754762653097
ERAP2,-1.46050189105186,6.36367275289997,13.1016416551983,0.000295037114152834,0.360324612698939
PUM2,-1.25125824576992,6.35496962394474,12.5231307033903,0.000401944827820075,0.419084553799678
EXOC7,-1.64994904448838,5.63039816494298,12.349124884558,0.00044119323712681,0.419084553799678
INPP4B,-1.16346087901096,6.40153494614313,11.7059612940779,0.000623001887316355,0.462186867937804
RTKN2,1.59055615193525,5.7446359024301,11.1122370071515,0.00085759989244198,0.462186867937804
PCSK7,-1.01089542466555,7.38889969183293,10.950781344368,0.000935641518419579,0.462186867937804
GIGYF2,-1.41390043643706,5.99055202557903,10.9126258982967,0.000955110415655606,0.462186867937804
ST8SIA1,-2.07325748272677,5.51060142196812,10.8553786597934,0.000985092177908259,0.462186867937804
CHMP5,0.786627012245295,7.0765474915633,10.8281080448943,0.000999707380842116,0.462186867937804
LAYN,-2.0292306455274,4.69098163892169,10.7333285813046,0.00105223000929009,0.462186867937804
DNAJC30,-2.7615116267135,4.3547785267871,10.643431882806,0.00110462502111783,0.462186867937804
OPTN,0.631976203186651,7.51633640814276,10.475228281452,0.00120985838372148,0.462186867937804
LAPTM5,-0.430921092876335,8.85389784742842,10.4065332596355,0.00125570257711349,0.462186867937804
OAS1,1.46468197083833,5.93865335875764,10.3629947813135,0.00128566470177235,0.462186867937804
NEDD4,-3.15469105559467,3.90897285893252,10.3349645485777,0.00130533631435504,0.462186867937804
