gene,logFC,logCPM,LR,PValue,FDR
CDK6,1.01323284859321,6.82431989919791,22.8074252076244,1.79072514712569e-06,0.0154038177155752
ERAP2,-1.33068867481551,6.4441447557988,19.1987719089328,1.17789144578231e-05,0.050661111083097
MIF4GD,-2.06379665836668,5.41631283528402,12.845883669455,0.00033822244854136,0.751404026497598
DDX19A,1.44204691330627,5.10677893782513,12.7850041690972,0.000349408986978655,0.751404026497598
RRAS2,1.92335728977843,4.65500740857251,12.2957035226785,0.000454002204942649,0.781065393383333
LRIG2,1.54110178021481,4.79111488421477,11.2464357448513,0.000797760602087268,0.999285360615371
C18orf21,-1.53178325492764,4.99567689520709,11.0638044199326,0.000880293335904892,0.999285360615371
JAZF1,-1.3955937754285,5.50984023931671,10.934403433905,0.000943948747118586,0.999285360615371
LAPTM5,-0.336508579125403,8.85155567385987,10.3860911273058,0.0012696813291948,0.999285360615371
PLEKHN1,-2.29445052648878,4.06616412794102,10.3493170125607,0.00129522598947742,0.999285360615371
CSF1,1.26605186267433,5.85720664232137,9.88416862282367,0.00166706835101706,0.999285360615371
PITRM1,1.73924685490514,4.56942089408376,9.53435802883604,0.0020166069830159,0.999285360615371
GSK3A,-1.31902024114765,5.65237559900769,9.48121543786818,0.00207586393454193,0.999285360615371
TFPT,1.29491555332743,5.15897886575898,9.13589429158642,0.00250642917872914,0.999285360615371
NUCB1,-0.834110785172602,6.40329203511019,9.02577523914045,0.00266199004889536,0.999285360615371
ELP4,-1.45848910802909,4.75387679636657,8.90753460815172,0.00283996419251701,0.999285360615371
TASOR2,1.43576946160156,5.24520557631754,8.82079191535718,0.00297817388966068,0.999285360615371
DTX2,-2.97331710715255,4.29557007507956,8.79093388842044,0.00302731234306113,0.999285360615371
ZNF664,-1.88844674900056,4.68964442927024,8.77926083331296,0.00304674635384899,0.999285360615371
FASTKD3,-1.96006989745988,4.04583785372744,8.75164359526573,0.00309323145222032,0.999285360615371
MED27,-1.2961879758295,4.95755456713374,8.69136671221735,0.00319720795464963,0.999285360615371
RNH1,-0.624861724910918,6.81854564951173,8.43132363066891,0.00368811778556386,0.999285360615371
NFATC1,-1.71240077723757,5.05621297202963,8.40726138575939,0.00373725218169873,0.999285360615371
TET3,-1.93688922490048,4.34835627274578,8.37440626393236,0.00380541859268313,0.999285360615371
THAP2,-2.82976290261235,4.64992039137781,8.36129261771072,0.00383297814627863,0.999285360615371
HVCN1,-2.97497113315593,3.88785771627175,8.35966511697369,0.00383641262459895,0.999285360615371
ATOX1,0.825012160542055,6.67974663268199,8.29771975135957,0.00396948875675785,0.999285360615371
ZNF174,1.88391068404655,3.9203018147688,8.27075112612092,0.00402888350106875,0.999285360615371
KATNAL1,-2.77568043109292,4.23607290476361,8.19904499727566,0.00419124452237058,0.999285360615371
CASP7,1.25756325927569,4.92375982700553,8.11369665277893,0.00439320471893686,0.999285360615371
TRMT61B,-2.80307768020484,4.25861019519279,8.11138534647844,0.0043988096884241,0.999285360615371
GIHCG,1.8272384438279,4.48439126000646,7.93494948490584,0.00484889808487065,0.999285360615371
WRAP53,-2.84566365406194,4.03933717825161,7.89634526721563,0.00495347826421362,0.999285360615371
GAPVD1,1.05516650545173,5.67548724876902,7.88147472486385,0.00499437368073601,0.999285360615371
ZNF426,1.79355985481101,4.2923970956997,7.76093039346403,0.00533884518567667,0.999285360615371
QTRT1,-1.94909744790733,4.70158979939005,7.66648995878858,0.00562557862616372,0.999285360615371
PLEK,-2.30720203845851,4.17936708161805,7.6638029406857,0.00563396269952074,0.999285360615371
ATG2B,-1.43720151457786,4.62956885902264,7.56412872000163,0.00595414318241735,0.999285360615371
PPP2CB,-1.21888049778598,4.92015314336953,7.55513432603024,0.00598393376613687,0.999285360615371
SNX18,1.58301704707547,4.37939436336413,7.52046510311772,0.00610019277944888,0.999285360615371
RANBP6,1.28556432931671,4.80511855156533,7.51199167354461,0.00612895626267868,0.999285360615371
TACC3,0.931390555145338,5.47398332490921,7.47472179333477,0.00625712332059605,0.999285360615371
AGPAT4,-1.51295733725149,4.65995391293428,7.45447309009067,0.00632789993722697,0.999285360615371
VAMP7,-1.55456592412371,5.05222785503875,7.43032993725024,0.00641335819507725,0.999285360615371
IL2RA,1.61569922000489,7.57989264689393,7.40863659398459,0.00649114970888019,0.999285360615371
POLR3F,-2.88346017095895,3.98583943359398,7.33624766356981,0.00675777572106533,0.999285360615371
TRIB2,-0.837980250950258,6.06662503363346,7.32297364105855,0.00680786773486667,0.999285360615371
HNRNPC,0.339581822561205,8.86000831929804,7.262242195191,0.0070419318132954,0.999285360615371
CCDC18-AS1,1.55251451974784,5.5894888903388,7.25849682134901,0.00705663314762844,0.999285360615371
MXRA7,1.31923077149655,4.61647975844859,7.15519291779198,0.00747472547212586,0.999285360615371
TRABD2A,-1.59166757828056,4.42615793046989,7.1539494369947,0.00747990943595348,0.999285360615371
TMCO4,-2.63019290231925,4.26092991929898,7.12818111860511,0.00758816644935775,0.999285360615371
PHF5A,-1.12200720517408,5.65439647933687,7.1036506521202,0.00769271129295921,0.999285360615371
OSER1,1.00030207183291,5.05599648939403,7.10095193000872,0.00770430236491048,0.999285360615371
STK17B,0.307756071522172,9.04915478797444,7.0849851846354,0.00777324620079012,0.999285360615371
ABTB1,-0.944580660799613,5.78115969720633,7.0512696995975,0.00792090856772891,0.999285360615371
CXXC5,-1.77862176769755,4.32569309079295,7.04936692708732,0.00792932708144937,0.999285360615371
NGRN,1.09022040169325,5.72285585067024,7.02396554501605,0.00804259194432049,0.999285360615371
API5,-1.04571539620945,5.60814831619239,6.89944850523445,0.00862223433516462,0.999285360615371
CHN1,-2.05867917454546,4.194716813893,6.89905530689869,0.00862413089793293,0.999285360615371
SLCO3A1,-1.01313882278162,5.70161750949508,6.8912218685295,0.00866200401517016,0.999285360615371
PRUNE1,-1.9496157349924,4.02055810834894,6.88461839554181,0.00869406270979032,0.999285360615371
WDR70,-0.917066441993913,5.29120935858344,6.83391978166598,0.00894427672579404,0.999285360615371
ZNF281,0.909435998586894,5.61220608348345,6.82212333726662,0.00900354585692636,0.999285360615371
WDR37,-1.49274709825263,4.5634259673065,6.78278223130948,0.00920413135115496,0.999285360615371
RACK1,-0.251325333209719,10.6807490160509,6.7750284053964,0.00924420197568726,0.999285360615371
SLFN5,0.554583547173337,8.60392476066741,6.7384452668561,0.00943568223548689,0.999285360615371
RAMAC,2.09756214627564,4.11742805266811,6.69075393894772,0.00969142106998056,0.999285360615371
EML3,-1.10244530264596,5.19501920692874,6.67906673951892,0.00975516865479283,0.999285360615371
WDR41,-1.63377383258628,4.14584765192419,6.66070787501816,0.0098561755665091,0.999285360615371
COA6-AS1,1.85163190666529,3.97185702572269,6.59600215067882,0.0102208008958756,0.999285360615371
ATP8A1,1.04410321171158,5.28323977820336,6.5315946809836,0.0105974906099676,0.999285360615371
SPRYD7,1.43766377641558,4.29859951142963,6.52944639925119,0.0106102974773671,0.999285360615371
ERH,0.444929718277779,7.48172545845895,6.48596012798424,0.0108729794971812,0.999285360615371
ELF2,-0.751850773179763,6.29517216900787,6.46910366426977,0.0109765879886736,0.999285360615371
USP21,-2.02338082911568,3.83625744526297,6.45567671812587,0.0110598413258509,0.999285360615371
LINC01003,-1.13349963397685,4.8436623125324,6.45368821772714,0.0110722259218124,0.999285360615371
TSC1,-1.37961349545787,4.9001784122303,6.42839562029447,0.0112309983018489,0.999285360615371
SEPSECS-AS1,-1.55788846240506,4.31337700643489,6.42633302027607,0.0112440487138396,0.999285360615371
TMBIM4,-0.446607718899812,7.79239404546313,6.39736695022254,0.0114289745917026,0.999285360615371
TMED5,-0.62741120838348,6.24028177270796,6.39486346169349,0.0114451032708461,0.999285360615371
RAB8B,-0.536656686493438,7.28836117728848,6.38112118479769,0.0115340546824458,0.999285360615371
AREL1,-1.54917770484912,4.36648764210524,6.37180282684804,0.0115947742933975,0.999285360615371
RECK,-2.65984286920215,4.09078117614935,6.34547467894553,0.0117681114994156,0.999285360615371
RNF141,-1.75333545932603,4.25461844325354,6.33839077042576,0.0118152026516213,0.999285360615371
TXLNA,1.00135434150361,5.90229297115175,6.26819962090881,0.01229239830567,0.999285360615371
BLOC1S4,-0.964713475034909,5.9956344340352,6.25576596711682,0.012378971130984,0.999285360615371
PPP3R1,-0.776936746277574,5.79176468810742,6.24118178196065,0.0124813163920459,0.999285360615371
SLC17A5,-1.61105648076618,4.27174393580407,6.21604957543486,0.0126597276291885,0.999285360615371
WDTC1,1.29199017055262,4.81604487792354,6.21231008498618,0.0126864970311651,0.999285360615371
C9orf72,-1.37153181278391,4.6459904037228,6.18187115762611,0.0129065717865972,0.999285360615371
TXN2,-0.693051103481838,6.2715284555594,6.16530185398387,0.013028014096501,0.999285360615371
CROT,1.40311651197114,4.3813749942002,6.1629507224961,0.0130453412905253,0.999285360615371
IGFLR1,1.01755444592075,6.48538735144007,6.15938007785734,0.013071701282592,0.999285360615371
PEX26,-0.972346500828184,5.3223120203418,6.14398672645806,0.013185969825282,0.999285360615371
KIAA1671,1.72382062389412,4.02831813751238,6.1362134477978,0.0132440624726588,0.999285360615371
NPRL3,-1.32464029270432,4.88805488301047,6.03373889698575,0.0140349738600629,0.999285360615371
PLPP1,1.2158446314337,4.6219517307191,5.97300861569058,0.014526475817601,0.999285360615371
CAPS,-2.49522657899871,4.31309952278179,5.96976687697015,0.0145532046588517,0.999285360615371
FARP1,1.45275081200951,4.41736761234403,5.96476203607809,0.0145945701177571,0.999285360615371
TMEM242,-1.09294767953528,5.3932594435582,5.95051504520739,0.0147129867400366,0.999285360615371
SUMF1,-1.8185873522144,4.15446794316819,5.94471254021294,0.0147614984407074,0.999285360615371
SNF8,-0.633959247170905,6.41136591701143,5.93351617984122,0.0148555713553008,0.999285360615371
MAPKAPK5-AS1,-0.702338759576558,5.96951330236612,5.88831914591466,0.0152416415241404,0.999285360615371
TRIM52-AS1,1.70048864751487,4.43649938740358,5.8671913160612,0.0154256440389799,0.999285360615371
STAT2,0.695059539355164,6.08100006079118,5.82099910313123,0.0158359471844218,0.999285360615371
UNG,-1.62712805095915,4.57161776218842,5.80093241070902,0.016017678232286,0.999285360615371
