gene,logFC,logCPM,LR,PValue,FDR
AREG,-3.62072469520894,4.26903009426716,21.0488062407638,4.4773171297004e-06,0.0382765841418087
ABI3,1.48171601048249,5.21807947292853,14.0530165382231,0.000177728526059094,0.591100607764548
GRAMD2B,1.84271937502654,4.46569823669224,13.5597452225087,0.000231088462815061,0.591100607764548
ST8SIA1,1.62845042191241,5.51060142196812,12.3688742881857,0.000436550738153814,0.591100607764548
IL23R,-2.11907516006712,4.61723201169396,12.06252224614,0.000514456403335402,0.591100607764548
FAM217B,1.31982099986628,5.42137764863228,11.937596085925,0.000550124165488501,0.591100607764548
MFN2,-2.24169008367032,4.35047732951366,11.6306408376368,0.000648741999885912,0.591100607764548
POLDIP2,-1.63447397249729,4.7735244640291,11.1461005467252,0.000842084991619011,0.591100607764548
TOM1L2,1.97222619878879,4.25221363205962,11.1072471346216,0.00085991034910192,0.591100607764548
PPM1M,0.961743855553992,6.07500880487678,11.0481675011017,0.00088774901135103,0.591100607764548
GZMH,-1.19511300290848,5.83968864167532,11.0191010885515,0.000901777909775174,0.591100607764548
ALMS1,1.78137163998795,4.49094555817776,11.011975986472,0.000905250909632753,0.591100607764548
PERP,-1.04246804332943,5.74011914628209,10.7488949849559,0.00104341602492214,0.591100607764548
RIPK3,1.83591029643279,4.43584497812425,10.7095506478878,0.00106583911823643,0.591100607764548
ZNRF1,0.804261395919823,6.5239095842019,10.5351033017037,0.00117128335456227,0.591100607764548
LSM12,0.804922176154261,6.16641003743756,10.50272187392,0.00119198827493477,0.591100607764548
NAP1L4,0.494114194480321,7.74312231676349,10.4604607870362,0.00121956853267179,0.591100607764548
P2RY11,1.84788224242228,4.15356038108004,10.4229817740914,0.00124456789563246,0.591100607764548
POLR2G,0.645762741640308,6.82405716536282,10.2090704864426,0.00139751592527945,0.628808612906001
RPS26,1.5197788958113,10.8901043007275,10.0138178015373,0.0015537011376198,0.664129551275581
MIB2,-1.08750558624523,5.586344520512,9.5542237532672,0.00199489855261896,0.800274695405054
FAM98B,1.31401695701636,5.01132882677464,9.47962927304619,0.0020776594824341,0.800274695405054
LAT2,-1.66207879972213,4.41900480260079,9.36985279888893,0.00220583233307024,0.800274695405054
JAK3,0.621981876492357,7.12908174093181,9.33625002703421,0.00224664787574234,0.800274695405054
CLNK,1.7932268542249,4.36051854283391,9.13878320182727,0.00250247472589218,0.81401498842107
MT1X,1.17526400197114,5.57877288803516,9.10033265564994,0.00255563010737035,0.81401498842107
RAB11FIP4,1.39682073397056,4.79123405559774,9.02283900955651,0.00266626951703874,0.81401498842107
TMBIM1,-1.05457628941346,5.79832645297177,8.96683181015688,0.00274924914662881,0.81401498842107
KLHDC4,1.23164888871048,5.40999238520655,8.95883483528908,0.00276130947060604,0.81401498842107
ELMO1,0.924431761634764,5.97036915894744,8.88731505625433,0.00287158700625637,0.818306577216189
SAP18,-0.4291218507965,7.87513866124119,8.71040454631926,0.0031639898654403,0.846160570544781
CD274,-2.50070998234284,3.99538304828848,8.66969335233425,0.00323545630766269,0.846160570544781
TCTA,1.4604174155027,4.47253961137094,8.65242420432093,0.00326626492314631,0.846160570544781
FAM215B,1.3319733268326,5.37071236920864,8.43071411079851,0.00368935426079001,0.927655575749818
GCH1,-1.12103576647784,5.16202369524297,8.24839872395284,0.00407879658690028,0.996275200611729
ITPKB,0.9635678086172,5.80637691211553,8.01115750157232,0.00464900124831747,0.999635554164236
SLC23A2,2.21061626786364,3.89390940805239,7.98975117612854,0.00470428798629378,0.999635554164236
UNC119,-0.993517975248953,5.51047742720229,7.93415633011772,0.00485102397354195,0.999635554164236
PLXNC1,-1.31322354288809,4.84446754657217,7.89297933464832,0.00496270492656598,0.999635554164236
NUDT14,-1.36747584328561,5.48339603262529,7.8254110373343,0.00515167296953257,0.999635554164236
CBX1,0.907673654743664,5.81197121968648,7.80055715079307,0.00522301272472867,0.999635554164236
TES,-0.589562463626218,7.09367174118544,7.71715202656887,0.00546986167005145,0.999635554164236
LINC00649,1.1062423092287,5.69005306638733,7.67559219060983,0.00559727214459155,0.999635554164236
BTF3L4,0.641892854343134,6.48025822781208,7.60795288918028,0.0058111419528918,0.999635554164236
CZIB,-1.65250992129617,5.1826169611139,7.59806042997836,0.00584311251788344,0.999635554164236
NBEAL2,0.891677650101915,5.71111361184448,7.54120648890422,0.00603036494124922,0.999635554164236
STK40,-1.06381082233932,5.12271609138121,7.53202270419945,0.00606118184794709,0.999635554164236
VRK1,1.21026495741883,4.86026052469529,7.49275984472384,0.00619475434802321,0.999635554164236
CPNE7,-1.27952130824962,6.14441800469397,7.48826501689986,0.0062102362165432,0.999635554164236
PTPN7,0.41746194328535,7.64998278712305,7.46813303288299,0.00628006432371721,0.999635554164236
SULF2,-2.11937984780964,4.10491510229314,7.45731938334812,0.00631790195100351,0.999635554164236
BST2,-0.684213528629828,7.9622446900067,7.34750437120276,0.00671559144797618,0.999635554164236
ANXA7,0.524365855740678,6.77137114424048,7.33255943695361,0.00677165605291464,0.999635554164236
ARRDC1-AS1,1.41468483387298,4.51486222325899,7.29260957237795,0.00692388315461368,0.999635554164236
LPCAT4,-1.06621852378299,5.46996453269032,7.2846416367032,0.00695466031203439,0.999635554164236
RBM43,-1.13148888870963,5.20417594440073,7.27603365745741,0.00698806679298421,0.999635554164236
TSFM,1.0622998784038,4.95378763500971,7.21070745130893,0.00724699237447461,0.999635554164236
TSPO,-0.658195975795336,7.76019240331165,7.21068765778263,0.00724707229558683,0.999635554164236
ZNF318,1.45264082086448,4.40289487383411,7.19490695149013,0.0073110781720194,0.999635554164236
CLN6,1.35828018942158,4.39568769563368,7.15555389668669,0.00747322127022629,0.999635554164236
HDGFL3,-2.04053007387622,4.13068748950973,7.12478590970514,0.00760254922682892,0.999635554164236
SRSF2,0.488557926351523,8.03815976181849,7.06222814905853,0.0078726022411659,0.999635554164236
EML4,0.388475921133175,8.41005235133358,7.05592302844847,0.0079003591438054,0.999635554164236
CCDC141,1.5603248069139,4.2614330719289,6.99407528419741,0.00817799457592089,0.999635554164236
CHML,-1.55638880012221,4.34683895899871,6.98109291186597,0.00823752884446156,0.999635554164236
EEF1AKMT2,1.03543004016972,5.0826302663407,6.97991064100943,0.0082429724548768,0.999635554164236
PDCL,1.10235618459506,5.16315526146395,6.97770773130724,0.00825312528148215,0.999635554164236
TMEM184B,1.59634440052065,4.10669874401524,6.95106759379786,0.00837692276726329,0.999635554164236
TBCE,-1.69370277766463,4.77822030573369,6.93204386110582,0.00846648809722263,0.999635554164236
GNB5,0.874172377601919,5.50393240285677,6.8194558149313,0.00901700400215905,0.999635554164236
GPATCH2L,0.850946276830002,6.32792853982586,6.81690387343905,0.00902989829862504,0.999635554164236
DGKQ,1.74726682882815,4.047828827235,6.77692518664841,0.00923438321409143,0.999635554164236
FANCM,-1.86527844766882,3.93890710210485,6.73815335498191,0.0094372263644692,0.999635554164236
ANXA4,-0.983974349678815,5.27308048750551,6.72252193094331,0.00952029124436344,0.999635554164236
THAP12,0.808113281458666,6.02578682777512,6.67931802788642,0.0097537934978151,0.999635554164236
PLEKHN1,-1.96165557182943,3.88396257726346,6.63390523324298,0.0100055667556733,0.999635554164236
