Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,7.92358202807093e-09,1.31056046744293e-05,""
REACTOME_SELENOAMINO_ACID_METABOLISM,98,Up,1.13744601819485e-07,9.40667857047141e-05,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Up,4.40077828919188e-07,0.000202391793087078,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,4.89460200936101e-07,0.000202391793087078,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,112,Up,6.38781606737635e-07,0.00021130895550881,""
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Up,1.47921664222441e-06,0.000407770721039863,""
REACTOME_INFLUENZA_INFECTION,152,Up,9.3478983933724e-06,0.00220877484894828,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Up,2.0040347195347e-05,0.00414334178263799,""
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,48,Up,7.69143921160397e-05,0.0141351560622144,""
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,6,Up,0.000120841798438228,0.0199872334616829,CTSB
REACTOME_MET_RECEPTOR_RECYCLING,7,Down,0.000699538208067993,0.105185108740406,""
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,140,Up,0.000810260546075093,0.111680911934017,""
REACTOME_MET_PROMOTES_CELL_MOTILITY,9,Down,0.00136997945802248,0.174303540274552,""
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,154,Up,0.00168595446330877,0.186620668080358,""
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Up,0.00169244862225234,0.186620668080358,""
REACTOME_SOS_MEDIATED_SIGNALLING,6,Down,0.0021178877612749,0.207367504536807,""
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS,4,Down,0.00227647501589621,0.207367504536807,""
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,21,Down,0.00244326767842409,0.207367504536807,""
REACTOME_ERYTHROPOIETIN_ACTIVATES_RAS,11,Down,0.00245203316884998,0.207367504536807,""
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,12,Down,0.00258200780399068,0.207367504536807,""
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING,21,Down,0.00281552580150674,0.207367504536807,""
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING,5,Down,0.00287289066329136,0.207367504536807,""
REACTOME_MAPK6_MAPK4_SIGNALING,76,Down,0.00317195234203357,0.207367504536807,""
REACTOME_SARS_COV_1_HOST_INTERACTIONS,85,Up,0.0031850319160063,0.207367504536807,""
REACTOME_BETA_DEFENSINS,2,Up,0.00391745336916409,0.207367504536807,""
REACTOME_PROTEIN_FOLDING,58,Down,0.00394832697954167,0.207367504536807,""
REACTOME_RRNA_PROCESSING,193,Up,0.00400202532787305,0.207367504536807,""
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_SHC_MEDIATED_CASCADE_FGFR1,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_SHC_MEDIATED_CASCADE_FGFR3,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_SHC_MEDIATED_CASCADE_FGFR4,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_SHC_RELATED_EVENTS_TRIGGERED_BY_IGF1R,6,Down,0.00438806690374139,0.207367504536807,""
REACTOME_RHOBTB1_GTPASE_CYCLE,20,Down,0.00459081288146985,0.210922347387532,""
REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN,5,Down,0.0047311192789133,0.211493818576286,""
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS,2,Up,0.00545503270514871,0.23743747616621,""
REACTOME_RUNX3_REGULATES_BCL2L11_BIM_TRANSCRIPTION,5,Down,0.0059738296509734,0.253351647248975,""
REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION,1,Down,0.0061782771969098,0.25547176209222,""
REACTOME_DEFENSINS,3,Up,0.00683868877028019,0.267182744694227,""
REACTOME_MUSCLE_CONTRACTION,49,Down,0.00703201928881264,0.267182744694227,""
REACTOME_GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS,6,Down,0.00709883051057622,0.267182744694227,""
REACTOME_INTEGRIN_SIGNALING,14,Down,0.00726917987378489,0.267182744694227,""
REACTOME_PLATELET_AGGREGATION_PLUG_FORMATION,14,Down,0.00726917987378489,0.267182744694227,""
REACTOME_SARS_COV_1_INFECTION,124,Up,0.00805484547965369,0.27829538301205,""
REACTOME_REGULATION_OF_GLYCOLYSIS_BY_FRUCTOSE_2_6_BISPHOSPHATE_METABOLISM,8,Down,0.00829154652989667,0.27829538301205,""
REACTOME_RHO_GTPASES_ACTIVATE_KTN1,9,Down,0.00832852276189218,0.27829538301205,""
REACTOME_DARPP_32_EVENTS,20,Down,0.00839264882892897,0.27829538301205,""
REACTOME_RHOBTB_GTPASE_CYCLE,30,Down,0.00853108993499666,0.27829538301205,""
