Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,85,Down,2.43766654725326e-11,1.96232157053887e-08,""
WP_METABOLIC_PATHWAYS_OF_FIBROBLASTS,16,Up,5.00547676476598e-05,0.0201470439781831,""
WP_AMINO_ACID_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,5,Up,0.000274751569676164,0.0737250045297707,""
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,14,Up,0.000444003686709233,0.0893557419502331,""
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,64,Up,0.00143617146525145,0.184350197963804,RGS16
WP_ENVELOPE_PROTEINS_AND_THEIR_POTENTIAL_ROLES_IN_EDMD_PHYSIOPATHOLOGY,32,Up,0.00164381068129597,0.184350197963804,""
WP_MAMMARY_GLAND_DEVELOPMENT_PREGNANCY_AND_LACTATION_STAGE_3_OF_4,13,Up,0.00191697144669317,0.184350197963804,CEBPB
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,79,Up,0.00211713972145727,0.184350197963804,RGS16
WP_OVARIAN_INFERTILITY,20,Up,0.00246357654821626,0.184350197963804,CEBPB
WP_GASTRIN_SIGNALING,78,Up,0.00255120264658269,0.184350197963804,""
WP_VITAMIN_D_RECEPTOR_PATHWAY,54,Up,0.00281893096050772,0.184350197963804,""
WP_ETHANOL_METABOLISM_PRODUCTION_OF_ROS_BY_CYP2E1,8,Up,0.00283285893784431,0.184350197963804,""
WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,6,Up,0.00300610968643749,0.184350197963804,""
WP_OMEGA6FATTY_ACIDS_IN_SENESCENCE,19,Up,0.00320609039937051,0.184350197963804,""
WP_MAMMARY_GLAND_DEVELOPMENT_PUBERTY_STAGE_2_OF_4,5,Up,0.00385949655352814,0.207126315039344,""
WP_AMINO_ACID_TRANSPORT_DEFECTS_IEMS,1,Up,0.00435627983808396,0.21666722519126,""
WP_SMITHMAGENIS_AND_POTOCKILUPSKI_SYNDROME_COPY_NUMBER_VARIATION,102,Up,0.00473180890839104,0.21666722519126,""
WP_FOLATEALCOHOL_AND_CANCER_PATHWAY_HYPOTHESES,5,Up,0.00526755023089273,0.21666722519126,CEBPB
WP_IRONSULFUR_CLUSTER_BIOGENESIS,13,Up,0.00562508078305922,0.21666722519126,""
WP_PROSTAGLANDIN_AND_LEUKOTRIENE_METABOLISM_IN_SENESCENCE_WP5122,12,Up,0.00565218848325027,0.21666722519126,""
