Set,N,DE,P.DE,FDR,DEG.GENES
HALLMARK_UV_RESPONSE_DN,118,1,0.0326859512988605,0.642489926597382,FBLN5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,121,1,0.0335056626139987,0.642489926597382,FBLN5
HALLMARK_IL2_STAT5_SIGNALING,183,1,0.0503223400986832,0.642489926597382,CST7
HALLMARK_TNFA_SIGNALING_VIA_NFKB,187,1,0.0513991941277906,0.642489926597382,IER2
HALLMARK_ADIPOGENESIS,177,0,1,1,""
HALLMARK_ALLOGRAFT_REJECTION,173,0,1,1,""
HALLMARK_ANDROGEN_RESPONSE,92,0,1,1,""
HALLMARK_ANGIOGENESIS,20,0,1,1,""
HALLMARK_APICAL_JUNCTION,143,0,1,1,""
HALLMARK_APICAL_SURFACE,31,0,1,1,""
HALLMARK_APOPTOSIS,142,0,1,1,""
HALLMARK_BILE_ACID_METABOLISM,89,0,1,1,""
HALLMARK_CHOLESTEROL_HOMEOSTASIS,66,0,1,1,""
HALLMARK_COAGULATION,84,0,1,1,""
HALLMARK_COMPLEMENT,167,0,1,1,""
HALLMARK_DNA_REPAIR,148,0,1,1,""
HALLMARK_E2F_TARGETS,198,0,1,1,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,161,0,1,1,""
HALLMARK_ESTROGEN_RESPONSE_LATE,145,0,1,1,""
HALLMARK_FATTY_ACID_METABOLISM,131,0,1,1,""
HALLMARK_G2M_CHECKPOINT,190,0,1,1,""
HALLMARK_GLYCOLYSIS,164,0,1,1,""
HALLMARK_HEDGEHOG_SIGNALING,24,0,1,1,""
HALLMARK_HEME_METABOLISM,169,0,1,1,""
HALLMARK_HYPOXIA,158,0,1,1,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,72,0,1,1,""
HALLMARK_INFLAMMATORY_RESPONSE,160,0,1,1,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,95,0,1,1,""
HALLMARK_INTERFERON_GAMMA_RESPONSE,188,0,1,1,""
HALLMARK_KRAS_SIGNALING_DN,91,0,1,1,""
HALLMARK_KRAS_SIGNALING_UP,135,0,1,1,""
HALLMARK_MITOTIC_SPINDLE,193,0,1,1,""
HALLMARK_MTORC1_SIGNALING,195,0,1,1,""
HALLMARK_MYC_TARGETS_V1,195,0,1,1,""
HALLMARK_MYC_TARGETS_V2,57,0,1,1,""
HALLMARK_MYOGENESIS,131,0,1,1,""
HALLMARK_NOTCH_SIGNALING,28,0,1,1,""
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,0,1,1,""
HALLMARK_P53_PATHWAY,184,0,1,1,""
HALLMARK_PANCREAS_BETA_CELLS,14,0,1,1,""
HALLMARK_PEROXISOME,92,0,1,1,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,97,0,1,1,""
HALLMARK_PROTEIN_SECRETION,91,0,1,1,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,48,0,1,1,""
HALLMARK_SPERMATOGENESIS,80,0,1,1,""
HALLMARK_TGF_BETA_SIGNALING,49,0,1,1,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,107,0,1,1,""
HALLMARK_UV_RESPONSE_UP,132,0,1,1,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,0,1,1,""
HALLMARK_XENOBIOTIC_METABOLISM,137,0,1,1,""
