Set,N,DE,P.DE,FDR,DEG.GENES
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,15,1,0.00420332310940985,1,MSMO1
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,17,1,0.00476269658319528,1,MSMO1
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,30,1,0.00839249998146874,1,MSMO1
WP_MITOCHONDRIAL_COMPLEX_IV_ASSEMBLY,31,1,0.0086712763379535,1,CMC1
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS,43,1,0.0120117048269581,1,MSMO1
WP_CHOLESTEROL_METABOLISM,52,1,0.0145111117739208,1,MSMO1
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,82,1,0.0228059601445105,1,MSMO1
WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME,84,1,0.0233569576191138,1,FBLN5
WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,307,1,0.0832534570827931,1,MSMO1
WP_10Q1121Q1123_COPY_NUMBER_VARIATION_SYNDROME,44,0,1,1,""
WP_10Q22Q23_COPY_NUMBER_VARIATION,44,0,1,1,""
WP_11P112_COPY_NUMBER_VARIATION_SYNDROME,46,0,1,1,""
WP_13Q1212_COPY_NUMBER_VARIATION,21,0,1,1,""
WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME,9,0,1,1,""
WP_15Q11Q13_COPY_NUMBER_VARIATION,43,0,1,1,""
WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME,15,0,1,1,""
WP_15Q25_COPY_NUMBER_VARIATION,34,0,1,1,""
WP_16P112_DISTAL_DELETION_SYNDROME,27,0,1,1,""
WP_16P112_PROXIMAL_DELETION_SYNDROME,66,0,1,1,""
WP_17P133_YWHAE_COPY_NUMBER_VARIATION,18,0,1,1,""
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,63,0,1,1,""
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,91,0,1,1,""
WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME,18,0,1,1,""
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,88,0,1,1,""
WP_2Q112_COPY_NUMBER_VARIATION_SYNDROME,30,0,1,1,""
WP_2Q13_COPY_NUMBER_VARIATION_SYNDROME,46,0,1,1,""
WP_2Q211_COPY_NUMBER_VARIATION_SYNDROME,11,0,1,1,""
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,97,0,1,1,""
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,59,0,1,1,""
WP_4HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION,25,0,1,1,""
WP_4P163_COPY_NUMBER_VARIATION,27,0,1,1,""
WP_5Q35_COPY_NUMBER_VARIATION,86,0,1,1,""
WP_6Q16_COPY_NUMBER_VARIATION,6,0,1,1,""
WP_7OXOC_AND_7BETAHC_PATHWAYS,19,0,1,1,""
WP_7Q1123_DISTAL_COPY_NUMBER_VARIATION,18,0,1,1,""
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,35,0,1,1,""
WP_8Q1123_RB1CC1_COPY_NUMBER_VARIATION,16,0,1,1,""
WP_ACETAMINOPHEN_IN_ANALGESIA_AND_ANTIPYRESIS,4,0,1,1,""
WP_ACETYLCHOLINE_SYNTHESIS,5,0,1,1,""
WP_ACE_INHIBITOR_PATHWAY,5,0,1,1,""
WP_ACQUIRED_PARTIAL_LIPODYSTROPHY_BARRAQUERSIMONS_SYNDROME,9,0,1,1,""
WP_ACTIVATION_OF_NLRP3_INFLAMMASOME_BY_SARSCOV2,6,0,1,1,""
WP_ACUTE_MYELOID_LEUKEMIA,59,0,1,1,""
WP_ACUTE_VIRAL_MYOCARDITIS,78,0,1,1,""
WP_ADHD_AND_AUTISM_ASD_PATHWAYS,228,0,1,1,""
WP_ADIPOGENESIS,95,0,1,1,""
WP_AEROBIC_GLYCOLYSIS,11,0,1,1,""
WP_AEROBIC_GLYCOLYSIS_AUGMENTED,12,0,1,1,""
WP_AFFECTED_PATHWAYS_IN_DUCHENNE_MUSCULAR_DYSTROPHY,49,0,1,1,""
WP_AFLATOXIN_B1_METABOLISM,4,0,1,1,""
