Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Up,1.68970522989152e-07,0.00266601691172283,""
GOCC_CYTOSOLIC_RIBOSOME,110,Up,4.1746234087059e-07,0.00329336040712809,""
GOBP_CYTOPLASMIC_TRANSLATION,149,Up,1.04259513794433e-06,0.00527798244373048,""
GOBP_ERBB4_SIGNALING_PATHWAY,3,Down,1.33806121022448e-06,0.00527798244373048,""
HP_PANCREATIC_CALCIFICATION,1,Down,3.91454801062355e-06,0.0123527477023237,ENPP1
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,10,Down,4.96738297062714e-06,0.0130625614184258,""
GOBP_VITAMIN_A_METABOLIC_PROCESS,2,Up,6.70615142951244e-06,0.015115665322121,""
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,155,Up,2.00163126840461e-05,0.0394771726911099,""
HP_CHOROIDAL_NEOVASCULARIZATION,5,Down,3.8949407697203e-05,0.0682826394051632,ENPP1
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX,10,Up,6.93963303263223e-05,0.102737155979367,""
GOBP_TUBE_LUMEN_CAVITATION,1,Up,7.1625599934912e-05,0.102737155979367,""
GOBP_MIDGUT_DEVELOPMENT,1,Up,7.82283272244253e-05,0.102857212245582,""
GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,11,Down,0.00011178491291737,0.135672488923866,""
HP_ABNORMAL_MORPHOLOGY_OF_THE_CHOROIDAL_VASCULATURE,10,Down,0.000124857593953625,0.136099369736621,ENPP1
GOBP_URETER_DEVELOPMENT,3,Up,0.000136756071143237,0.136099369736621,""
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,75,Up,0.000138014318404483,0.136099369736621,""
HP_MATERNAL_DIABETES,11,Up,0.000192583144851175,0.165753957753525,""
GOCC_RIBOSOMAL_SUBUNIT,179,Up,0.000206847561867568,0.165753957753525,""
HP_RESTRICTIVE_CARDIOMYOPATHY,5,Down,0.000209745314988536,0.165753957753525,ENPP1
GOMF_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BINDING,4,Down,0.000216370535365707,0.165753957753525,ENPP1
GOCC_LARGE_RIBOSOMAL_SUBUNIT,108,Up,0.000220613075980734,0.165753957753525,""
GOMF_PROTEIN_GLUTAMINE_GAMMA_GLUTAMYLTRANSFERASE_ACTIVITY,2,Up,0.000243297065957717,0.174488232121858,""
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,23,Down,0.000291019850517975,0.197160599354174,ENPP1
HP_APLASIA_OF_THE_LEFT_HEMIDIAPHRAGM,2,Up,0.000299902039833957,0.197160599354174,""
HP_NORMOCHROMIC_ANEMIA,35,Up,0.00034749843372675,0.219313211493626,""
GOBP_OXIDATIVE_PHOSPHORYLATION,111,Up,0.000380415191525893,0.222469008598771,""
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,13,Up,0.000392618854193943,0.222469008598771,""
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,42,Up,0.000394798595561261,0.222469008598771,""
GOBP_REGULATION_OF_HEPATOCYTE_PROLIFERATION,7,Down,0.000419828796397744,0.225984864539066,""
GOBP_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE,22,Down,0.000430777459050828,0.225984864539066,""
GOCC_CYTOCHROME_COMPLEX,27,Up,0.000444006261928701,0.225984864539066,""
GOBP_POSITIVE_REGULATION_OF_NON_MOTILE_CILIUM_ASSEMBLY,6,Up,0.000490571803224916,0.241882559727585,""
GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING,7,Down,0.000507667161374049,0.242726438550295,""
GOMF_NEUROPEPTIDE_ACTIVITY,2,Up,0.000586918471744358,0.264046644213005,""
GOMF_OXIDOREDUCTION_DRIVEN_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,52,Up,0.000599451297709328,0.264046644213005,""
GOBP_MICROTUBULE_NUCLEATION_BY_MICROTUBULE_ORGANIZING_CENTER,4,Up,0.000657001298460132,0.264046644213005,""
GOBP_NEGATIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION,21,Up,0.00066433406011103,0.264046644213005,""
GOBP_RIBOSOME_ASSEMBLY,55,Up,0.000682386496026458,0.264046644213005,""
GOCC_RIBOSOME,219,Up,0.000689760968503812,0.264046644213005,""
GOBP_POSITIVE_REGULATION_OF_HEPATOCYTE_PROLIFERATION,5,Down,0.000698032547488936,0.264046644213005,""
HP_HYPERMAGNESEMIA,2,Up,0.000708675450165852,0.264046644213005,""
HP_TOOTH_ABSCESS,2,Down,0.00071549687198586,0.264046644213005,ENPP1
GOBP_POSITIVE_REGULATION_OF_MEMORY_T_CELL_DIFFERENTIATION,5,Up,0.000725304943615078,0.264046644213005,""
HP_RHABDOMYOLYSIS,29,Up,0.000767350441058185,0.264046644213005,""
GOBP_PYRIMIDINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS,3,Down,0.000770986744755609,0.264046644213005,""
GOCC_RESPIRATORY_CHAIN_COMPLEX_IV,16,Up,0.000777165894006362,0.264046644213005,""
HP_SEVERE_PHOTOSENSITIVITY,4,Down,0.000786550404234455,0.264046644213005,""
HP_HYPNOPOMPIC_HALLUCINATION,5,Up,0.000823843184708386,0.266085527750724,""
HP_AGENESIS_OF_CENTRAL_INCISOR,5,Up,0.000826352570654423,0.266085527750724,""
HP_ABNORMALITY_OF_PREMOLAR,3,Up,0.000872574187165796,0.275349510502038,""
