Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOMF_OPIOID_RECEPTOR_BINDING,3,Down,3.03678702651418e-06,0.0479144257043407,""
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,52,Up,4.93407248930152e-05,0.178310259339858,""
GOBP_THYMOCYTE_MIGRATION,4,Down,6.00504409577439e-05,0.178310259339858,""
HP_BILIARY_ATRESIA,4,Down,6.20115414552833e-05,0.178310259339858,""
GOCC_CYTOSOLIC_RIBOSOME,111,Up,7.06802244664572e-05,0.178310259339858,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,43,Down,7.70519503142437e-05,0.178310259339858,""
HP_UNCONTROLLED_EYE_MOVEMENTS,2,Down,8.24855758545947e-05,0.178310259339858,""
GOBP_SMOOTH_MUSCLE_CELL_MATRIX_ADHESION,1,Down,9.17002197024015e-05,0.178310259339858,""
HP_INTRAHEPATIC_BILIARY_ATRESIA,2,Down,0.000115472656284951,0.178310259339858,""
HP_ABNORMAL_CIRCULATING_GABA_CONCENTRATION,3,Down,0.000116648452095634,0.178310259339858,""
HP_RECURRENT_SPONTANEOUS_ABORTION,3,Down,0.000124313148227814,0.178310259339858,""
GOBP_PYRUVATE_TRANSPORT,4,Up,0.000190435844860634,0.250391396684257,""
HP_EXERCISE_INDUCED_MUSCLE_STIFFNESS,1,Up,0.000266763251552907,0.307280562825663,""
HP_CONVULSIVE_STATUS_EPILEPTICUS,5,Down,0.000272653560626142,0.307280562825663,""
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,155,Up,0.000318531104286962,0.335052250895979,""
GOMF_CCR2_CHEMOKINE_RECEPTOR_BINDING,2,Down,0.000352098710163366,0.34721334055985,""
GOBP_SYNAPTIC_VESICLE_CYTOSKELETAL_TRANSPORT,16,Up,0.000400365608414023,0.350572908288865,""
HP_PUNDING,1,Down,0.000454045485409471,0.350572908288865,""
GOBP_REGULATION_OF_MYELOID_DENDRITIC_CELL_ACTIVATION,3,Down,0.000486909803849547,0.350572908288865,""
GOCC_OLIGOSACCHARYLTRANSFERASE_COMPLEX,12,Up,0.000501499470038254,0.350572908288865,""
GOBP_CARBON_DIOXIDE_TRANSPORT,1,Up,0.000542200075699909,0.350572908288865,""
GOBP_REGULATION_OF_CHLORIDE_TRANSPORT,1,Up,0.000542200075699909,0.350572908288865,""
HP_DISTAL_RENAL_TUBULAR_ACIDOSIS,1,Up,0.000542200075699909,0.350572908288865,""
GOBP_SECRETION_OF_LYSOSOMAL_ENZYMES,7,Up,0.000550438786487162,0.350572908288865,""
GOMF_TUMOR_NECROSIS_FACTOR_RECEPTOR_SUPERFAMILY_BINDING,35,Down,0.000565839837638637,0.350572908288865,""
GOBP_RESPONSE_TO_INTERFERON_BETA,23,Down,0.00057769651511665,0.350572908288865,""
HP_PANCREATIC_CALCIFICATION,1,Down,0.000619119304350835,0.351521987376208,""
GOBP_IMMUNE_COMPLEX_CLEARANCE,2,Down,0.000623818966062481,0.351521987376208,""
