Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOMF_CXCR_CHEMOKINE_RECEPTOR_BINDING,7,Down,1.09722619708902e-05,0.0799743409079143,""
GOBP_VITAMIN_A_METABOLIC_PROCESS,2,Up,1.19283383841279e-05,0.0799743409079143,ALDH1A2
GOMF_TAP_BINDING,7,Down,1.52061745927078e-05,0.0799743409079143,""
GOMF_CXCR3_CHEMOKINE_RECEPTOR_BINDING,3,Down,2.24495669793649e-05,0.0803421819727505,""
HP_ABNORMAL_CARDIAC_TEST,8,Down,2.90799740382859e-05,0.0803421819727505,""
GOMF_CCR2_CHEMOKINE_RECEPTOR_BINDING,2,Down,3.3162697069e-05,0.0803421819727505,""
GOBP_RESPONSE_TO_ACETYLCHOLINE,16,Down,3.56442688432789e-05,0.0803421819727505,""
GOBP_MIDGUT_DEVELOPMENT,1,Up,5.97684413674282e-05,0.11787830848691,ALDH1A2
GOBP_REGULATION_OF_ACTIVATION_OF_JANUS_KINASE_ACTIVITY,3,Up,6.97550880727283e-05,0.119931458238464,CCL5
GOBP_TUBE_LUMEN_CAVITATION,1,Up,7.87014721121329e-05,0.119931458238464,TGM2
HP_SINUS_BRADYCARDIA,9,Down,8.67735759556599e-05,0.119931458238464,""
GOMF_3_CHLOROALLYL_ALDEHYDE_DEHYDROGENASE_ACTIVITY,3,Up,9.12141905730494e-05,0.119931458238464,ALDH1A2
HP_ABNORMAL_CARDIAC_EXERCISE_STRESS_TEST,5,Down,0.000109131760804689,0.126049170920186,""
GOMF_S100_PROTEIN_BINDING,11,Down,0.00011329277822627,0.126049170920186,""
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX,10,Up,0.00011983379159607,0.126049170920186,""
GOCC_PHOTORECEPTOR_OUTER_SEGMENT_MEMBRANE,5,Up,0.000139811317756415,0.137871435722545,""
HP_PUNDING,1,Down,0.000165554286930966,0.15365385524687,""
GOCC_MHC_CLASS_I_PROTEIN_COMPLEX,7,Down,0.000200417998629482,0.175677510131998,""
GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM,11,Up,0.000250441163233152,0.207971614394351,""
GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS,15,Up,0.000285194332949279,0.224989809263686,ALDH1A2
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_1_SIGNALING_PATHWAY,6,Down,0.000300819015114823,0.22601535335627,""
GOMF_RECEPTOR_SIGNALING_PROTEIN_TYROSINE_KINASE_ACTIVATOR_ACTIVITY,2,Up,0.000349040039008387,0.250325169794288,CCL5
GOMF_BENZODIAZEPINE_RECEPTOR_ACTIVITY,1,Down,0.000377086918671631,0.258681626208739,""
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O,9,Up,0.000422109764865761,0.277501994585499,""
GOMF_PROTEIN_TYROSINE_THREONINE_PHOSPHATASE_ACTIVITY,8,Down,0.000441181767938227,0.278438637381174,""
HP_RECURRENT_ACUTE_RESPIRATORY_TRACT_INFECTION,7,Down,0.000478333869899949,0.288311459637555,""
GOCC_COHESIN_COMPLEX,7,Down,0.00049337111232184,0.288311459637555,""
GOBP_POSITIVE_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,15,Down,0.000519534610031178,0.292757752752569,""
GOBP_L_GLUTAMINE_IMPORT_ACROSS_PLASMA_MEMBRANE,3,Down,0.000625652344557077,0.340398023876605,""
GOBP_MYOBLAST_DIFFERENTIATION,62,Down,0.000725673133408005,0.373859741053668,""
GOBP_SECRETION_OF_LYSOSOMAL_ENZYMES,7,Up,0.000734545061013039,0.373859741053668,""
GOCC_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O,11,Up,0.000760640527926945,0.375043320300979,""
GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING,2,Down,0.000829902658030834,0.384584974589195,""
GOBP_REGULATION_OF_VASCULAR_WOUND_HEALING,6,Down,0.000834334294340582,0.384584974589195,""
GOMF_RETINAL_DEHYDROGENASE_ACTIVITY,3,Up,0.000853116625086945,0.384584974589195,ALDH1A2
GOBP_CELLULAR_RESPONSE_TO_COCAINE,4,Up,0.00095609075497245,0.407928350394456,TGM2
GOMF_MAP_KINASE_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY,9,Down,0.000956607235682272,0.407928350394456,""
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE,5,Down,0.000986566941674176,0.409632979098294,""
GOMF_CYCLASE_ACTIVATOR_ACTIVITY,4,Down,0.00106445207106844,0.410859887600452,""
GOMF_CHEMOKINE_RECEPTOR_BINDING,23,Down,0.0010720083705981,0.410859887600452,CCL5
GOCC_CHROMOSOME_CENTROMERIC_CORE_DOMAIN,1,Down,0.00109088709843302,0.410859887600452,""
GOBP_REGULATION_OF_HEPATOCYTE_PROLIFERATION,7,Down,0.001093682043302,0.410859887600452,""
GOMF_CHEMOKINE_ACTIVITY,16,Down,0.00112606155259113,0.413186027367043,CCL5
GOMF_RECEPTOR_ANTAGONIST_ACTIVITY,4,Up,0.00118469376903291,0.423987968490782,CCL5
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB,9,Down,0.00120924442781627,0.423987968490782,""
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY,1,Down,0.00126828565056627,0.435021978144231,""
GOBP_URETER_DEVELOPMENT,3,Up,0.00130738925363648,0.43889335412503,ALDH1A2
GOBP_RESPONSE_TO_VITAMIN_A,5,Up,0.00142637674353981,0.458183343912606,ALDH1A2
GOMF_CALCIUM_CHANNEL_REGULATOR_ACTIVITY,20,Down,0.00147181821039094,0.458183343912606,""
HP_ACROMESOMELIA,2,Down,0.00148635032928881,0.458183343912606,""
