Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_TNFA_SIGNALING_VIA_NFKB,167,Down,1.12364739984324e-05,0.000561823699921618,""
HALLMARK_MYC_TARGETS_V1,189,Up,0.00071438159509723,0.0178595398774308,""
HALLMARK_INFLAMMATORY_RESPONSE,136,Down,0.00541024974626293,0.0901708291043821,""
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Up,0.0146839734701688,0.13406371255458,""
HALLMARK_APOPTOSIS,118,Down,0.01494053820468,0.13406371255458,""
HALLMARK_PANCREAS_BETA_CELLS,12,Up,0.0160876455065496,0.13406371255458,""
HALLMARK_E2F_TARGETS,144,Up,0.0410050908991749,0.256307961457157,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,68,Down,0.0410092738331451,0.256307961457157,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,101,Up,0.0668178422919392,0.371210234955218,""
HALLMARK_HYPOXIA,120,Down,0.0953425992712702,0.476712996356351,""
HALLMARK_INTERFERON_GAMMA_RESPONSE,177,Down,0.10717799027949,0.487172683088589,""
HALLMARK_UV_RESPONSE_DN,86,Down,0.127199927230146,0.529999696792274,""
HALLMARK_MYC_TARGETS_V2,53,Up,0.173842254978919,0.668624057611227,""
HALLMARK_UV_RESPONSE_UP,108,Down,0.21137475387219,0.754909835257822,""
HALLMARK_APICAL_JUNCTION,99,Up,0.258197592660215,0.791757769912561,""
HALLMARK_COMPLEMENT,134,Down,0.285008855621804,0.791757769912561,""
HALLMARK_SPERMATOGENESIS,42,Up,0.288763230942136,0.791757769912561,""
HALLMARK_MYOGENESIS,70,Down,0.29078348247537,0.791757769912561,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,46,Down,0.305559212596593,0.791757769912561,""
HALLMARK_KRAS_SIGNALING_UP,115,Down,0.316703107965024,0.791757769912561,""
HALLMARK_IL2_STAT5_SIGNALING,143,Down,0.35883999971152,0.845717130358828,ENPP1
HALLMARK_DNA_REPAIR,136,Up,0.372115537357884,0.845717130358828,""
HALLMARK_TGF_BETA_SIGNALING,43,Down,0.456580637673035,0.963282548632756,""
HALLMARK_HEME_METABOLISM,135,Down,0.477562582753985,0.963282548632756,""
HALLMARK_NOTCH_SIGNALING,21,Down,0.494310102597046,0.963282548632756,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,93,Down,0.500906925289033,0.963282548632756,""
HALLMARK_ANGIOGENESIS,16,Down,0.576973698892489,0.984237243367451,""
HALLMARK_COAGULATION,58,Down,0.603780221867095,0.984237243367451,""
HALLMARK_PROTEIN_SECRETION,88,Up,0.614291149369771,0.984237243367451,""
HALLMARK_XENOBIOTIC_METABOLISM,113,Down,0.618935705380773,0.984237243367451,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,96,Down,0.658280858940433,0.984237243367451,""
HALLMARK_FATTY_ACID_METABOLISM,115,Down,0.66660249982712,0.984237243367451,""
HALLMARK_CHOLESTEROL_HOMEOSTASIS,58,Up,0.668716220893246,0.984237243367451,""
HALLMARK_ADIPOGENESIS,157,Down,0.686655765498983,0.984237243367451,""
HALLMARK_KRAS_SIGNALING_DN,42,Down,0.700507731407539,0.984237243367451,""
HALLMARK_BILE_ACID_METABOLISM,59,Down,0.708650815224564,0.984237243367451,""
HALLMARK_GLYCOLYSIS,125,Up,0.744999425902485,0.985921701636041,""
HALLMARK_ANDROGEN_RESPONSE,75,Up,0.764170064350171,0.985921701636041,""
HALLMARK_ESTROGEN_RESPONSE_LATE,93,Up,0.810040397217927,0.985921701636041,""
HALLMARK_G2M_CHECKPOINT,140,Down,0.838398449968907,0.985921701636041,""
HALLMARK_P53_PATHWAY,148,Down,0.865241907993038,0.985921701636041,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,68,Down,0.87491253725655,0.985921701636041,""
HALLMARK_ALLOGRAFT_REJECTION,137,Up,0.878274766592833,0.985921701636041,""
HALLMARK_HEDGEHOG_SIGNALING,14,Down,0.88147766234629,0.985921701636041,""
HALLMARK_APICAL_SURFACE,15,Up,0.924142375422517,0.985921701636041,""
HALLMARK_MITOTIC_SPINDLE,155,Down,0.950852144253804,0.985921701636041,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,24,Down,0.951192708076203,0.985921701636041,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,81,Down,0.980228452615351,0.985921701636041,""
HALLMARK_MTORC1_SIGNALING,172,Up,0.982357320139394,0.985921701636041,""
HALLMARK_PEROXISOME,73,Up,0.985921701636041,0.985921701636041,""
