Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_INTERFERON_GAMMA_RESPONSE,177,Down,5.23512875512096e-05,0.00261756437756048,CCL5
HALLMARK_INTERFERON_ALPHA_RESPONSE,93,Down,0.000349551281756159,0.00873878204390397,""
HALLMARK_TNFA_SIGNALING_VIA_NFKB,167,Down,0.000608543024693811,0.0101423837448969,CCL5
HALLMARK_MYOGENESIS,70,Down,0.00735421582346089,0.0919276977932611,""
HALLMARK_APOPTOSIS,118,Down,0.018064801656497,0.152805875742909,""
HALLMARK_MYC_TARGETS_V2,53,Up,0.018336705089149,0.152805875742909,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,96,Down,0.035503719764456,0.253597998317543,TGM2
HALLMARK_CHOLESTEROL_HOMEOSTASIS,58,Down,0.0427360384162074,0.267100240101296,""
HALLMARK_IL2_STAT5_SIGNALING,143,Down,0.066574074522892,0.369855969571622,TGM2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,68,Down,0.0854051399720252,0.427025699860126,TGM2
HALLMARK_MYC_TARGETS_V1,189,Up,0.102919267618593,0.467109424344862,""
HALLMARK_INFLAMMATORY_RESPONSE,136,Down,0.112106261842767,0.467109424344862,CCL5
HALLMARK_OXIDATIVE_PHOSPHORYLATION,198,Up,0.140541519038776,0.540544303995292,""
HALLMARK_TGF_BETA_SIGNALING,43,Down,0.179166538926337,0.628805721159774,""
HALLMARK_UV_RESPONSE_DN,86,Down,0.200897137432472,0.628805721159774,""
HALLMARK_E2F_TARGETS,144,Up,0.201823638171414,0.628805721159774,""
HALLMARK_PANCREAS_BETA_CELLS,12,Up,0.215540621242519,0.628805721159774,""
HALLMARK_HYPOXIA,120,Down,0.229787110932899,0.628805721159774,TGM2
HALLMARK_P53_PATHWAY,148,Down,0.238946174040714,0.628805721159774,""
HALLMARK_KRAS_SIGNALING_UP,115,Down,0.261310078546876,0.634066828546005,ALDH1A2
HALLMARK_ANDROGEN_RESPONSE,75,Down,0.269185651737805,0.634066828546005,""
HALLMARK_KRAS_SIGNALING_DN,42,Down,0.278989404560242,0.634066828546005,""
HALLMARK_APICAL_SURFACE,15,Down,0.360772481810091,0.753272317965225,""
HALLMARK_FATTY_ACID_METABOLISM,115,Down,0.362067171122919,0.753272317965225,""
HALLMARK_ESTROGEN_RESPONSE_LATE,93,Down,0.376636158982612,0.753272317965225,""
HALLMARK_DNA_REPAIR,136,Up,0.464389940007624,0.842749197155902,""
HALLMARK_COAGULATION,58,Down,0.47614332727587,0.842749197155902,""
HALLMARK_HEDGEHOG_SIGNALING,14,Down,0.479043793323418,0.842749197155902,""
HALLMARK_HEME_METABOLISM,135,Down,0.488794534350423,0.842749197155902,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,101,Up,0.568423028219448,0.937792430514533,""
HALLMARK_ANGIOGENESIS,16,Down,0.600053952323883,0.937792430514533,""
HALLMARK_PEROXISOME,73,Down,0.600187155529302,0.937792430514533,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,46,Down,0.714071726530157,0.972340191184242,""
HALLMARK_APICAL_JUNCTION,99,Up,0.764045718584494,0.972340191184242,""
HALLMARK_SPERMATOGENESIS,42,Up,0.767925691960578,0.972340191184242,""
HALLMARK_ADIPOGENESIS,157,Down,0.780773011287791,0.972340191184242,""
HALLMARK_MITOTIC_SPINDLE,155,Down,0.802260047004168,0.972340191184242,""
HALLMARK_MTORC1_SIGNALING,172,Down,0.81719766712401,0.972340191184242,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,81,Down,0.834587129560672,0.972340191184242,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,68,Down,0.851605234303059,0.972340191184242,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,24,Down,0.875908010163209,0.972340191184242,""
HALLMARK_NOTCH_SIGNALING,21,Up,0.881366285124474,0.972340191184242,""
HALLMARK_XENOBIOTIC_METABOLISM,113,Down,0.889961467564123,0.972340191184242,""
HALLMARK_ALLOGRAFT_REJECTION,137,Down,0.916437313550702,0.972340191184242,CCL5
HALLMARK_UV_RESPONSE_UP,108,Down,0.925894433701248,0.972340191184242,""
HALLMARK_BILE_ACID_METABOLISM,59,Down,0.950500096406906,0.972340191184242,""
HALLMARK_G2M_CHECKPOINT,140,Up,0.950578841203514,0.972340191184242,""
HALLMARK_COMPLEMENT,134,Down,0.960438939899268,0.972340191184242,CCL5
HALLMARK_GLYCOLYSIS,125,Down,0.964945373336485,0.972340191184242,""
HALLMARK_PROTEIN_SECRETION,88,Down,0.972340191184242,0.972340191184242,""
