Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,2.60336200458852e-08,4.36844144369953e-05,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Up,5.92583943820258e-08,4.65632325130877e-05,""
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,8.32477339328147e-08,4.65632325130877e-05,""
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Up,1.27715381758475e-07,5.35766026476802e-05,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Up,6.72331092212969e-07,0.000222290510999758,""
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Up,7.94840921334056e-07,0.000222290510999758,""
REACTOME_INFLUENZA_INFECTION,152,Up,5.87121888533475e-06,0.00140741504137025,""
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,154,Up,1.32085173527969e-05,0.00277048651474916,""
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,181,Up,2.79550109346935e-05,0.0052120564831573,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Up,6.51388598370526e-05,0.0109303006806574,""
REACTOME_TRANSLATION,265,Up,0.000137366899323702,0.0209546960968337,""
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,24,Up,0.000256494641375885,0.0358665006857279,""
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Up,0.00029559138473129,0.0381540264291618,""
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,143,Up,0.000395206651483897,0.0473683400849985,""
REACTOME_DEFECTIVE_GALNT3_CAUSES_HFTC,2,Down,0.000541302313568186,0.0582006698530565,""
REACTOME_RRNA_PROCESSING,195,Up,0.000554952751876582,0.0582006698530565,""
REACTOME_SARS_COV_1_HOST_INTERACTIONS,87,Up,0.000627643134786244,0.0619520694218422,""
REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING,2,Down,0.00111280944031721,0.103738568936238,""
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,6,Down,0.00181048269215262,0.1598942082859,""
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION,1,Down,0.00202982232852303,0.170302093363082,""
REACTOME_INTERLEUKIN_10_SIGNALING,32,Down,0.00274919938742567,0.219674122480965,""
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,6,Down,0.00373994907676872,0.2673014971436,""
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,16,Up,0.00375167341226849,0.2673014971436,""
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,4,Down,0.00382314417845434,0.2673014971436,""
REACTOME_VITAMIN_B2_RIBOFLAVIN_METABOLISM,5,Down,0.00403677019828685,0.270948015709013,ENPP1
REACTOME_TRYPTOPHAN_CATABOLISM,9,Down,0.00497444240632254,0.321042859915739,""
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,17,Down,0.00563466699272497,0.339704246375434,""
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,75,Down,0.00566848563677721,0.339704246375434,""
REACTOME_PD_1_SIGNALING,16,Up,0.00650316634234827,0.359485455866759,HLA-DQA2
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY,32,Up,0.00654536120064738,0.359485455866759,""
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,36,Up,0.00664126885093535,0.359485455866759,""
