Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_SELENOAMINO_ACID_METABOLISM,100,Up,8.04654595099983e-07,0.00135021041057777,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Up,2.69300710443801e-06,0.00225943296062349,""
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,6.05094571885228e-06,0.00338449563874471,""
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,98,Up,3.13763184833484e-05,0.0131623656037647,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,5.00151605639215e-05,0.016785087885252,""
REACTOME_INFLUENZA_INFECTION,152,Up,6.27734074576158e-05,0.0175556296189799,""
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,154,Up,0.000194440371239111,0.0466101347056039,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Up,0.000261518218105423,0.0494435446940393,""
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,12,Down,0.000265191836857183,0.0494435446940393,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Up,0.000348279458747862,0.0584412931778913,""
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,1,Up,0.000542200075699909,0.0827101570022225,""
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,136,Up,0.000846589128277327,0.111542827203327,""
REACTOME_TRANSLATION,265,Up,0.000867228336931294,0.111542827203327,""
REACTOME_GPCR_LIGAND_BINDING,97,Down,0.00098886722078821,0.111542827203327,""
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,182,Up,0.000997105129946307,0.111542827203327,""
REACTOME_TRIGLYCERIDE_CATABOLISM,12,Up,0.0011004346125355,0.11540807998966,FABP4
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,28,Up,0.001327299303641,0.131012248912329,""
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,23,Up,0.00140779893377688,0.131238145048756,""
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,240,Up,0.00187882057941377,0.165929522750332,""
REACTOME_FREE_FATTY_ACID_RECEPTORS,1,Up,0.0020506450031621,0.1720491157653,""
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE,34,Up,0.0024950409620708,0.199365654016895,""
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,212,Up,0.00298991737232547,0.214118301842191,""
REACTOME_CD22_MEDIATED_BCR_REGULATION,3,Down,0.00299868605259105,0.214118301842191,""
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,48,Up,0.00327748426285826,0.214118301842191,""
REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS,2,Down,0.00352521766395892,0.214118301842191,""
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD,2,Down,0.00352521766395892,0.214118301842191,""
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,41,Up,0.00358034201742773,0.214118301842191,""
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,144,Up,0.00364664247163849,0.214118301842191,""
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,74,Down,0.00379819533914412,0.214118301842191,""
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Up,0.00382809836428232,0.214118301842191,""
REACTOME_RRNA_PROCESSING,195,Up,0.00412156595229828,0.223096376385694,""
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,13,Down,0.00428099406146991,0.224484626098328,""
REACTOME_MUCOPOLYSACCHARIDOSES,10,Up,0.00497380429304367,0.2487937313873,""
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,8,Up,0.00522931578411771,0.2487937313873,SCD
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,14,Up,0.00535957800587327,0.2487937313873,""
REACTOME_COMPLEX_I_BIOGENESIS,62,Up,0.00561507347402692,0.2487937313873,""
REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS,4,Down,0.00578226777726537,0.2487937313873,""
REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,17,Up,0.00583259594196188,0.2487937313873,""
REACTOME_PD_1_SIGNALING,16,Up,0.00585325853353257,0.2487937313873,""
REACTOME_P2Y_RECEPTORS,8,Down,0.00597947639871543,0.2487937313873,""
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,18,Up,0.00607898866917718,0.2487937313873,""
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,25,Up,0.0069763525356462,0.269553003509195,""
REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR,11,Down,0.00704409617264754,0.269553003509195,""
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,2,Down,0.00706813596805994,0.269553003509195,""
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS,15,Up,0.00729170492771149,0.271899574859997,""
REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_BCR_SIGNALING,5,Down,0.00780345066264807,0.284656308954858,""
REACTOME_BETA_DEFENSINS,4,Down,0.00880735290695371,0.314441237826985,""
REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS,5,Down,0.0107658584831139,0.37146974963706,""
REACTOME_TRANSLESION_SYNTHESIS_BY_POLK,17,Up,0.0108474479929773,0.37146974963706,""
REACTOME_MEIOTIC_SYNAPSIS,20,Down,0.0123222539558943,0.413534842759812,""
