Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,18,Down,0.000114103200796967,0.125711796541713,""
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,61,Down,0.000149835275973436,0.125711796541713,""
REACTOME_CHYLOMICRON_REMODELING,2,Down,0.000829902658030834,0.426658125178428,""
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,23,Down,0.00101706346884012,0.426658125178428,CCL5
REACTOME_OREXIN_AND_NEUROPEPTIDES_FF_AND_QRFP_BIND_TO_THEIR_RESPECTIVE_RECEPTORS,1,Up,0.00191118379837226,0.626582548660272,""
REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS,18,Down,0.00291874919825283,0.626582548660272,""
REACTOME_NTRK2_ACTIVATES_RAC1,2,Down,0.00359942571394542,0.626582548660272,""
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,13,Down,0.00365340958690205,0.626582548660272,""
REACTOME_GPCR_LIGAND_BINDING,96,Down,0.00426481432746906,0.626582548660272,CCL5
REACTOME_CHOLESTEROL_BIOSYNTHESIS,24,Down,0.00439358650121471,0.626582548660272,""
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,25,Down,0.00460759063670108,0.626582548660272,""
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,95,Down,0.0061883685286304,0.626582548660272,""
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,136,Up,0.00635788163311635,0.626582548660272,""
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,46,Down,0.00666039342573713,0.626582548660272,""
REACTOME_MEIOTIC_SYNAPSIS,20,Down,0.00739217674033298,0.626582548660272,""
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS,7,Down,0.00762942326268299,0.626582548660272,""
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS,4,Down,0.00788009155240362,0.626582548660272,""
REACTOME_RHO_GTPASE_EFFECTORS,186,Down,0.00806989634142861,0.626582548660272,""
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,9,Down,0.00849471789721225,0.626582548660272,""
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,16,Down,0.00852260743694698,0.626582548660272,SLC16A10
REACTOME_KILLING_MECHANISMS,7,Down,0.00855397671953523,0.626582548660272,""
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS,1,Down,0.0085864064785304,0.626582548660272,""
REACTOME_NGF_STIMULATED_TRANSCRIPTION,25,Down,0.00858843779450909,0.626582548660272,""
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,213,Up,0.00990113174265237,0.650969540066509,""
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,8,Down,0.0104470075625487,0.650969540066509,""
