Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,40,Down,1.43237528729603e-05,0.00713466188707525,""
WP_FOXP3_IN_COVID19,9,Up,2.90824071298378e-05,0.00713466188707525,""
WP_SPINAL_CORD_INJURY,62,Down,3.05915398944072e-05,0.00713466188707525,""
WP_PROSTAGLANDIN_SIGNALING,22,Down,3.45923000585466e-05,0.00713466188707525,""
WP_AMINO_ACID_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS,6,Down,5.70804817760031e-05,0.00941827949304052,""
WP_GLP1_FROM_INTESTINE_AND_PANCREAS_AND_ROLE_IN_GLUCOSE_HOMEOSTASIS,1,Down,0.000165554286930966,0.0227637144530078,""
WP_TYPE_II_INTERFERON_SIGNALING,31,Down,0.000386262339016796,0.0455237756698366,""
WP_COVID19_ADVERSE_OUTCOME_PATHWAY,6,Down,0.000553463678664723,0.0570759418622995,""
WP_BURN_WOUND_HEALING,57,Down,0.000923559019657953,0.0779269265610508,""
WP_SMALL_LIGAND_GPCRS,7,Down,0.000944568806800616,0.0779269265610508,""
WP_NOCGMPPKG_MEDIATED_NEUROPROTECTION,19,Down,0.00112279250572037,0.0842094379290276,""
WP_CCL18_SIGNALING,22,Down,0.0013201798848051,0.0907623670803505,""
WP_CHOLESTEROL_SYNTHESIS_DISORDERS,16,Down,0.00168807053291428,0.101498070417615,""
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,85,Up,0.00172239149799589,0.101498070417615,""
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY,14,Down,0.00217696751485958,0.119733213317277,""
WP_CALCIUM_MEDIATED_TCELL_APOPTOSIS_INVOLVED_IN_INCLUSION_BODY_MYOSITIS,14,Down,0.0023869421245565,0.122807611891976,""
WP_IMMUNE_RESPONSE_TO_TUBERCULOSIS,23,Down,0.00253160409936365,0.122807611891976,""
WP_ENTEROCYTE_CHOLESTEROL_METABOLISM,27,Down,0.00282104595872794,0.122807611891976,""
WP_ALLOGRAFT_REJECTION,46,Down,0.00282829651630005,0.122807611891976,""
WP_CHOLESTEROL_METABOLISM,45,Down,0.00313047242712762,0.124321533682659,""
WP_NUCLEAR_RECEPTORS_IN_LIPID_METABOLISM_AND_TOXICITY,10,Up,0.00316454813010403,0.124321533682659,""
WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION,11,Down,0.00335459212200871,0.125797204575327,""
WP_GLYCOLYSIS_IN_SENESCENCE,10,Up,0.00390434377748589,0.140047113757646,""
WP_INTERACTIONS_BETWEEN_LOXL4_AND_OXIDATIVE_STRESS_PATHWAY,11,Down,0.00590202050470933,0.193942634488649,""
WP_LIPID_PARTICLES_COMPOSITION,3,Down,0.00617259196616238,0.193942634488649,""
WP_G13_SIGNALING,29,Down,0.00628957605445717,0.193942634488649,""
WP_G_PROTEIN_SIGNALING,54,Down,0.00634721349235579,0.193942634488649,""
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,42,Down,0.00718117276032493,0.21158812597386,""
WP_PGK1_PKM2_KHKCKHKA_ACTING_AS_PROTEIN_KINASES,9,Up,0.00812339821994173,0.231096673498342,""
WP_GPCRS_CLASS_C_METABOTROPIC_GLUTAMATE_PHEROMONE,1,Down,0.0085864064785304,0.236126178159586,""
WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES,14,Up,0.00955601266434829,0.254313240260882,""
WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,73,Down,0.0101131949059198,0.259489315033886,""
WP_MRNA_PROTEIN_AND_METABOLITE_INDUCATION_PATHWAY_BY_CYCLOSPORIN_A,7,Down,0.0103795726013554,0.259489315033886,""
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,81,Down,0.0123864770142628,0.300554221669612,""
WP_ESTRADIOL_REGULATION_IN_PORTOSINUSOIDAL_VASCULAR_DISEASE,3,Down,0.0128084793914217,0.301914157083511,""
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY,8,Down,0.0140360407707535,0.315444978992475,""
WP_DNA_MISMATCH_REPAIR,21,Up,0.0143040992978284,0.315444978992475,""
WP_STATIN_INHIBITION_OF_CHOLESTEROL_PRODUCTION,14,Down,0.0145295869111685,0.315444978992475,""
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,22,Down,0.0153760188185995,0.325261936547298,""
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,12,Down,0.0159913742463211,0.329822093830373,CCL5
