gene,logFC,logCPM,LR,PValue,FDR
ENPP1,-8.04982765112992,4.07793107787172,38.6691801210951,5.02074523497056e-10,4.73355860753024e-06
OSM,-5.97408243640076,4.89319686406659,23.0577653722727,1.57206279539537e-06,0.00741070401749376
TMEM64,-7.91803589665858,3.38066742150847,22.2230124596769,2.42746818644764e-06,0.00762872335394278
PLCXD1,-8.07987719620119,3.27424419330299,20.3521419782415,6.44209354780995e-06,0.015184014492188
CKS2,2.18079717533146,5.62159929204971,17.7737115630966,2.48797232290387e-05,0.0469132061206754
BST2,0.711895967988191,8.38061713977992,16.9306772432244,3.87699396468955e-05,0.0609204984984884
TAMM41,-5.42361807428916,3.7258073518128,15.962910711092,6.4595707217992e-05,0.0870011896644612
SPP1,-3.66083090465953,5.21678187136514,15.4556453086639,8.44642716391325e-05,0.0995411441267177
MLKL,-5.12373277750085,3.78235971786594,14.735089430119,0.000123722103599785,0.116512849700145
PNOC,4.19215107337718,4.07258735841869,14.4829218971287,0.00014143602365554,0.116512849700145
SOX4,1.97148568347535,6.7965374567076,14.4424547313657,0.000144507619105556,0.116512849700145
HCAR2,-4.51442857354227,3.39964604969901,14.3153491040518,0.000154599158386147,0.116512849700145
DGAT2,-3.80798157375402,3.37375378822322,14.1675555135471,0.000167229369167429,0.116512849700145
APOBEC3A,5.08925586578863,4.84281909025152,14.1035774454184,0.000173014414064704,0.116512849700145
PTGIR,3.60191971691403,4.44070196298485,13.1850963464087,0.000282184306649296,0.170471704092989
IGLON5,3.69541526392297,3.60481028743686,13.0474252424988,0.000303701632865612,0.170471704092989
P2RY8,6.77240097019563,3.70808653876987,12.9695106629119,0.000316604759773856,0.170471704092989
TSPYL2,1.80810364034399,5.64863372035766,12.9178371815636,0.000325465705735448,0.170471704092989
SPICE1,-5.70182745280862,3.36551952503123,12.653034779924,0.00037495652793514,0.180554880318639
HSD17B10,-1.51227793713672,6.0817737270248,12.6132673153224,0.000383018413913107,0.180554880318639
MTRNR2L12,-2.37793276215812,5.70426692318212,12.3628663484565,0.000437957785983141,0.194936624878035
MSMO1,2.23499019278625,4.85759473608221,12.2920997046666,0.000454879693181669,0.194936624878035
TCP11L2,-4.28673745435454,3.50930975384103,11.5943209245556,0.000661535262194474,0.256933737551763
UCKL1,-2.66409856383134,4.39660770257976,11.5818296443929,0.000665993812061682,0.256933737551763
SLC35F2,-4.34715557732731,3.81577626728696,11.5395671954634,0.000681304989265388,0.256933737551763
VAT1,-2.18707862336216,5.16507771322447,11.2843530567957,0.000781630656326035,0.283431301070841
TLR10,-4.34103167436551,4.7590239640751,11.0505902696219,0.000886589671010708,0.304725271272185
HLA-DQA2,-4.38177902251036,8.51277232517566,10.9520646907677,0.000934993708787215,0.304725271272185
CARD8-AS1,-2.29609001470834,4.53357664894147,10.9474645681223,0.000937317868783767,0.304725271272185
ATP13A3,-1.54815529568121,6.77275955444919,10.8542942236627,0.000985669216188313,0.309762979007447
SERPINB9,-1.91800838348286,7.92551009909334,10.7764336139842,0.00102800562946245,0.312646357244256
RFWD3,-3.39566719004122,3.93770333052984,10.70785008668,0.0010668192156141,0.314311611400304
LPCAT1,-3.07852140592674,4.69765150925104,10.5876632621334,0.00113844777748105,0.325251080184586
MARVELD1,2.71030808580793,4.2768281358458,10.2286115787928,0.00138278713560087,0.38067172002139
UTP25,-3.05551416381084,4.03948804528733,10.1885092001354,0.00141318521433482,0.38067172002139
IKZF2,2.62824239894027,3.74568123508062,10.0713610100816,0.00150591751044311,0.394383063568269
S100B,-3.85907751126731,7.78098340028879,9.96857089781312,0.00159235041113341,0.396058038876262
GCNT2,-3.68272197216585,4.0138394675202,9.96397452528082,0.0015963306615717,0.396058038876262
TMEM140,-3.01690083948254,4.07457896827216,9.86269123715784,0.00168664200753858,0.407734893514711
PTGES3,0.771779626692843,8.17791118996194,9.77539692193858,0.00176862535745424,0.416864996751964
SFXN1,-3.98172044587677,3.87909499252732,9.64962952434832,0.00189389777067451,0.428452108780437
PPARA,1.97263100011324,4.55918857596618,9.61796070234368,0.00192683574365271,0.428452108780437
CEACAM4,-3.71317743422247,4.13691064491847,9.56314042238455,0.0019852319756738,0.428452108780437
TTYH2,-1.68241358011656,5.35648964077672,9.54993556987093,0.0019995643600275,0.428452108780437
PRR15,-3.9974351470446,3.42365901635052,9.47343563109154,0.00208468581618222,0.432265664256062
IFITM1,-4.49264890764372,3.84282616186126,9.45211267429207,0.00210906030502534,0.432265664256062
PTCD2,4.15124814555816,3.2363139765234,9.39596582165205,0.00217463414064378,0.436222354850842
RUNX3,-1.97052453685746,6.97517975031612,9.29538756390569,0.00229731534110079,0.445968964223611
CST6,-3.75520965982303,4.31466150431599,9.27910410629045,0.00231782766726315,0.445968964223611
IL32,-3.81796281578509,5.31434953634744,9.1528597689459,0.00248329657709233,0.46825040257653
PDSS1,-4.27892796902677,3.64534585378894,8.88891235716801,0.00286907591410379,0.530385249375893
ACYP1,2.7614136007048,4.15303971987992,8.75810297015012,0.00308229492885518,0.558843780562435
SDS,-1.98452413017868,8.0741887368054,8.64350356586335,0.00328229619691478,0.570434796146293
