gene,logFC,logCPM,LR,PValue,FDR
FABP4,3.01353723479333,5.58609624457056,28.3836016014436,9.95046050622271e-08,0.000938129416526677
SCD,2.9594578332299,4.31456472909445,20.5887504458516,5.69296635031293e-06,0.0268366433753751
CCL3L1,-3.97514776057893,6.24824234901854,18.1283636949664,2.06502421175875e-05,0.0648968275615383
LINC00987,4.74176273826855,3.24004784469062,16.7972714740575,4.15930646823186e-05,0.0830319588938578
PLPP3,-3.34771866306893,4.2607273760116,16.6890356087942,4.4034768187239e-05,0.0830319588938578
HLA-DOB,-2.31855135929567,5.00752274889397,15.9180361782786,6.61453797326022e-05,0.103936440019829
SLC16A1,2.69069533026313,3.64217038991324,15.5316405254391,8.11357792637281e-05,0.109278303842633
ARMH1,2.09110645982634,4.11949437562391,15.0036339691912,0.000107304345422463,0.126458171080372
SLC25A17,2.12236824572488,4.06747084728336,14.234489688069,0.000161385389242264,0.138457176743032
PLAU,-1.1430416674839,6.20102566667926,14.1722861153261,0.000166809432639983,0.138457176743032
ADAM28,-2.76338476963418,5.46545464160987,14.1516463851517,0.000168649453023794,0.138457176743032
CA2,1.82402290791496,4.9987804055204,14.0689526316869,0.000176228905485403,0.138457176743032
PNOC,-2.5806721812615,4.07258364309819,13.8230029571485,0.000200861962525785,0.145671275591777
LIMA1,1.82593457198965,5.14487897212306,13.4614689695286,0.000243513023639329,0.156664374698752
DGKA,-2.09026407131492,4.28862930544044,13.2663706211186,0.000270209826650752,0.156664374698752
PARM1,-2.16074350576175,4.73000803048101,13.1601319027324,0.000285968753899929,0.156664374698752
KCNN4,-1.71192656480985,5.17408323326435,13.1312233364643,0.000290415086294698,0.156664374698752
SUCNR1,-1.09058225362361,6.42356269902013,13.075992695216,0.000299104661071015,0.156664374698752
CSF1,4.58779087135696,3.7382029300225,12.8996164531828,0.000328649473959577,0.158156508838047
SMYD3,2.98612290488255,3.54702957668992,12.8609856296553,0.000335503837161746,0.158156508838047
SYTL1,-2.49861441599212,3.78818486480183,12.5551747208817,0.00039511065448523,0.177385869070798
PHETA1,-2.27287117616092,4.05493295518294,12.3950760806246,0.000430467455127457,0.184474871224621
FAM114A1,-2.4607613670186,3.91009586511945,12.3001253652216,0.000452927870449735,0.185661041852178
NRDE2,1.7944785537111,4.44930249123989,11.9024005093113,0.000560616496271886,0.220228846952139
ZNF516,1.91063147068764,4.26971043034097,11.7232631397521,0.000617236288304107,0.230857891886199
RCC1L,1.87442024224904,4.13758621417504,11.6109262871612,0.000655654899497168,0.230857891886199
RNF144B,1.05824519049218,5.76872935631398,11.5954517549367,0.000661133122711857,0.230857891886199
TNFRSF12A,-2.45842077746697,3.85486240282474,11.4110430303226,0.000730088308134057,0.236479348010961
TSPAN4,1.4142669678319,5.3685002740568,11.3736362732398,0.000744938980857605,0.236479348010961
FFAR4,2.34157561440751,3.88361510115521,11.3397616473125,0.000758650604919892,0.236479348010961
CTSW,2.37600285330313,3.4579290971498,11.261788467668,0.000791189446590712,0.236479348010961
SLC2A1,-1.58401221891812,4.57798422707392,11.2351059959933,0.000802645220232368,0.236479348010961
ENPP1,-2.74639818853239,4.07793205689829,10.6725772093897,0.00108735513691604,0.310654067601347
ACAP1,-1.71136707347025,5.08354353369179,10.5808081095626,0.0011426769959643,0.313322631956592
NCS1,-2.85638881476962,4.74603762391837,10.4240557851913,0.00124384433767952,0.313322631956592
VAMP1,-3.88068209122256,3.42727101306877,10.398953302262,0.00126086764702119,0.313322631956592
DDAH2,-0.598710705566359,7.02960582293294,10.3625695585999,0.00128596087021387,0.313322631956592
TRAF1,-2.15637574930124,5.1298041297844,10.317021433401,0.0013180884489883,0.313322631956592
GNG11,-1.70658922071131,5.03566799901179,10.2800615087915,0.00134475463902912,0.313322631956592
MACC1,1.86054093029035,4.44573955036591,10.234384644857,0.00137846592355794,0.313322631956592
MLKL,3.51901103174773,3.78236141909391,10.2240653715772,0.00138619967866622,0.313322631956592
MRC2,-3.37203802663193,4.46256487947059,10.1447569808266,0.00144712240335786,0.313322631956592
S1PR2,-1.37812188649114,5.10219285229235,10.1293170827156,0.00145929464819164,0.313322631956592
NCAPD3,2.17347911085639,4.18102963239415,10.1255742935993,0.00146226090433708,0.313322631956592
MMP9,-3.00799811956481,6.5519433275197,9.99935175582576,0.00156595338755809,0.32492138148971
CNTLN,1.26612944188864,4.86570830282896,9.96639458017093,0.00159423374906181,0.32492138148971
POR,1.111867555788,5.25625010207475,9.93712651173247,0.00161978202482142,0.32492138148971
TLR3,-2.2961650811494,4.1714648688421,9.85993602067068,0.00168916979994249,0.325367613605614
CLDN1,-2.98377866767108,5.41203805774893,9.843069804466,0.00170472771497097,0.325367613605614
SETD6,2.49797906663418,3.26374263248207,9.82075079282642,0.00172553889268993,0.325367613605614
SPCS2,0.426157942881072,7.91736312515515,9.73912396824283,0.00180386846648617,0.333468076510423
ENPP2,1.36053790019189,5.68337576898127,9.68530523147522,0.00185747528644778,0.336774557704416
GPR153,2.25638159055795,3.66401820803163,9.5364729619326,0.00201428452566475,0.358314613357873
ARHGAP12,-2.60412851037739,3.55300067736249,9.32932566992411,0.00225515328010982,0.379501998035421
PPM1N,2.04495969519498,4.20311415911194,9.32919281180041,0.00225531679288734,0.379501998035421
PLAAT4,-3.238532054526,5.205360045043,9.32864124981998,0.00225599574661997,0.379501998035421
RAMP1,-2.52430283491272,6.11977407274976,9.26083392932891,0.00234106398845544,0.379501998035421
B3GNT7,-1.99171641638603,4.13383060074079,9.23874412642905,0.00236947407707195,0.379501998035421
AOC1,2.88449727488691,3.42002652139997,9.1962127379302,0.00242516363875901,0.379501998035421
IGHM,-2.19205927864907,5.08530686545172,9.19264168521725,0.00242989950642486,0.379501998035421
TIPIN,2.75256988801603,3.3596965781643,9.14435150614342,0.00249487046964397,0.379501998035421
LILRA5,1.12340676664743,5.05235362499238,9.14376934335274,0.00249566439098389,0.379501998035421
EBLN2,3.50908492207502,3.58529862749299,9.09114118360105,0.00256850555969164,0.38437889550433
SHFL,-1.53992553102948,5.13870064272147,9.01213387369484,0.00268193117920455,0.39508198683657
MYL6,0.309719950783401,10.5119760965284,8.93244284940372,0.00280149406936562,0.406345939784294
PTPN1,0.582277245514514,7.53357207684395,8.87350020476569,0.00289339847498805,0.410695853076893
FGD5,2.28686382973548,3.54811593926309,8.7644684813697,0.00307155576072658,0.410695853076893
TBCE,2.42286995932076,3.82196870205585,8.75683704727198,0.00308443519382914,0.410695853076893
TTC3,0.577636254992635,7.07603980278492,8.75078173543491,0.00309469366611229,0.410695853076893
ZC2HC1A,-1.72875309709967,4.00091100225672,8.72083637492749,0.00314593687955593,0.410695853076893
CPSF7,1.42678319668994,4.81225086784765,8.71413785054522,0.00315751706553698,0.410695853076893
BHLHE41,-0.809403881067037,6.01917282935949,8.68656106908581,0.00320564894071927,0.410695853076893
ADAT1,1.42027290911248,4.3187323312414,8.67326256807729,0.00322912564951311,0.410695853076893
C1RL,1.82436919495827,3.8360269298711,8.67127867944003,0.0032326428840484,0.410695853076893
CLCN3,1.46013309331695,4.97167514369033,8.65196019028554,0.00326709683716239,0.410695853076893
HES4,-1.73203733320334,5.1798293111611,8.60949922979652,0.00334414235041036,0.413413261143731
GEM,-3.21859808681,4.33101272644875,8.54145446080925,0.00347148128710211,0.413413261143731
CAMK1D,-0.885875992501229,6.33600434612398,8.50472946401367,0.00354224573560508,0.413413261143731
MPRIP,1.44201798139417,4.15492880828453,8.4828851927684,0.00358503081615813,0.413413261143731
PPIE,-1.0263016714238,5.16317832635096,8.47491952866703,0.00360076312090897,0.413413261143731
AMBRA1,3.07548044412808,3.17988830742236,8.4603213207238,0.00362977726343048,0.413413261143731
SCAMP4,0.949041503576939,5.28256665605896,8.43367248158149,0.00368335683428048,0.413413261143731
RFC2,1.18437627060197,4.83286333391762,8.42244595268978,0.00370616879940574,0.413413261143731
PLEK2,-1.55444596829527,5.18318705554729,8.41395295024074,0.00372352175048803,0.413413261143731
TNNI2,1.57172135028148,4.49410227786245,8.40291036755018,0.00374620766009801,0.413413261143731
TSPAN33,-1.64673811085381,6.31974077393308,8.39089172863436,0.00377105859761995,0.413413261143731
CNTROB,2.58089671190185,3.40447277050868,8.35906135787672,0.00383768751982174,0.41588181536643
ENTPD6,-1.69445718566976,4.17879873273884,8.32278505327717,0.00391508471470342,0.419004132814082
