Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,80,2,1.79567716861261e-05,0.288798759027966,"FABP4,SCD",2,2,1
GOBP_ADAPTIVE_THERMOGENESIS,134,2,5.06369596503384e-05,0.309301033798622,"FABP4,SCD",2,2,1
GOBP_TEMPERATURE_HOMEOSTASIS,143,2,5.76946528257083e-05,0.309301033798622,"FABP4,SCD",2,2,1
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_OXIDATION_OF_A_PAIR_OF_DONORS_RESULTING_IN_THE_REDUCTION_OF_MOLECULAR_OXYGEN_TO_TWO_MOLECULES_OF_WATER,8,1,0.000852673894001788,1,SCD,1,2,0.5
GOBP_RESPONSE_TO_LITHIUM_ION,10,1,0.00106578554227588,1,FABP4,1,2,0.5
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_HOMEOSTASIS,651,2,0.00120227973718105,1,"FABP4,SCD",2,2,1
GOMF_LONG_CHAIN_FATTY_ACID_BINDING,12,1,0.00127887446045893,1,FABP4,1,2,0.5
GOBP_WHITE_FAT_CELL_DIFFERENTIATION,13,1,0.00138541039576601,1,FABP4,1,2,0.5
GOMF_HORMONE_RECEPTOR_BINDING,13,1,0.00138541039576601,1,FABP4,1,2,0.5
GOMF_LONG_CHAIN_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,13,1,0.00138541039576601,1,FABP4,1,2,0.5
GOMF_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,15,1,0.00159846521881324,1,FABP4,1,2,0.5
GOMF_LIPID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,30,1,0.00319565187002158,1,FABP4,1,2,0.5
GOMF_FATTY_ACID_BINDING,31,1,0.00330208551992095,1,FABP4,1,2,0.5
GOBP_BROWN_FAT_CELL_DIFFERENTIATION,40,1,0.00425973265549184,1,FABP4,1,2,0.5
GOBP_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,40,1,0.00425973265549184,1,SCD,1,2,0.5
GOBP_RESPONSE_TO_FATTY_ACID,41,1,0.00436610948016414,1,SCD,1,2,0.5
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,1252,2,0.00445013126059151,1,"FABP4,SCD",2,2,1
GOBP_LONG_CHAIN_FATTY_ACID_TRANSPORT,44,1,0.00468520585904464,1,FABP4,1,2,0.5
GOMF_MONOCARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,45,1,0.00479155995362623,1,FABP4,1,2,0.5
GOBP_HOMEOSTATIC_PROCESS,1306,2,0.00484244694427457,1,"FABP4,SCD",2,2,1
GOMF_MONOCARBOXYLIC_ACID_BINDING,49,1,0.00521691950672509,1,FABP4,1,2,0.5
GOBP_STEROL_HOMEOSTASIS,64,1,0.00681120807136437,1,FABP4,1,2,0.5
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,75,1,0.00797954041802229,1,SCD,1,2,0.5
GOBP_FATTY_ACID_TRANSPORT,76,1,0.00808571835440064,1,FABP4,1,2,0.5
GOMF_IRON_ION_BINDING,87,1,0.00925330060806351,1,SCD,1,2,0.5
GOCC_LIPID_DROPLET,90,1,0.0095716127988138,1,FABP4,1,2,0.5
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN,112,1,0.0119043395039088,1,SCD,1,2,0.5
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT,113,1,0.0120103071869473,1,FABP4,1,2,0.5
GOMF_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,114,1,0.0121162691874641,1,FABP4,1,2,0.5
GOMF_LIPID_TRANSPORTER_ACTIVITY,120,1,0.0127519218575851,1,FABP4,1,2,0.5
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS,122,1,0.0129637606207768,1,SCD,1,2,0.5
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,123,1,0.013069671478589,1,FABP4,1,2,0.5
GOBP_LIPID_HOMEOSTASIS,124,1,0.0131755766538785,1,FABP4,1,2,0.5
GOMF_ORGANIC_ACID_BINDING,129,1,0.0137050172924845,1,FABP4,1,2,0.5
GOBP_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE,166,1,0.0176184626980457,1,FABP4,1,2,0.5
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,169,1,0.0179354281309194,1,SCD,1,2,0.5
GOMF_ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,176,1,0.0186748152526637,1,FABP4,1,2,0.5
GOBP_FAT_CELL_DIFFERENTIATION,184,1,0.0195194881547244,1,FABP4,1,2,0.5
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR,198,1,0.0209967906248373,1,FABP4,1,2,0.5
GOBP_ORGANIC_ACID_TRANSPORT,226,1,0.0239480542417252,1,FABP4,1,2,0.5
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,251,1,0.026579346371238,1,SCD,1,2,0.5
GOBP_RESPONSE_TO_METAL_ION,259,1,0.027420609759687,1,FABP4,1,2,0.5
GOBP_FATTY_ACID_METABOLIC_PROCESS,296,1,0.0313067222311315,1,SCD,1,2,0.5
GOBP_ORGANIC_ANION_TRANSPORT,297,1,0.0314116443299962,1,FABP4,1,2,0.5
GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE,315,1,0.0332992703981821,1,FABP4,1,2,0.5
GOBP_LIPID_LOCALIZATION,356,1,0.0375919900978633,1,FABP4,1,2,0.5
GOBP_RESPONSE_TO_INORGANIC_SUBSTANCE,395,1,0.0416664441011954,1,FABP4,1,2,0.5
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE,437,1,0.0460446516721565,1,FABP4,1,2,0.5
GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,465,1,0.0489578878472321,1,SCD,1,2,0.5
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS,473,1,0.0497894227568437,1,SCD,1,2,0.5
