Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
HALLMARK_CHOLESTEROL_HOMEOSTASIS,70,1,0.00744856549829009,0.205748178552588,SCD,1,2,0.5
HALLMARK_ANDROGEN_RESPONSE,94,1,0.00999594949783,0.205748178552588,SCD,1,2,0.5
HALLMARK_MYOGENESIS,143,1,0.015186695305066,0.205748178552588,SCD,1,2,0.5
HALLMARK_ADIPOGENESIS,185,1,0.0196250466961304,0.205748178552588,FABP4,1,2,0.5
HALLMARK_MTORC1_SIGNALING,194,1,0.0205748178552588,0.205748178552588,SCD,1,2,0.5
HALLMARK_ALLOGRAFT_REJECTION,180,0,1,1,"",0,2,0
HALLMARK_ANGIOGENESIS,25,0,1,1,"",0,2,0
HALLMARK_APICAL_JUNCTION,158,0,1,1,"",0,2,0
HALLMARK_APICAL_SURFACE,33,0,1,1,"",0,2,0
HALLMARK_APOPTOSIS,151,0,1,1,"",0,2,0
HALLMARK_BILE_ACID_METABOLISM,91,0,1,1,"",0,2,0
HALLMARK_COAGULATION,104,0,1,1,"",0,2,0
HALLMARK_COMPLEMENT,179,0,1,1,"",0,2,0
HALLMARK_DNA_REPAIR,148,0,1,1,"",0,2,0
HALLMARK_E2F_TARGETS,198,0,1,1,"",0,2,0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,147,0,1,1,"",0,2,0
HALLMARK_ESTROGEN_RESPONSE_EARLY,164,0,1,1,"",0,2,0
HALLMARK_ESTROGEN_RESPONSE_LATE,160,0,1,1,"",0,2,0
HALLMARK_FATTY_ACID_METABOLISM,136,0,1,1,"",0,2,0
HALLMARK_G2M_CHECKPOINT,192,0,1,1,"",0,2,0
HALLMARK_GLYCOLYSIS,167,0,1,1,"",0,2,0
HALLMARK_HEDGEHOG_SIGNALING,28,0,1,1,"",0,2,0
HALLMARK_HEME_METABOLISM,173,0,1,1,"",0,2,0
HALLMARK_HYPOXIA,164,0,1,1,"",0,2,0
HALLMARK_IL2_STAT5_SIGNALING,186,0,1,1,"",0,2,0
HALLMARK_IL6_JAK_STAT3_SIGNALING,80,0,1,1,"",0,2,0
HALLMARK_INFLAMMATORY_RESPONSE,183,0,1,1,"",0,2,0
HALLMARK_INTERFERON_ALPHA_RESPONSE,96,0,1,1,"",0,2,0
HALLMARK_INTERFERON_GAMMA_RESPONSE,195,0,1,1,"",0,2,0
HALLMARK_KRAS_SIGNALING_DN,98,0,1,1,"",0,2,0
HALLMARK_KRAS_SIGNALING_UP,164,0,1,1,"",0,2,0
HALLMARK_MITOTIC_SPINDLE,198,0,1,1,"",0,2,0
HALLMARK_MYC_TARGETS_V1,195,0,1,1,"",0,2,0
HALLMARK_MYC_TARGETS_V2,57,0,1,1,"",0,2,0
HALLMARK_NOTCH_SIGNALING,30,0,1,1,"",0,2,0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,0,1,1,"",0,2,0
HALLMARK_P53_PATHWAY,190,0,1,1,"",0,2,0
HALLMARK_PANCREAS_BETA_CELLS,15,0,1,1,"",0,2,0
HALLMARK_PEROXISOME,94,0,1,1,"",0,2,0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,98,0,1,1,"",0,2,0
HALLMARK_PROTEIN_SECRETION,92,0,1,1,"",0,2,0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,0,1,1,"",0,2,0
HALLMARK_SPERMATOGENESIS,87,0,1,1,"",0,2,0
HALLMARK_TGF_BETA_SIGNALING,52,0,1,1,"",0,2,0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,194,0,1,1,"",0,2,0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,107,0,1,1,"",0,2,0
HALLMARK_UV_RESPONSE_DN,124,0,1,1,"",0,2,0
HALLMARK_UV_RESPONSE_UP,139,0,1,1,"",0,2,0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,39,0,1,1,"",0,2,0
HALLMARK_XENOBIOTIC_METABOLISM,155,0,1,1,"",0,2,0
