Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_LINKED_TO_LIPOGENESIS,8,1,0.000852673894001788,0.953471038284404,SCD,1,2,0.5
REACTOME_METABOLISM_OF_LIPIDS,623,2,0.00110100581788037,0.953471038284404,"FABP4,SCD",2,2,1
REACTOME_TRIGLYCERIDE_CATABOLISM,16,1,0.00170498410655229,0.984344157516187,FABP4,1,2,0.5
REACTOME_TRIGLYCERIDE_METABOLISM,25,1,0.00266339838268581,1,FABP4,1,2,0.5
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,32,1,0.00340851348729709,1,SCD,1,2,0.5
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,42,1,0.00447248062231342,1,SCD,1,2,0.5
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,42,1,0.00447248062231342,1,SCD,1,2,0.5
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,55,1,0.00585478836069364,1,SCD,1,2,0.5
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,75,1,0.00797954041802229,1,FABP4,1,2,0.5
REACTOME_ADIPOGENESIS,94,1,0.00999594949783,1,FABP4,1,2,0.5
REACTOME_METABOLISM_OF_STEROIDS,123,1,0.013069671478589,1,SCD,1,2,0.5
REACTOME_FATTY_ACID_METABOLISM,142,1,0.0150808980977075,1,SCD,1,2,0.5
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,207,1,0.0219458969288129,1,SCD,1,2,0.5
REACTOME_DEVELOPMENTAL_BIOLOGY,876,1,0.0912073871885706,1,FABP4,1,2,0.5
REACTOME_2_LTR_CIRCLE_FORMATION,7,0,1,1,"",0,2,0
REACTOME_ABACAVIR_ADME,5,0,1,1,"",0,2,0
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,3,0,1,1,"",0,2,0
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,93,0,1,1,"",0,2,0
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,15,0,1,1,"",0,2,0
REACTOME_ABC_TRANSPORTER_DISORDERS,70,0,1,1,"",0,2,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,20,0,1,1,"",0,2,0
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,17,0,1,1,"",0,2,0
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,23,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,4,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,3,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,10,0,1,1,"",0,2,0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,8,0,1,1,"",0,2,0
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,3,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,27,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,4,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,8,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,4,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,4,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,6,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,4,0,1,1,"",0,2,0
REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,7,0,1,1,"",0,2,0
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,5,0,1,1,"",0,2,0
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,23,0,1,1,"",0,2,0
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,19,0,1,1,"",0,2,0
