,logFC,logCPM,LR,PValue,FDR
SULF2,1.73074805488,4.04887682586211,37.9872476088891,7.12085439693702e-10,6.92503090102125e-06
RPS17,-0.57519216984951,9.75896697920735,25.2089702055712,5.14423752502162e-07,0.00250138549654176
MICAL3,-1.80074658413635,3.53498264182529,23.3748192696616,1.33312257467118e-06,0.0043215390128924
ITGAM,-1.88601126247211,3.22086127002725,20.9359686230856,4.74893448964302e-06,0.010274901568136
CLEC2B,0.405435768068141,8.10143017289364,20.7319470580625,5.28272574197225e-06,0.010274901568136
CALM2,0.353408865746294,9.11686356356722,19.9598210696438,7.90866773027442e-06,0.0128186322794865
ZNF600,-1.28129384198376,4.13192369231635,17.5137560985933,2.85236438321186e-05,0.039582372061116
CD9,1.29022227523174,4.79748260820212,17.2621229125846,3.25613343433345e-05,0.039582372061116
MIR3142HG,-1.53814912997123,3.31569576466501,16.4080908925898,5.10667866336605e-05,0.048932637173012
TASOR,-1.1719484781467,6.11908016563383,16.2618019864234,5.51648984212144e-05,0.048932637173012
HDAC4-AS1,-2.6137356835155,2.86452131700267,16.1276859817136,5.92120736088488e-05,0.048932637173012
POLE4,0.488984732116027,6.57827023117589,16.0907069529398,6.03796037096292e-05,0.048932637173012
USP40,-1.93469490902551,3.12656894904026,15.8306805526557,6.92701566275656e-05,0.0518194056310058
PAXX,0.420254076626135,7.57159959623238,15.6479257585195,7.62962181957956e-05,0.0529986229967223
CDC42,0.28275354164253,9.31304443856682,15.5061871413429,8.22356431940382e-05,0.0533161086708014
MYO1F,0.469240831073947,7.00353749455175,15.1027861273816,0.000101812913308916,0.059059350065407
RPL31,-0.367036399140159,9.85236722383111,14.9971405289609,0.000107674208681499,0.059059350065407
MPC1,0.482265855573862,6.26052310744228,14.9686380111543,0.00010931293585371,0.059059350065407
LST1,-1.72095362669539,4.94918171043222,14.5990848223198,0.000132979108706175,0.0680643069561872
ING2,0.740272026357446,5.24335980316817,14.4511541148196,0.000143841687975852,0.0699430207782582
CCR6,-1.08426009363481,5.84473511898553,14.088397162448,0.000174416383797246,0.0807713967822962
GUK1,0.219342892657605,8.51070487640404,13.8629622094201,0.000196635709562717,0.0869219216135193
HYI,-1.58699828746147,3.21619707756252,13.6405767040651,0.000221349436607708,0.0899160524379707
ZNF154,-1.94465837720167,2.79319081001157,13.6359056850319,0.000221900797790365,0.0899160524379707
CCR7,-0.942952428187097,5.29848752129941,13.3532557116826,0.000257974375201508,0.100352031953387
ZNF626,-1.14308409138589,3.75940745437125,12.8416471516419,0.000338989076746281,0.120771412815274
UQCR11,-0.299448668402757,8.83190538331038,12.7998972438163,0.000346638389970615,0.120771412815274
SDC4,-1.22528115638845,3.80139863457987,12.756416715114,0.000354789922920972,0.120771412815274
CCNG2,-1.10439525196008,5.00782508997588,12.7284184196503,0.000360140973947862,0.120771412815274
