,logFC,logCPM,LR,PValue,FDR
SULF2,1.26718366173376,4.04887682586211,25.3575943645544,4.76273619509067e-07,0.00463176094972567
RPS17,-0.493190724442087,9.75896697920735,22.6456928969941,1.94796399259771e-06,0.00947197491400635
MICAL3,-1.66119253905898,3.53498264182529,20.891238715824,4.86112917127264e-06,0.0157581603968755
TASOR,-1.15714430785422,6.11908016563383,19.621813950887,9.43854122848497e-06,0.0229474533617541
CDC42,0.273803918308251,9.31304443856682,18.2475724043291,1.93973005491777e-05,0.0377277495681506
HDAC4-AS1,-2.29151379295756,2.86452131700267,16.618667007016,4.56990202994189e-05,0.0740704954019749
USP40,-1.83794890774231,3.12656894904026,15.5178586047189,8.17294586337312e-05,0.104161496287521
CALM2,0.275192314075951,9.11686356356722,15.4285147560297,8.56855496452617e-05,0.104161496287521
CLEC2B,0.314208036032789,8.10143017289364,15.1227404434049,0.000100742424368978,0.108857786332035
IL2RA,-1.60675970690878,6.62562443046277,14.4059472842369,0.000147336255653135,0.135890292904893
ITGAM,-1.48875700131653,3.22086127002725,14.2071956857866,0.000163743161014173,0.135890292904893
SRP14,0.184265532537662,9.64985790597787,14.1284752604284,0.00017073951496103,0.135890292904893
ZNF600,-1.0730081598818,4.13192369231635,14.0119464135704,0.000181652833703199,0.135890292904893
SDC4,-1.20309577345038,3.80139863457987,13.8712556194512,0.000195769852586599,0.135990129743191
KDELR2,0.433342078386961,6.36306152440899,12.9769814531307,0.000315343954583691,0.194077193241693
TMEM104,-1.82776107797612,3.00954120486341,12.953614677273,0.000319304379626436,0.194077193241693
RTL6,1.23021750559435,3.2621746951957,12.7120704484387,0.000363302972306226,0.207830670922238
PAXX,0.342757694927801,7.57159959623238,12.4784987051849,0.000411662907186626,0.22241232068833
POLR1D,0.426477868458875,7.43068981704951,12.3771209230748,0.000434626816248233,0.222460304632319
TRIM52-AS1,-1.15158630490328,4.11289838667068,12.1022579383004,0.000503608015050791,0.23432675615204
ISCA1,0.63558138411836,5.669554815075,12.0934182748205,0.000506001221510831,0.23432675615204
CRYBG1,0.534199074712791,5.88464142481934,11.9686785931254,0.000541022946721036,0.239156734402822
CDK1,2.08000765302289,3.13191463562511,11.8696481041345,0.00057056192123756,0.241248464523273
DMAC2L,-1.02758863908467,4.48050037523841,11.4993286291107,0.000696213324943824,0.282111441044945
ZNF267,-0.679964750516269,5.6383167682418,11.3019383490958,0.000774262167314531,0.29963376885004
CCR6,-0.884909480671181,5.84473511898553,11.2321391534331,0.000803929307536003,0.29963376885004
SYNGR3,-1.79900123362048,3.15997910009029,11.1687019518139,0.000831888098606796,0.29963376885004
MYO1F,0.371906844557989,7.00353749455175,10.8978032535422,0.000962783723157316,0.328130408895915
TNFRSF4,-1.11980749773028,7.85135657922884,10.8678386454191,0.000978486566373423,0.328130408895915
HIGD2A,0.348732342370041,7.95514412093056,10.6752708445272,0.00108577289214884,0.328451591511313
LST1,-1.35379098627565,4.94918171043222,10.6316186400625,0.00111170367043334,0.328451591511313
ING2,0.563101341562179,5.24335980316817,10.6169923585626,0.00112053154731993,0.328451591511313
SNHG16,-0.824083305572897,5.69483654115107,10.5767022292154,0.00114521768589771,0.328451591511313
CCNB1,1.98344907577108,3.18106253597946,10.5717107975951,0.00114831404744315,0.328451591511313
AUP1,0.412552497545139,6.13680235511756,10.476894845474,0.00120876748307883,0.335800886877239
CCDC136,-1.08368355336832,3.48027550776591,10.3879724444682,0.00126838829181921,0.335800886877239
PRR5,0.527166638258113,5.49116408051409,10.2964707200327,0.00133284881208425,0.335800886877239
RPL31,-0.27405680727095,9.85236722383111,10.2856651519616,0.00134067681689507,0.335800886877239
HYI,-1.39852264075609,3.21619707756252,10.2774538797905,0.00134665651292672,0.335800886877239
RAD51-AS1,-0.934525713630284,4.19385973410568,10.133866021969,0.00145569769878446,0.353916503016972
CHCHD2,0.191565801630883,9.08793748884502,9.99911223387085,0.00156615707602157,0.371484818641702
XPO5,-0.886748184062087,3.80522468274283,9.87962277398305,0.00167119197115985,0.376134644116256
TRDV1,-1.99314748074713,2.42332233069854,9.86790253471222,0.00168187134157421,0.376134644116256
GSAP,1.37402523274179,3.66318514157169,9.84624073873223,0.00170179170602728,0.376134644116256
ARHGAP15,0.32167388941698,6.91683377825783,9.52397413527742,0.00202804923027618,0.432413115360792
CD9,0.908880803317354,4.79748260820212,9.47937839475379,0.00207794362234815,0.432413115360792
CD5,-0.606837836229201,6.00455927395823,9.33880612421417,0.00224351637120958,0.432413115360792
RPS20,-0.248609832671487,10.7379468689974,9.3244748448517,0.00226113115041844,0.432413115360792
TRMT61B,0.818789654302277,3.92553385328033,9.26451374645672,0.00233636500273389,0.432413115360792
LAX1,-0.628459943962821,5.23199422037139,9.25606415863907,0.00234716907618885,0.432413115360792
TASOR2,-0.615897128262967,4.96748516676139,9.23305340861462,0.00237684951449989,0.432413115360792
GADD45GIP1,0.323567770503614,7.13060617921232,9.2227405776632,0.00239027484006419,0.432413115360792
GSTK1,0.256624926400347,8.41267825921405,9.20177359817586,0.00241780756479105,0.432413115360792
PRC1,1.19811750961181,3.52771619657329,9.17069958889587,0.00245920544344485,0.432413115360792
TNFRSF1B,-0.517842594792618,7.65064564247765,9.15457927183223,0.00248096414368629,0.432413115360792
LAIR1,-1.11523337897719,4.67196907001443,9.14793575094462,0.00248998811930122,0.432413115360792
NGRN,-0.588023326797872,5.64199357633099,9.08381850487964,0.00257881030933704,0.439981232601802
DCTN3,0.277852654044959,6.87585592902454,8.95660164594787,0.00276468695336298,0.463561734852672
XRRA1,0.767821015005287,5.02651615110523,8.8775510812144,0.00288698540159483,0.475863271703554
VDR,-1.12566037000474,3.48087659879775,8.80775800852201,0.00299952383978017,0.476890361438043
POLE4,0.332094493060192,6.57827023117589,8.73064076109004,0.00312906513963651,0.476890361438043
MRPL20-AS1,-1.25922345681124,3.34971772038042,8.66847348046272,0.00323762286484141,0.476890361438043
EIF3C,-1.06602940759848,3.55985448330565,8.64809088672633,0.00327404236218175,0.476890361438043
SNW1,0.394896319696324,6.96500565631195,8.59648665945894,0.00336812146625468,0.476890361438043
GUK1,0.162030634985162,8.51070487640404,8.59552741563869,0.00336989602952599,0.476890361438043
