,NGenes,Direction,PValue,FDR
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Down,3.72373171742579e-05,0.0326721961647703
REACTOME_G2_M_DNA_REPLICATION_CHECKPOINT,3,Up,6.08442897277885e-05,0.0326721961647703
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,76,Up,7.34861564826242e-05,0.0326721961647703
REACTOME_INFLUENZA_INFECTION,152,Down,9.11593632107222e-05,0.0326721961647703
REACTOME_SELENOAMINO_ACID_METABOLISM,98,Down,0.000112361096598388,0.0326721961647703
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,61,Up,0.00013317471262814,0.0326721961647703
REACTOME_DEFENSINS,3,Down,0.000169593870292603,0.0356631681529588
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,99,Down,0.000270191116885727,0.0471713293556569
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,153,Up,0.000288411660462576,0.0471713293556569
REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION,10,Up,0.000365505825412032,0.0522463087932414
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,9,Up,0.00039042757929732,0.0522463087932414
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,65,Up,0.000560018050390301,0.0601645656628112
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Down,0.000572594552709256,0.0601645656628112
REACTOME_PHOSPHORYLATION_OF_EMI1,4,Up,0.000611869008966758,0.0601645656628112
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,21,Up,0.000745556522724457,0.0601645656628112
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,18,Up,0.0007739413959355,0.0601645656628112
REACTOME_MAPK6_MAPK4_SIGNALING,77,Up,0.000831497342909182,0.0601645656628112
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Down,0.000869577812692507,0.0601645656628112
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,54,Up,0.000890368356462318,0.0601645656628112
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,56,Up,0.000914502257329904,0.0601645656628112
REACTOME_REGULATION_OF_GLYCOLYSIS_BY_FRUCTOSE_2_6_BISPHOSPHATE_METABOLISM,8,Up,0.000935332147923541,0.0601645656628112
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,21,Up,0.00102760356308952,0.0601645656628112
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING,6,Up,0.00103967659882017,0.0601645656628112
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Down,0.00108593678057331,0.0601645656628112
REACTOME_HEDGEHOG_OFF_STATE,81,Up,0.00109336150291451,0.0601645656628112
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,92,Up,0.00109893425644097,0.0601645656628112
REACTOME_RHO_GTPASES_ACTIVATE_CIT,13,Up,0.00110356200604341,0.0601645656628112
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,56,Up,0.00116522549257483,0.0612251987105023
REACTOME_OTHER_INTERLEUKIN_SIGNALING,14,Down,0.00120620296372593,0.0612251987105023
REACTOME_BETA_DEFENSINS,2,Down,0.00129897005484035,0.063736130690833
REACTOME_GLUTATHIONE_CONJUGATION,15,Up,0.00144426892983926,0.0674494573419251
REACTOME_PCP_CE_PATHWAY,71,Up,0.00146892072866075,0.0674494573419251
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,17,Up,0.00154355772478786,0.0674494573419251
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,63,Up,0.00155793583534338,0.0674494573419251
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,103,Up,0.00173134005005586,0.0728152158194922
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,82,Up,0.00182435667555212,0.0745959174003534
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY,12,Down,0.00209487199769673,0.0833419346110698
REACTOME_RAF_ACTIVATION,26,Up,0.00217065901120321,0.0840844753813456
REACTOME_SIGNALING_BY_MODERATE_KINASE_ACTIVITY_BRAF_MUTANTS,31,Up,0.00235583722848337,0.0874010401621748
REACTOME_CELL_CYCLE_CHECKPOINTS,216,Up,0.00237502826527649,0.0874010401621748
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS,16,Down,0.00311401275965847,0.111800653224812
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,52,Up,0.00322423522660844,0.113001767942086
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,14,Up,0.00338929824388649,0.115527155277548
REACTOME_L1CAM_INTERACTIONS,50,Up,0.00357799276779882,0.115527155277548
