Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOBP_LEUKOCYTE_AGGREGATION,6,Down,7.95915304336957e-11,7.88206877418208e-07,""
GOBP_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,1,Down,9.8915338823895e-11,7.88206877418208e-07,""
GOBP_REGULATION_OF_BONE_MINERALIZATION_INVOLVED_IN_BONE_MATURATION,1,Up,5.17861049550421e-10,2.75105051556169e-06,""
GOMF_PH_DOMAIN_BINDING,8,Down,4.28307797144494e-09,1.70648534077295e-05,""
GOMF_IODIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,2,Down,1.6795325936945e-08,5.35334218914184e-05,""
GOMF_TOLL_LIKE_RECEPTOR_4_BINDING,3,Down,2.1995804877347e-08,5.84245237217132e-05,""
GOCC_CARDIAC_MYOFIBRIL,1,Down,5.70388988855424e-08,0.000129861275934127,""
GOBP_CHRONIC_INFLAMMATORY_RESPONSE,7,Down,6.51906781968564e-08,0.000129867979802913,""
GOBP_LEUKOTRIENE_SIGNALING_PATHWAY,2,Up,2.85125395016376e-07,0.000504893713375109,""
GOBP_REGULATION_OF_LIPOPHAGY,5,Down,4.2069516046077e-07,0.000648808565176818,""
GOMF_OXALATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,2,Down,4.47819176566794e-07,0.000648808565176818,""
GOBP_NEGATIVE_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION,3,Down,1.12819133592882e-06,0.00145750020309317,ARHGDIB
GOBP_ANTIFUNGAL_HUMORAL_RESPONSE,3,Up,1.1949739651266e-06,0.00145750020309317,""
GOBP_IODIDE_TRANSPORT,4,Down,1.34462302766132e-06,0.00145750020309317,""
GOBP_THYMOCYTE_MIGRATION,1,Down,1.37180793414052e-06,0.00145750020309317,""
GOMF_SECONDARY_ACTIVE_SULFATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,5,Down,1.95975593170834e-06,0.00195203939272724,""
HP_EXTRAMEDULLARY_HEMATOPOIESIS,10,Down,3.41533149152511e-06,0.00320177282237857,""
GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY,13,Down,4.0366375454299e-06,0.00357399403119536,ARHGDIB
GOMF_INOSITOL_1_4_5_TRISPHOSPHATE_5_PHOSPHATASE_ACTIVITY,4,Down,7.64852468169386e-06,0.00550596988064839,""
GOCC_GABA_RECEPTOR_COMPLEX,3,Down,8.26038016929536e-06,0.00550596988064839,""
GOMF_GABA_A_RECEPTOR_ACTIVITY,3,Down,8.26038016929536e-06,0.00550596988064839,""
GOMF_GABA_RECEPTOR_ACTIVITY,3,Down,8.26038016929536e-06,0.00550596988064839,""
GOBP_GAMMA_AMINOBUTYRIC_ACID_SIGNALING_PATHWAY,7,Down,8.59153843653649e-06,0.00550596988064839,""
GOMF_L_LEUCINE_BINDING,6,Down,8.96348348751506e-06,0.00550596988064839,""
GOBP_INDOLALKYLAMINE_METABOLIC_PROCESS,5,Down,9.12397322629093e-06,0.00550596988064839,""
GOBP_TRYPTOPHAN_METABOLIC_PROCESS,5,Down,9.12397322629093e-06,0.00550596988064839,""
GOBP_REGULATION_OF_FIBRINOLYSIS,4,Up,9.99117364421792e-06,0.00550596988064839,""
HP_ABNORMAL_AMPLITUDE_OF_DARK_ADAPTED_BRIGHT_FLASH_ELECTRORETINOGRAM,2,Down,1.00190203011108e-05,0.00550596988064839,""
HP_REDUCED_AMPLITUDE_OF_DARK_ADAPTED_BRIGHT_FLASH_ELECTRORETINOGRAM_A_WAVE,2,Down,1.00190203011108e-05,0.00550596988064839,""
GOMF_BENZODIAZEPINE_RECEPTOR_ACTIVITY,2,Down,1.32917408591048e-05,0.00678723695943862,""
GOBP_AMMONIUM_HOMEOSTASIS,1,Down,1.40540139086073e-05,0.00678723695943862,""
GOCC_ANKYRIN_1_COMPLEX,1,Down,1.40540139086073e-05,0.00678723695943862,""
HP_SPHEROCYTOSIS,1,Down,1.40540139086073e-05,0.00678723695943862,""
GOCC_PHAGOCYTIC_VESICLE_LUMEN,2,Up,1.63241424519306e-05,0.00765170171342406,""
GOBP_BONE_MINERALIZATION_INVOLVED_IN_BONE_MATURATION,2,Up,1.79796186118819e-05,0.0081868909090732,""
GOBP_NEGATIVE_REGULATION_OF_OSTEOCLAST_DEVELOPMENT,2,Up,1.99982209042767e-05,0.00865592877987513,""
GOMF_ICOSANOID_BINDING,4,Down,2.00959631583974e-05,0.00865592877987513,""
HP_ABNORMAL_CIRCULATING_THYROGLOBULIN_CONCENTRATION,6,Down,2.82936833382137e-05,0.0115941827124837,""
GOCC_SEPTIN_CYTOSKELETON,11,Up,2.83725372270103e-05,0.0115941827124837,""
GOBP_SULFATE_TRANSPORT,7,Down,3.58425294853196e-05,0.0139322534733546,""
GOMF_SULFATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,7,Down,3.58425294853196e-05,0.0139322534733546,""
GOBP_PHENYLPROPANOID_METABOLIC_PROCESS,2,Up,3.68208461284824e-05,0.0139717577321339,""
GOBP_NEURONAL_ACTION_POTENTIAL_PROPAGATION,2,Down,4.10163873288832e-05,0.0152018177874514,""
HP_INCOMPLETE_PARTITION_OF_THE_COCHLEA_TYPE_II,4,Down,5.25669674452563e-05,0.0190399945494329,""
GOBP_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,7,Down,5.39477242927772e-05,0.0191058862678665,""
GOCC_PI_BODY,1,Down,5.99608230535369e-05,0.0207738181957439,""
GOBP_RESPONSE_TO_CADMIUM_ION,40,Up,7.10256394115172e-05,0.0239127572421466,""
GOBP_MUCOSA_ASSOCIATED_LYMPHOID_TISSUE_DEVELOPMENT,2,Down,7.20218577914939e-05,0.0239127572421466,""
GOMF_NEUROLIGIN_FAMILY_PROTEIN_BINDING,3,Down,8.02514031573232e-05,0.0257290098202707,""
GOBP_CELLULAR_RESPONSE_TO_CADMIUM_ION,24,Up,8.07209946046017e-05,0.0257290098202707,""
