Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOMF_ANTIGEN_BINDING,31,Down,2.47764326570356e-20,3.94862007255176e-16,LAG3
GOCC_MHC_PROTEIN_COMPLEX,19,Down,1.65197104339257e-17,1.31637312592737e-13,""
GOMF_PEPTIDE_ANTIGEN_BINDING,24,Down,2.8559849779735e-17,1.51719441979879e-13,""
GOBP_REGULATION_OF_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS,2,Up,1.20845299610817e-16,4.81477884974398e-13,SNCA
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,12,Down,2.01312892867558e-14,6.41664714726054e-11,""
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,11,Down,5.35875573853537e-14,1.24945502713034e-10,""
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,43,Down,5.48797464385541e-14,1.24945502713034e-10,"OAS3,BST2,ISG15"
GOMF_MHC_CLASS_II_RECEPTOR_ACTIVITY,6,Down,7.89235784688632e-13,1.57225633757284e-09,""
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX,16,Down,2.09217078893386e-12,3.65291673249648e-09,""
GOBP_NOREPINEPHRINE_UPTAKE,2,Up,2.29209809405564e-12,3.65291673249648e-09,SNCA
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,68,Down,2.06106265206738e-10,2.98610504418162e-07,"OAS3,BST2,ISG15"
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,60,Down,2.58098447132125e-10,3.4277624599539e-07,"OAS3,ISG15"
GOBP_ADHESION_OF_SYMBIONT_TO_HOST,8,Down,1.1502346062847e-09,1.39528377177772e-06,""
GOBP_REGULATION_OF_BONE_MINERALIZATION_INVOLVED_IN_BONE_MATURATION,1,Down,1.22569949205547e-09,1.39528377177772e-06,""
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,68,Down,2.14810990172387e-09,2.19105897724302e-06,"OAS3,BST2,ISG15"
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING,28,Down,2.1997203762244e-09,2.19105897724302e-06,"IL23A,LAG3"
GOMF_TAP_BINDING,7,Down,3.72259848213851e-09,3.4898265888142e-06,""
GOBP_INTERFERON_MEDIATED_SIGNALING_PATHWAY,66,Down,4.44247733270717e-09,3.93332006951967e-06,"OAS3,ISG15"
GOBP_REGULATION_OF_ACYL_COA_BIOSYNTHETIC_PROCESS,4,Up,4.93528540080273e-09,4.13966544382069e-06,SNCA
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,28,Down,7.07943279700762e-09,5.64124602429553e-06,""
GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION,3,Down,7.50463194199724e-09,5.69530091712429e-06,LAG3
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,19,Down,8.09536803064142e-09,5.86435819565147e-06,IL23A
HP_DECREASED_CIRCULATING_PREALBUMIN_CONCENTRATION,3,Down,9.0005419219571e-09,6.07779575270994e-06,""
GOBP_REGULATION_OF_CELL_KILLING,43,Down,9.32732185554819e-09,6.07779575270994e-06,"IL23A,LAG3"
GOBP_RESPONSE_TO_IRON_II_ION,5,Up,9.53409636805851e-09,6.07779575270994e-06,SNCA
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,21,Down,1.00522131109706e-08,6.16162001344377e-06,""
GOBP_SEROTONIN_UPTAKE,3,Up,1.05661469967598e-08,6.2367660995319e-06,SNCA
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY,22,Down,2.10237982007294e-08,1.19662954258937e-05,IL23A
GOMF_MHC_PROTEIN_COMPLEX_BINDING,23,Down,2.63870509879784e-08,1.4501049365359e-05,""
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN,18,Down,5.16683254288231e-08,2.67215178638648e-05,""
GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE,28,Down,5.19776026717581e-08,2.67215178638648e-05,""
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,20,Down,5.66209057988673e-08,2.81989804911421e-05,""
GOBP_RESPONSE_TO_COPPER_ION,21,Up,6.17974501956085e-08,2.9844423144467e-05,"MT1X,SNCA,TFRC"
GOBP_RESPONSE_TO_INTERFERON_ALPHA,15,Down,6.45714563537928e-08,3.02669205855999e-05,BST2
HP_GRANULOMATOSIS,6,Down,6.76171693490272e-08,3.07889950832985e-05,NCF1
HP_RECURRENT_ASPERGILLUS_INFECTIONS,12,Down,6.99242718201531e-08,3.0955086666605e-05,"NCF1,CEACAM6"
GOBP_REGULATION_OF_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION,3,Up,7.19133894066425e-08,3.09752347830719e-05,SNCA
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,45,Down,7.86544470941273e-08,3.29872611405028e-05,""
HP_DISCOID_LUPUS_RASH,18,Down,8.81456961041021e-08,3.60199476618224e-05,NCF1
GOMF_C_X_C_CHEMOKINE_RECEPTOR_ACTIVITY,1,Up,1.11037860671136e-07,4.42402596378975e-05,""
GOBP_REGULATION_OF_DOPAMINE_SECRETION,4,Up,1.16454511542365e-07,4.52667207426993e-05,SNCA
HP_REDUCED_BLOOD_FOLATE_CONCENTRATION,5,Down,1.33487792610246e-07,5.06522607340354e-05,""
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,81,Down,1.4242591824823e-07,5.27870199795825e-05,"OAS3,ISG15"
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,32,Down,1.6305889860338e-07,5.90606742509562e-05,""
GOBP_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT,6,Up,2.36441355225987e-07,8.30737190584371e-05,SNCA
GOBP_RESPONSE_TO_STILBENOID,2,Down,2.39781080296675e-07,8.30737190584371e-05,""
GOBP_INTERLEUKIN_27_MEDIATED_SIGNALING_PATHWAY,6,Down,2.52049414717771e-07,8.54662026033431e-05,""
HP_SPONTANEOUS_PAIN_SENSATION,2,Up,2.71388947087816e-07,9.01067843695525e-05,""
