Set,NGenes,Direction,PValue,FDR,DEG.GENES
GOMF_VOLTAGE_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,1,Up,2.688643279214e-08,0.000428838603034633,KCNA1
GOMF_C_X_C_CHEMOKINE_RECEPTOR_ACTIVITY,1,Down,8.00307820994071e-07,0.00638245487242771,ACKR3
GOCC_MHC_PROTEIN_COMPLEX,19,Down,1.30592798909001e-05,0.0694318380866189,""
GOCC_CALYX_OF_HELD,6,Up,2.35148366722132e-05,0.0937654112304502,KCNA1
GOBP_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,3,Up,3.39394855120052e-05,0.108266958783297,KCNA1
GOMF_ANTIGEN_BINDING,32,Down,4.94888277099323e-05,0.125496555779833,""
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,46,Down,6.19847452333242e-05,0.125496555779833,""
GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND,13,Down,6.37085628177208e-05,0.125496555779833,""
GOCC_LUMENAL_SIDE_OF_MEMBRANE,37,Down,7.08131035748273e-05,0.125496555779833,""
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,29,Down,9.74994085841496e-05,0.14333289711627,""
GOBP_DETOXIFICATION_OF_COPPER_ION,9,Down,0.000103538594681473,0.14333289711627,""
GOMF_PEPTIDE_ANTIGEN_BINDING,25,Down,0.000107836662407225,0.14333289711627,""
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,33,Down,0.00012596681584767,0.152069040803672,""
GOBP_NEURONAL_SIGNAL_TRANSDUCTION,4,Up,0.000133477527978145,0.152069040803672,KCNA1
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,12,Down,0.000170444720994541,0.181239553324195,""
HP_INTRAMUSCULAR_HEMATOMA,2,Down,0.000251468411731035,0.237575575431162,""
GOBP_POSITIVE_REGULATION_OF_VASCULAR_WOUND_HEALING,1,Down,0.00025321534685453,0.237575575431162,""
HP_JOINT_HEMORRHAGE,5,Down,0.000290426776067567,0.257350393237649,""
GOMF_OXYGEN_CARRIER_ACTIVITY,4,Up,0.000327318717389318,0.26770007571774,CYGB
GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_CLASS_II_PROTEIN_COMPLEX,11,Down,0.000335674076135098,0.26770007571774,""
