Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_ESTROGEN_RESPONSE_LATE,123,Up,0.0147364063855091,0.390195543609056,""
HALLMARK_TNFA_SIGNALING_VIA_NFKB,145,Up,0.0238311664312961,0.390195543609056,""
HALLMARK_MYC_TARGETS_V1,188,Up,0.0371577950660507,0.390195543609056,""
HALLMARK_HYPOXIA,138,Up,0.0385238041981208,0.390195543609056,""
HALLMARK_TGF_BETA_SIGNALING,44,Up,0.0416955574371413,0.390195543609056,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,137,Up,0.0469795477453779,0.390195543609056,""
HALLMARK_DNA_REPAIR,138,Up,0.061946942155574,0.390195543609056,""
HALLMARK_E2F_TARGETS,152,Up,0.0624312869774489,0.390195543609056,""
HALLMARK_APICAL_SURFACE,21,Up,0.0898076091255533,0.49893116180863,""
HALLMARK_G2M_CHECKPOINT,140,Up,0.124115310499199,0.595639740991384,""
HALLMARK_MTORC1_SIGNALING,173,Up,0.154128516592148,0.595639740991384,""
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,Up,0.161700754780271,0.595639740991384,""
HALLMARK_UV_RESPONSE_UP,117,Up,0.177707518134785,0.595639740991384,""
HALLMARK_ADIPOGENESIS,166,Up,0.18098527822076,0.595639740991384,SPARCL1
HALLMARK_NOTCH_SIGNALING,24,Up,0.18707261014337,0.595639740991384,""
HALLMARK_KRAS_SIGNALING_DN,68,Down,0.190604717117243,0.595639740991384,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,103,Up,0.208729417908788,0.613910052672905,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,45,Up,0.226119240568519,0.621762543226273,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,86,Up,0.236269766425984,0.621762543226273,""
HALLMARK_CHOLESTEROL_HOMEOSTASIS,62,Up,0.29804205441936,0.684263490329051,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,84,Up,0.306866612547934,0.684263490329051,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,86,Down,0.308756977360135,0.684263490329051,""
HALLMARK_COAGULATION,59,Up,0.314761205551364,0.684263490329051,""
HALLMARK_P53_PATHWAY,164,Up,0.358322518415021,0.74650524669796,""
HALLMARK_ALLOGRAFT_REJECTION,91,Down,0.374014467357325,0.74802893471465,""
HALLMARK_INFLAMMATORY_RESPONSE,96,Down,0.437396580707671,0.779896641831165,""
HALLMARK_COMPLEMENT,120,Down,0.441488773715376,0.779896641831165,""
HALLMARK_HEDGEHOG_SIGNALING,19,Up,0.455022187560098,0.779896641831165,""
HALLMARK_PANCREAS_BETA_CELLS,13,Down,0.460791922678782,0.779896641831165,""
HALLMARK_PROTEIN_SECRETION,94,Up,0.488295953166521,0.779896641831165,""
HALLMARK_UV_RESPONSE_DN,111,Up,0.524015669505322,0.779896641831165,""
HALLMARK_APICAL_JUNCTION,115,Up,0.52721990557475,0.779896641831165,""
HALLMARK_MITOTIC_SPINDLE,162,Up,0.527548385541502,0.779896641831165,""
HALLMARK_IL6_JAK_STAT3_SIGNALING,44,Down,0.530329716445193,0.779896641831165,""
HALLMARK_KRAS_SIGNALING_UP,88,Down,0.601504559455034,0.856580846417573,SPARCL1
HALLMARK_BILE_ACID_METABOLISM,77,Up,0.616738209420653,0.856580846417573,EFHC1
HALLMARK_MYC_TARGETS_V2,52,Down,0.658485394980333,0.86575265502585,""
HALLMARK_PEROXISOME,85,Up,0.681628645792019,0.86575265502585,""
HALLMARK_GLYCOLYSIS,154,Up,0.706325071398132,0.86575265502585,""
HALLMARK_MYOGENESIS,96,Down,0.709948797611253,0.86575265502585,IGFBP7
HALLMARK_FATTY_ACID_METABOLISM,125,Up,0.729336502095558,0.86575265502585,""
HALLMARK_SPERMATOGENESIS,64,Down,0.762764116177882,0.86575265502585,""
HALLMARK_XENOBIOTIC_METABOLISM,125,Up,0.767227697505245,0.86575265502585,FMO3
HALLMARK_WNT_BETA_CATENIN_SIGNALING,33,Up,0.768502314156709,0.86575265502585,""
HALLMARK_INTERFERON_GAMMA_RESPONSE,154,Down,0.779177389523265,0.86575265502585,""
HALLMARK_ANDROGEN_RESPONSE,88,Up,0.847357661247679,0.883161564124825,""
HALLMARK_HEME_METABOLISM,146,Up,0.848767040493814,0.883161564124825,""
HALLMARK_APOPTOSIS,115,Up,0.850753957084657,0.883161564124825,""
HALLMARK_ANGIOGENESIS,16,Down,0.865498332842328,0.883161564124825,""
HALLMARK_IL2_STAT5_SIGNALING,116,Down,0.925736306678316,0.925736306678316,""
