Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_INTERFERON_GAMMA_RESPONSE,154,Down,8.64931948442288e-26,4.32465974221144e-24,"OAS3,BST2,IFI44L,ISG15"
HALLMARK_INTERFERON_ALPHA_RESPONSE,86,Down,7.62644812579569e-22,1.90661203144892e-20,"BST2,IFI44L,ISG15"
HALLMARK_TNFA_SIGNALING_VIA_NFKB,145,Down,6.76321031094502e-11,1.12720171849084e-09,"IL23A,SERPINB2,F3"
HALLMARK_IL6_JAK_STAT3_SIGNALING,44,Down,2.57981999931117e-05,0.000322477499913896,""
HALLMARK_ALLOGRAFT_REJECTION,91,Down,0.000119889025697013,0.00119889025697013,""
HALLMARK_COMPLEMENT,120,Down,0.000337363953045636,0.0028113662753803,"SERPINB2,F3"
HALLMARK_INFLAMMATORY_RESPONSE,96,Down,0.00116002994679266,0.00828592819137615,"F3,BST2"
HALLMARK_MYC_TARGETS_V2,52,Down,0.00383084880478993,0.023942805029937,""
HALLMARK_ESTROGEN_RESPONSE_LATE,123,Down,0.020201649362533,0.112231385347405,""
HALLMARK_IL2_STAT5_SIGNALING,116,Down,0.0312020754118526,0.146190258595889,EMP1
HALLMARK_KRAS_SIGNALING_DN,68,Down,0.0330689075567613,0.146190258595889,"SERPINB2,IFI44L"
HALLMARK_COAGULATION,59,Down,0.0350856620630134,0.146190258595889,"SERPINB2,F3"
HALLMARK_HYPOXIA,138,Down,0.0612959584125128,0.235753686201972,F3
HALLMARK_P53_PATHWAY,164,Down,0.0708860912055437,0.248769607586394,CLCA2
HALLMARK_GLYCOLYSIS,154,Down,0.0746308822759183,0.248769607586394,""
HALLMARK_ESTROGEN_RESPONSE_EARLY,137,Down,0.0867794008732375,0.271185627728867,""
HALLMARK_UV_RESPONSE_UP,117,Down,0.097646151516,0.279530049630931,TFRC
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,86,Down,0.100630817867135,0.279530049630931,""
HALLMARK_APOPTOSIS,115,Down,0.108498053781539,0.285521194161945,EMP1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,62,Up,0.15712054520139,0.392801363003475,""
HALLMARK_PANCREAS_BETA_CELLS,13,Down,0.228012327466727,0.533766178162007,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,103,Down,0.240593828074492,0.533766178162007,""
HALLMARK_KRAS_SIGNALING_UP,88,Down,0.245532441954523,0.533766178162007,EMP1
HALLMARK_BILE_ACID_METABOLISM,77,Up,0.276255034024098,0.552546695983912,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,84,Down,0.276273347991956,0.552546695983912,""
HALLMARK_ANDROGEN_RESPONSE,88,Down,0.2970323225553,0.571216004914038,""
HALLMARK_ANGIOGENESIS,16,Up,0.386648695124926,0.695420557261301,""
HALLMARK_ADIPOGENESIS,166,Down,0.389435512066328,0.695420557261301,""
HALLMARK_G2M_CHECKPOINT,140,Down,0.411622705857903,0.70969432044466,""
HALLMARK_NOTCH_SIGNALING,24,Up,0.445448411356625,0.718335085534796,""
HALLMARK_MYC_TARGETS_V1,188,Down,0.451964930678125,0.718335085534796,""
HALLMARK_TGF_BETA_SIGNALING,44,Down,0.464481937707795,0.718335085534796,""
HALLMARK_MTORC1_SIGNALING,173,Down,0.474101156452965,0.718335085534796,TFRC
HALLMARK_WNT_BETA_CATENIN_SIGNALING,33,Up,0.51449742649783,0.756613862496809,""
HALLMARK_UV_RESPONSE_DN,111,Up,0.543429663290927,0.77632809041561,F3
HALLMARK_APICAL_JUNCTION,115,Down,0.56817287440917,0.789128992234959,""
HALLMARK_MITOTIC_SPINDLE,162,Down,0.678200309619156,0.85889453693095,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,45,Down,0.678344912743757,0.85889453693095,""
HALLMARK_DNA_REPAIR,138,Up,0.686470701675203,0.85889453693095,""
HALLMARK_XENOBIOTIC_METABOLISM,125,Down,0.68711562954476,0.85889453693095,""
HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,Up,0.735148006422828,0.876797576317474,""
HALLMARK_SPERMATOGENESIS,64,Up,0.736509964106678,0.876797576317474,""
HALLMARK_PROTEIN_SECRETION,94,Up,0.760133732993565,0.883876433713447,""
HALLMARK_HEME_METABOLISM,146,Up,0.807436150452638,0.917541080059816,"SNCA,TFRC"
HALLMARK_E2F_TARGETS,152,Down,0.829002353900031,0.92010577857296,TFRC
HALLMARK_PEROXISOME,85,Up,0.846497316287123,0.92010577857296,""
HALLMARK_APICAL_SURFACE,21,Down,0.884123099885052,0.940556489239417,""
HALLMARK_MYOGENESIS,96,Up,0.932407195891572,0.971257495720387,""
HALLMARK_FATTY_ACID_METABOLISM,125,Down,0.982921440866143,0.98563397517271,""
HALLMARK_HEDGEHOG_SIGNALING,19,Up,0.98563397517271,0.98563397517271,""
