Set,NGenes,Direction,PValue,FDR,DEG.GENES
HALLMARK_TNFA_SIGNALING_VIA_NFKB,145,Up,0.0105127243692177,0.365771495423364,ACKR3
HALLMARK_IL6_JAK_STAT3_SIGNALING,45,Up,0.0146308598169346,0.365771495423364,""
HALLMARK_APICAL_JUNCTION,117,Up,0.0355483766852638,0.45668509387732,""
HALLMARK_ESTROGEN_RESPONSE_LATE,126,Up,0.0365348075101856,0.45668509387732,""
HALLMARK_CHOLESTEROL_HOMEOSTASIS,62,Up,0.0801495227176045,0.644008216555714,""
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,Down,0.0802583040650357,0.644008216555714,""
HALLMARK_APOPTOSIS,120,Up,0.101242515588282,0.644008216555714,""
HALLMARK_COAGULATION,61,Up,0.103041314648914,0.644008216555714,""
HALLMARK_HEME_METABOLISM,148,Down,0.171890876541742,0.740885106845813,BPGM
HALLMARK_FATTY_ACID_METABOLISM,129,Down,0.228147767060018,0.740885106845813,""
HALLMARK_UV_RESPONSE_UP,117,Up,0.230057198673559,0.740885106845813,""
HALLMARK_INTERFERON_GAMMA_RESPONSE,157,Down,0.235127642361351,0.740885106845813,BPGM
HALLMARK_ESTROGEN_RESPONSE_EARLY,140,Up,0.235552197309024,0.740885106845813,""
HALLMARK_INTERFERON_ALPHA_RESPONSE,87,Down,0.247618075241059,0.740885106845813,""
HALLMARK_ADIPOGENESIS,167,Down,0.276770263216599,0.740885106845813,""
HALLMARK_E2F_TARGETS,154,Up,0.277359386655933,0.740885106845813,""
HALLMARK_INFLAMMATORY_RESPONSE,98,Up,0.289682250450576,0.740885106845813,""
HALLMARK_MYC_TARGETS_V2,52,Up,0.290953876551072,0.740885106845813,""
HALLMARK_KRAS_SIGNALING_UP,93,Down,0.298539055646291,0.740885106845813,BPGM
HALLMARK_TGF_BETA_SIGNALING,45,Up,0.306608409778025,0.740885106845813,""
HALLMARK_GLYCOLYSIS,156,Down,0.311171744875241,0.740885106845813,""
HALLMARK_XENOBIOTIC_METABOLISM,126,Down,0.334803111496172,0.753514080591007,""
HALLMARK_PANCREAS_BETA_CELLS,14,Down,0.404057512880089,0.753514080591007,""
HALLMARK_ANGIOGENESIS,18,Up,0.40519106498735,0.753514080591007,""
HALLMARK_WNT_BETA_CATENIN_SIGNALING,35,Down,0.406733199323458,0.753514080591007,""
HALLMARK_PEROXISOME,86,Down,0.406843793046493,0.753514080591007,""
HALLMARK_UV_RESPONSE_DN,113,Up,0.406897603519144,0.753514080591007,""
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,45,Down,0.423414216954372,0.75609681598995,""
HALLMARK_MYOGENESIS,101,Up,0.467721874354888,0.793502245249876,""
HALLMARK_MITOTIC_SPINDLE,163,Up,0.502505784264436,0.793502245249876,""
HALLMARK_NOTCH_SIGNALING,28,Down,0.503061778609476,0.793502245249876,""
HALLMARK_APICAL_SURFACE,21,Up,0.507841436959921,0.793502245249876,""
HALLMARK_HEDGEHOG_SIGNALING,20,Up,0.562184832402016,0.836638974698578,""
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,103,Up,0.568914502795033,0.836638974698578,""
HALLMARK_COMPLEMENT,121,Up,0.599064627640342,0.855806610914774,""
HALLMARK_G2M_CHECKPOINT,143,Down,0.664123534094469,0.906256025811707,""
HALLMARK_HYPOXIA,139,Down,0.68474585048461,0.906256025811707,ACKR3
HALLMARK_SPERMATOGENESIS,64,Down,0.705719487895076,0.906256025811707,""
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,91,Up,0.706879700133132,0.906256025811707,""
HALLMARK_KRAS_SIGNALING_DN,72,Up,0.730712905700435,0.908125232876604,""
HALLMARK_PROTEIN_SECRETION,94,Down,0.744662690958815,0.908125232876604,""
HALLMARK_MTORC1_SIGNALING,175,Up,0.779094485669696,0.912819696927719,""
HALLMARK_MYC_TARGETS_V1,188,Down,0.785024939357838,0.912819696927719,""
HALLMARK_DNA_REPAIR,138,Down,0.824844731077127,0.929128858270536,""
HALLMARK_IL2_STAT5_SIGNALING,118,Up,0.848307782919027,0.929128858270536,""
HALLMARK_BILE_ACID_METABOLISM,77,Down,0.871222865584932,0.929128858270536,""
HALLMARK_ALLOGRAFT_REJECTION,94,Down,0.876118866836294,0.929128858270536,""
HALLMARK_ANDROGEN_RESPONSE,89,Down,0.891963703939715,0.929128858270536,""
HALLMARK_PI3K_AKT_MTOR_SIGNALING,84,Down,0.939401274041819,0.958572728614101,""
HALLMARK_P53_PATHWAY,171,Down,0.996780104452623,0.996780104452623,""
