Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Up,2.41921251561136e-06,0.00348432159900158,""
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,6,Down,4.10403015194532e-06,0.00348432159900158,""
REACTOME_METALLOTHIONEINS_BIND_METALS,7,Up,8.58667651751458e-06,0.00486005890891325,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Up,1.81863194377412e-05,0.00748193952503218,""
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,97,Up,2.38830491765475e-05,0.00748193952503218,""
REACTOME_SELENOAMINO_ACID_METABOLISM,101,Up,2.85490558900067e-05,0.00748193952503218,""
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,110,Up,3.08442736603211e-05,0.00748193952503218,""
REACTOME_IRAK4_DEFICIENCY_TLR2_4,7,Down,4.79162651360079e-05,0.0101702272751177,""
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,113,Up,9.66722394507287e-05,0.0180057900734653,""
REACTOME_RESPONSE_TO_METAL_IONS,9,Up,0.000106041166510396,0.0180057900734653,""
REACTOME_DEFECTIVE_F9_ACTIVATION,1,Down,0.000244387691776969,0.0319207923567149,""
REACTOME_DEFECTS_OF_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN,1,Down,0.000244387691776969,0.0319207923567149,""
REACTOME_ENHANCED_BINDING_OF_GP1BA_VARIANT_TO_VWF_MULTIMER_COLLAGEN,1,Down,0.000244387691776969,0.0319207923567149,""
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL,10,Down,0.000345791595212734,0.0419395806193731,""
REACTOME_SODIUM_COUPLED_SULPHATE_DI_AND_TRI_CARBOXYLATE_TRANSPORTERS,2,Down,0.000370837739694243,0.0419788321333883,""
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,49,Up,0.000410897592207865,0.0435087233430786,""
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,3,Down,0.000435599703670398,0.0435087233430786,""
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,36,Up,0.00049899223316831,0.0449743317081535,""
REACTOME_SARS_COV_1_HOST_INTERACTIONS,86,Up,0.000503246350091235,0.0449743317081535,""
REACTOME_TRYPTOPHAN_CATABOLISM,7,Down,0.00057297090124226,0.0486452295154679,""
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,59,Up,0.000752154407007858,0.060817056338064,""
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,145,Up,0.00111617094512341,0.0771920356471781,""
REACTOME_NCAM1_INTERACTIONS,12,Down,0.00111853664372063,0.0771920356471781,""
REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS,3,Down,0.00113026566656867,0.0771920356471781,""
REACTOME_INFLUENZA_INFECTION,153,Up,0.00113653561521488,0.0771920356471781,""
REACTOME_LGI_ADAM_INTERACTIONS,1,Down,0.00118197463299566,0.0771920356471781,""
REACTOME_CYP2E1_REACTIONS,5,Up,0.00166459893193104,0.104684777274774,""
REACTOME_TRANSLATION,269,Up,0.00207549051735525,0.1238665513711,""
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,158,Up,0.00215540186028934,0.1238665513711,""
REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY,9,Up,0.00218845497122084,0.1238665513711,""
REACTOME_SIGNALING_BY_MAPK_MUTANTS,5,Down,0.00278324824521757,0.152450178076756,""
REACTOME_SURFACTANT_METABOLISM,12,Up,0.00307730101386903,0.163289285048426,""
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG,5,Down,0.00434983221480748,0.223818639416458,""
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,28,Down,0.00527668575873695,0.263523894656922,""
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,34,Up,0.00642166427961298,0.311542455622367,""
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS,6,Down,0.00755823106693122,0.339117571633169,""
REACTOME_RUNX2_REGULATES_CHONDROCYTE_MATURATION,3,Down,0.00757657949338891,0.339117571633169,""
REACTOME_NEUROFASCIN_INTERACTIONS,2,Down,0.00758920360545372,0.339117571633169,""
REACTOME_NEUREXINS_AND_NEUROLIGINS,24,Down,0.0084321520087761,0.361090889544173,""
REACTOME_FLT3_SIGNALING_THROUGH_SRC_FAMILY_KINASES,3,Down,0.00863839725084974,0.361090889544173,""
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,63,Up,0.00871892018333986,0.361090889544173,""
REACTOME_RAP1_SIGNALLING,9,Down,0.0106730124976021,0.431494648117341,""
REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM,4,Up,0.0115799050466028,0.457271599282129,""
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,194,Up,0.0126261868017343,0.487256027030563,""
REACTOME_XENOBIOTICS,10,Up,0.0137693848081332,0.503200323584192,""
REACTOME_RRNA_PROCESSING,195,Up,0.0137772963229877,0.503200323584192,""
REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH,37,Up,0.0141859273421232,0.503200323584192,""
REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS,4,Up,0.0142247441295885,0.503200323584192,""
REACTOME_NGF_STIMULATED_TRANSCRIPTION,29,Up,0.015051203834662,0.521570287984817,""
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,4,Down,0.0169809362887685,0.530331856166046,""
