Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,59,Down,9.76927687968119e-23,1.65882321416987e-19,"OAS3,BST2,ISG15"
REACTOME_INTERFERON_GAMMA_SIGNALING,71,Down,1.36147837455902e-13,1.1558951400006e-10,OAS3
REACTOME_METAL_SEQUESTRATION_BY_ANTIMICROBIAL_PROTEINS,4,Down,1.3786733096884e-11,7.80329093283633e-09,""
REACTOME_PD_1_SIGNALING,11,Down,1.01117888834171e-07,3.72488469633698e-05,""
REACTOME_INTERFERON_SIGNALING,208,Down,1.09684472801442e-07,3.72488469633698e-05,"SNCA,OAS3,BST2,ISG15"
REACTOME_METALLOTHIONEINS_BIND_METALS,7,Up,4.47530275883503e-06,0.00126651068075031,MT1X
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,24,Down,6.66961198857271e-06,0.00161785730808521,""
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT,6,Down,8.82373600574983e-06,0.0018728379672204,SERPINB2
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,15,Down,2.33459753970547e-05,0.00422364382435732,""
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,84,Down,2.48742274697133e-05,0.00422364382435732,NCF1
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,9,Down,4.4503767894767e-05,0.00686976344411949,""
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING,15,Down,8.31116892417924e-05,0.0112184131181604,""
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,517,Down,8.5888910798637e-05,0.0112184131181604,"IL23A,SNCA,OAS3,SERPINB2,BST2,ISG15"
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES,17,Down,9.35785473720708e-05,0.0113497409598412,NCF1
REACTOME_RESPONSE_TO_METAL_IONS,9,Up,0.0001192364613278,0.0134975674223069,MT1X
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,5,Down,0.000138546093039808,0.0147032041238496,NCF1
REACTOME_FIBRONECTIN_MATRIX_FORMATION,3,Down,0.000153861382399124,0.0153680369008066,CEACAM6
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,53,Down,0.000202579730803899,0.0191100212725011,IL23A
REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING,12,Down,0.000254425458135445,0.0227376014691571,""
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,19,Down,0.00028117210822911,0.0229262491062503,""
REACTOME_OAS_ANTIVIRAL_RESPONSE,6,Down,0.000283540183292848,0.0229262491062503,OAS3
REACTOME_IRAK4_DEFICIENCY_TLR2_4,7,Down,0.000534026549630231,0.0412171400578242,""
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,20,Down,0.000650725488432321,0.0480405164938296,""
REACTOME_INTERLEUKIN_10_SIGNALING,16,Down,0.000730316658638008,0.0516699035986391,""
REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15,1,Up,0.000778303849050432,0.0528623974275053,""
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,45,Down,0.000811314354968818,0.0529850682591174,"IL23A,SERPINB2"
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,4,Down,0.000843516726925855,0.0530478297155593,""
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,28,Down,0.00121598411912678,0.0737407512241882,""
REACTOME_REGULATION_OF_IFNG_SIGNALING,13,Down,0.00128206076089687,0.0750668680000994,""
REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION,4,Down,0.00173190888663772,0.0942220438112189,""
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION,4,Down,0.00173190888663772,0.0942220438112189,""
REACTOME_ANTIMICROBIAL_PEPTIDES,18,Down,0.00177568044873911,0.0942220438112189,""
REACTOME_HDL_REMODELING,2,Up,0.00190315395468611,0.0976491052826466,""
REACTOME_LDL_REMODELING,2,Down,0.00201279074493088,0.0976491052826466,""
REACTOME_VLDL_ASSEMBLY,2,Down,0.00201279074493088,0.0976491052826466,""
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION,9,Up,0.00216744892330507,0.102231340882556,""
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,6,Down,0.00246636047623535,0.113185948341828,""
REACTOME_MATURATION_OF_SARS_COV_1_NUCLEOPROTEIN,11,Down,0.00328855535040761,0.146946499605056,""
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,11,Down,0.00389790685004726,0.166185330394099,""
REACTOME_INTERLEUKIN_23_SIGNALING,5,Down,0.00391484877253473,0.166185330394099,IL23A
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS,42,Down,0.0041230124646085,0.169487578537911,""
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,16,Down,0.00426403413859762,0.169487578537911,""
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION,1,Down,0.00429208826686111,0.169487578537911,""
REACTOME_INFECTION_WITH_MYCOBACTERIUM_TUBERCULOSIS,23,Down,0.00470493159906754,0.181567587618561,""
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,17,Down,0.00560707555705547,0.207296030184344,""
REACTOME_SIGNALING_BY_INTERLEUKINS,301,Down,0.00561579351500579,0.207296030184344,"IL23A,SERPINB2"
REACTOME_CYP2E1_REACTIONS,5,Up,0.0066337945284743,0.239663470411689,""
