Set,NGenes,Direction,PValue,FDR,DEG.GENES
REACTOME_RESPONSE_TO_METAL_IONS,9,Down,8.71703889622126e-05,0.113166334122988,""
REACTOME_METALLOTHIONEINS_BIND_METALS,7,Down,0.00013298041612572,0.113166334122988,""
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_LATE_STAGE_BRANCHING_MORPHOGENESIS_PANCREATIC_BUD_PRECURSOR_CELLS,12,Down,0.00104014398782601,0.443084673053843,""
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,9,Down,0.00104132708120762,0.443084673053843,""
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,87,Down,0.00191334196734339,0.454367313794354,""
REACTOME_G2_PHASE,2,Down,0.0023806286630639,0.454367313794354,""
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,49,Up,0.00274474590736552,0.454367313794354,""
REACTOME_RUNX3_REGULATES_NOTCH_SIGNALING,12,Down,0.00274637342549621,0.454367313794354,""
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B,3,Down,0.00277109527458779,0.454367313794354,""
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,30,Up,0.00277995012798369,0.454367313794354,""
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,15,Down,0.00293656900807162,0.454367313794354,""
REACTOME_ION_HOMEOSTASIS,26,Up,0.00369299493096421,0.502900847525378,""
REACTOME_BIOSYNTHESIS_OF_MARESINS,1,Down,0.00384119331247351,0.502900847525378,""
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET,2,Down,0.00444368158919026,0.540224718914416,""
REACTOME_NEUROFASCIN_INTERACTIONS,2,Up,0.0054280604613667,0.590167566342003,""
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,6,Up,0.0062023486021506,0.590167566342003,KCNA1
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,17,Down,0.00628413736160499,0.590167566342003,""
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,19,Up,0.00640081140426909,0.590167566342003,""
REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING,24,Up,0.00724374835333374,0.590167566342003,""
REACTOME_NOTCH3_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,17,Down,0.00772386472022421,0.590167566342003,""
REACTOME_OTHER_INTERLEUKIN_SIGNALING,16,Up,0.00828654418213563,0.590167566342003,""
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,85,Down,0.0083283622001598,0.590167566342003,""
REACTOME_RETINOID_CYCLE_DISEASE_EVENTS,4,Down,0.00855025850263105,0.590167566342003,""
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,145,Down,0.00863012306189762,0.590167566342003,""
REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS,9,Down,0.00866873628586961,0.590167566342003,""
REACTOME_TRANSLATION,270,Down,0.00927795467444847,0.607349186765819,""
REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM,8,Down,0.00983451988566106,0.609847494988919,""
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,90,Down,0.0100327437483488,0.609847494988919,""
REACTOME_ROLE_OF_ABL_IN_ROBO_SLIT_SIGNALING,8,Down,0.010611648952759,0.622794017848131,""
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,117,Down,0.0112031543221934,0.624050329989536,""
REACTOME_REGULATION_OF_CDH11_FUNCTION,5,Up,0.0113663691126179,0.624050329989536,""
REACTOME_IRAK4_DEFICIENCY_TLR2_4,7,Up,0.0125670105755173,0.666629288444011,""
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS,7,Down,0.0129252447230625,0.666629288444011,""
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,5,Up,0.0136721862152937,0.684413557012646,""
REACTOME_CS_DS_DEGRADATION,5,Down,0.0153070023636333,0.717284775513636,""
REACTOME_EGFR_INTERACTS_WITH_PHOSPHOLIPASE_C_GAMMA,4,Up,0.015611297831918,0.717284775513636,""
REACTOME_PD_1_SIGNALING,12,Down,0.0156921108883286,0.717284775513636,""
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,47,Down,0.01601458370712,0.717284775513636,""
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,20,Down,0.0173241505781642,0.731484524972314,""
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,5,Up,0.0175708871944688,0.731484524972314,""
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,58,Down,0.0177880420840495,0.731484524972314,""
REACTOME_REGULATION_OF_TBK1_IKK_IKBKE_MEDIATED_ACTIVATION_OF_IRF3_IRF7,10,Up,0.0180507344587763,0.731484524972314,""
REACTOME_ABC_TRANSPORTER_DISORDERS,66,Down,0.0189857440217238,0.749851198126593,""
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,6,Up,0.019385107354624,0.749851198126593,""
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2,10,Down,0.0202533431902778,0.757342791741678,""
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,195,Down,0.0209136581801383,0.757342791741678,""
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,48,Down,0.0209136963641944,0.757342791741678,""
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,10,Down,0.021618361171532,0.75848338502928,""
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS,8,Down,0.0218364781823941,0.75848338502928,""
REACTOME_CELL_CELL_COMMUNICATION,93,Up,0.0234566131230463,0.763856499073484,""
