Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_BLOOD_CLOTTING_CASCADE,6,Up,3.95154502928795e-06,0.00326002464916256,""
WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX,7,Down,1.35813898675749e-05,0.00560232332037464,""
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,87,Up,3.34367364197425e-05,0.00873526406545011,""
WP_TAMOXIFEN_METABOLISM,4,Up,4.2352795468849e-05,0.00873526406545011,FMO3
WP_IDO_METABOLIC_PATHWAY,5,Down,0.00106322567362756,0.146631718545653,""
WP_NICOTINE_METABOLISM_IN_LIVER_CELLS,3,Up,0.00106641249851384,0.146631718545653,FMO3
WP_NRXN1_DELETION_SYNDROME,3,Down,0.00137230023140365,0.16173538441543,""
WP_TRYPTOPHAN_CATABOLISM_LEADING_TO_NAD_PRODUCTION,9,Down,0.00258170287485389,0.264049824113455,""
WP_CATALYTIC_CYCLE_OF_MAMMALIAN_FLAVINCONTAINING_MONOOXYGENASES_FMOS,4,Up,0.00288054353578314,0.264049824113455,FMO3
WP_TRYPTOPHAN_METABOLISM,16,Down,0.00386432737190663,0.318807008182297,""
WP_FOXA2_PATHWAY,15,Down,0.00427347800691754,0.320510850518815,""
WP_NAD_BIOSYNTHESIS_II_FROM_TRYPTOPHAN,4,Down,0.00591301033316119,0.377027475458952,""
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,9,Down,0.00594103900723198,0.377027475458952,""
WP_PREIMPLANTATION_EMBRYO,26,Up,0.00660376625504321,0.389150511457903,""
WP_HFE_EFFECT_ON_HEPCIDIN_PRODUCTION,2,Up,0.00731137894393272,0.402125841916299,""
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,9,Down,0.00832939200990947,0.429484275510957,""
WP_KININKALLIKREIN_PATHWAY,4,Up,0.00938912515544547,0.451214522589499,""
WP_AFLATOXIN_B1_METABOLISM,3,Up,0.0098446804928618,0.451214522589499,""
WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_STAGE_3_OF_3,34,Up,0.0110271782322519,0.47881168640041,""
WP_CARDIAC_PROGENITOR_DIFFERENTIATION,8,Down,0.0118189532892287,0.487531823180683,""
WP_TRANSLATION_FACTORS,49,Up,0.0163390639633803,0.64189179856137,""
WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY,5,Down,0.018499951018091,0.670510317421065,""
WP_MIR517_RELATIONSHIP_WITH_ARCN1_AND_USP1,5,Up,0.0186930149099206,0.670510317421065,""
WP_TGFBETA_RECEPTOR_SIGNALING,32,Down,0.0197747849826098,0.679758233777211,""
WP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PATHWAY,25,Down,0.0254708979283682,0.816652406272723,""
WP_BARDETBIEDL_SYNDROME,68,Down,0.0257369243188979,0.816652406272723,EFHC1
WP_CILIOPATHIES,149,Down,0.0291557018478763,0.842684859391012,EFHC1
WP_OMEGA9_FATTY_ACID_SYNTHESIS,8,Up,0.0295853658713327,0.842684859391012,""
WP_MINERALOCORTICOID_BIOSYNTHESIS,5,Down,0.0296216496028356,0.842684859391012,""
WP_OMEGA3_OMEGA6_FATTY_ACID_SYNTHESIS,8,Up,0.0318137314998294,0.85971702744249,""
WP_SARSCOV2_ALTERING_ANGIOGENESIS_VIA_NRP1,2,Up,0.033183784630233,0.85971702744249,""
WP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_IN_COLORECTAL_CANCER,94,Up,0.0343701407362228,0.85971702744249,""
WP_DNA_REPLICATION,32,Up,0.0354318287397482,0.85971702744249,""
WP_TGFBETA_RECEPTOR_SIGNALING_IN_SKELETAL_DYSPLASIAS,33,Down,0.0380469216252651,0.85971702744249,""
WP_NANOPARTICLE_TRIGGERED_REGULATED_NECROSIS,10,Up,0.0393151167829885,0.85971702744249,""
WP_EICOSANOID_SYNTHESIS,10,Up,0.0401836436299236,0.85971702744249,""
WP_NEOVASCULARIZATION_PROCESSES,20,Up,0.0429210929439068,0.85971702744249,""
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,32,Up,0.0443279617571323,0.85971702744249,""
WP_MONOAMINE_GPCRS,2,Down,0.0460169667631924,0.85971702744249,""
WP_MAMMARY_GLAND_DEVELOPMENT_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4,8,Up,0.0473005196237469,0.85971702744249,""
WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY,9,Up,0.0481496797823556,0.85971702744249,""
WP_PHOTODYNAMIC_THERAPYINDUCED_AP1_SURVIVAL_SIGNALING,36,Up,0.0483623486581502,0.85971702744249,""
WP_CALORIC_RESTRICTION_AND_AGING,6,Up,0.0489969656570084,0.85971702744249,""
WP_UNFOLDED_PROTEIN_RESPONSE,23,Up,0.0518171683019051,0.85971702744249,""
WP_FATTY_ACID_TRANSPORTERS,8,Up,0.0518874464485828,0.85971702744249,""
WP_ZINC_HOMEOSTASIS,22,Up,0.0519396849956496,0.85971702744249,""
WP_BREAST_CANCER_PATHWAY,91,Up,0.0519605298890433,0.85971702744249,""
WP_QUERCETIN_AND_NFKB_AP1_INDUCED_APOPTOSIS,11,Up,0.0519799269778183,0.85971702744249,""
WP_CIRCADIAN_RHYTHM_GENES,116,Up,0.0531440218937179,0.85971702744249,""
WP_STEROID_HORMONE_PRECURSOR_BIOSYNTHESIS,3,Down,0.0540868414052749,0.85971702744249,""
