Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_TYPE_II_INTERFERON_SIGNALING,24,Down,8.51849797891106e-14,7.02776083260163e-11,ISG15
WP_ALLOGRAFT_REJECTION,35,Down,5.58035017026521e-12,2.3018944452344e-09,""
WP_IMMUNE_RESPONSE_TO_TUBERCULOSIS,23,Down,1.71830206245053e-10,4.72533067173895e-08,""
WP_CELL_INTERACTIONS_OF_THE_PANCREATIC_CANCER_MICROENVIRONMENT,7,Down,3.2457888475536e-10,6.69443949807929e-08,LAG3
WP_BLOOD_CLOTTING_CASCADE,6,Down,1.47255663375071e-07,2.42971844568867e-05,"SERPINB2,F3"
WP_IMMUNE_INFILTRATION_IN_PANCREATIC_CANCER,9,Down,1.42215079005924e-06,0.000195545733633146,IL23A
WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION,24,Down,2.16518297846542e-06,0.000255182279604853,OAS3
WP_MIRNA_ROLE_IN_IMMUNE_RESPONSE_IN_SEPSIS,25,Down,4.24271237758431e-06,0.000437529713938382,""
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_INTERFERON_INDUCTION,31,Down,1.58070110824685e-05,0.00144897601589294,OAS3
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,119,Down,1.81641140722469e-05,0.00149853941096037,"BST2,IFI44L"
WP_SULINDAC_METABOLIC_PATHWAY,3,Up,6.94788826506481e-05,0.0052109161987986,""
WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONAVIRUSES_MAPK_SIGNALING,33,Down,9.104254231677e-05,0.00553758543583195,BST2
WP_EBOLA_VIRUS_INFECTION_IN_HOST,96,Down,9.10561260016653e-05,0.00553758543583195,BST2
WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY,9,Down,9.39711467898755e-05,0.00553758543583195,""
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,19,Down,0.000115580127527768,0.00635690701402724,""
WP_NICOTINE_METABOLISM_IN_LIVER_CELLS,3,Up,0.000269909886813153,0.0138367933255001,""
WP_MEASLES_VIRUS_INFECTION,92,Down,0.00028512180185879,0.0138367933255001,OAS3
WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY,12,Down,0.00034726453942474,0.0159162913903006,""
WP_VITAMIN_D_RECEPTOR_PATHWAY,77,Down,0.000609592299193686,0.0264691393070942,""
WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING,31,Down,0.000809092809006105,0.0324127381274263,""
WP_T_CELL_MODULATION_IN_PANCREATIC_CANCER,14,Down,0.00082505151597085,0.0324127381274263,""
WP_EDA_SIGNALING_IN_HAIR_FOLLICLE_DEVELOPMENT,4,Down,0.00094787941462856,0.035545478048571,""
WP_IRON_METABOLISM_DISORDERS,11,Up,0.00109236375372433,0.0391826129053293,TFRC
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,21,Down,0.0011734047280037,0.0403357875251272,ISG15
WP_NONGENOMIC_ACTIONS_OF_125_DIHYDROXYVITAMIN_D3,52,Down,0.00130171074510176,0.0429564545883579,"IFI44L,ISG15"
WP_MACROPHAGESTIMULATING_PROTEIN_MSP_SIGNALING,72,Down,0.00140625397073578,0.0446215202252698,""
WP_IL18_SIGNALING,173,Down,0.0015162316917199,0.0463293016914415,NCF1
