Set,NGenes,Direction,PValue,FDR,DEG.GENES
WP_MINERALOCORTICOID_BIOSYNTHESIS,5,Down,0.000900732309378275,0.388485003769134,""
WP_BENZOAPYRENE_METABOLISM,5,Down,0.00167145146534186,0.388485003769134,""
WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS,10,Down,0.00251463647972034,0.388485003769134,""
WP_MICRORNA_FOR_TARGETING_CANCER_GROWTH_AND_VASCULARIZATION_IN_GLIOBLASTOMA,6,Down,0.00296141630717371,0.388485003769134,""
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,87,Down,0.00301626276305837,0.388485003769134,""
WP_AMINO_ACID_TRANSPORT_DEFECTS_IEMS,5,Up,0.00327965259316915,0.388485003769134,""
WP_GLUCOCORTICOID_BIOSYNTHESIS,6,Down,0.0034269565782485,0.388485003769134,""
WP_BIOTIN_METABOLISM_INCLUDING_IMDS,9,Down,0.00397960125208792,0.388485003769134,""
WP_REGUCALCIN_IN_PROXIMAL_TUBULE_EPITHELIAL_KIDNEY_CELLS,21,Up,0.00460173094401948,0.388485003769134,""
WP_DRUG_INDUCTION_OF_BILE_ACID_PATHWAY,6,Down,0.00481888404451721,0.388485003769134,""
WP_APOPTOSIS,69,Up,0.00595879410843275,0.388485003769134,""
WP_APOPTOSIS_MODULATION_AND_SIGNALING,72,Up,0.00614127158090456,0.388485003769134,""
WP_PTF1A_RELATED_REGULATORY_PATHWAY,5,Down,0.00657765493552108,0.388485003769134,""
WP_PROSURVIVAL_SIGNALING_OF_NEUROPROTECTIN_D1,14,Up,0.00692110344135949,0.388485003769134,""
WP_EICOSANOID_METABOLISM_VIA_CYTOCHROME_P450_MONOOXYGENASES_PATHWAY,4,Down,0.00705481241711503,0.388485003769134,""
WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,16,Up,0.00778502116716298,0.401901717754789,""
WP_CATABOLISM_OF_SKELETAL_MUSCLE_IN_CACHEXIA,30,Up,0.00985121625888711,0.478653213520045,""
WP_GENE_REGULATORY_NETWORK_MODELING_SOMITOGENESIS,5,Down,0.010833287443031,0.497127523774643,""
WP_LEUCINE_ISOLEUCINE_AND_VALINE_METABOLISM,22,Down,0.0132503126908042,0.554526334838969,""
WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88,24,Up,0.0151141415629574,0.554526334838969,""
WP_ALLOGRAFT_REJECTION,36,Down,0.0151500182157128,0.554526334838969,""
WP_ZINC_HOMEOSTASIS,22,Down,0.0151766249746844,0.554526334838969,""
