gene,logFC,logCPM,LR,PValue,FDR
FMO3,6.13806998149714,4.30740425833855,27.1511901939028,1.88149332159038e-07,0.00213342527735133
DNER,-3.84695353575523,5.82566441927554,21.9239157559317,2.83676502603716e-06,0.0136979647710032
RIIAD1,-2.02231688548131,7.48620568758201,21.454038205799,3.62411979125227e-06,0.0136979647710032
EFHC1,-1.55349150874021,8.90540075084261,19.7776425365597,8.69943427412401e-06,0.024660721308573
ARHGDIB,-11.2045749510238,3.45717580074639,19.1626866686971,1.2003701471315e-05,0.0265425014926916
SPARCL1,5.43481786336738,3.86785943049035,18.86302340336,1.40448901098994e-05,0.0265425014926916
IGFBP7,-2.08523383931698,9.87944842602168,17.8474420196993,2.39340785706743e-05,0.0387697881304108
CYP2F1,2.8221205002852,6.70017956094141,15.8172647696039,6.97630321530608e-05,0.0942655663574893
ARHGAP45,-4.39087609404302,3.46187179073212,15.684863781157,7.48205394847344e-05,0.0942655663574893
NT5DC2,4.6216935545092,3.66076873033869,14.7855266674267,0.00012045647566002,0.134479318724434
TBCA,-1.18742985961522,9.07589700966648,14.3892822762423,0.000148645948455258,0.134479318724434
EFNA1,3.4907534026862,5.16570603268684,14.3291664550419,0.000153468604288516,0.134479318724434
FAM167A-AS1,-8.25296903930019,3.17260193947167,14.3204771447998,0.000154178599825174,0.134479318724434
RYR3,-5.36430384287387,5.65514780118919,13.8617795195712,0.000196759499858151,0.159361140635113
LDHD,5.01308755208322,3.49965825124105,13.6004750626879,0.000226128294561476,0.162629430254458
MGST1,1.45472235534909,7.53667937213219,13.5728576541499,0.000229479749896052,0.162629430254458
CAPN9,-7.61195932818855,4.47245839406306,13.109757741341,0.000293761672998956,0.195939035890304
SLC13A4,-5.9147110760918,4.09696872029169,12.469145596986,0.000413729289390665,0.235816682809068
CKMT1B,-5.10047145909671,3.76992620768928,12.4554440479184,0.000416775281618884,0.235816682809068
C16orf89,3.08876056313635,4.87024550042618,12.429385024993,0.000422631044718325,0.235816682809068
NSMF,7.92165981292383,3.47234113089351,12.3144897324621,0.000449455562258986,0.235816682809068
SCPEP1,-1.43207801295028,8.13214049012449,12.1615887033118,0.000487838062610915,0.235816682809068
MT1E,2.60295919524326,7.27993456514237,12.1491467098635,0.000491103281146223,0.235816682809068
CYP2A13,5.35210695537886,3.56524234700959,12.0599234759029,0.000515174067148834,0.235816682809068
UBD,-6.55214469280482,3.6403662711308,12.0428152005086,0.000519923897189055,0.235816682809068
HACD4,-1.78090519228189,7.35690908792255,11.9452819131989,0.000547859405729956,0.238929915445076
PRSS23,1.66332704585604,7.56069613838368,11.6816547652418,0.000631193701019029,0.25680363887041
EFCAB10,-1.54363825475029,7.81105291798052,11.6729934017634,0.000634138979484211,0.25680363887041
TTLL10,-1.56178691456041,7.67081789585693,11.3529664867359,0.000753275534886376,0.294530734140573
SPEF2,-1.46989129739441,8.31429626842157,11.0179730692528,0.000902326843240241,0.331556050920799
HLA-DRB5,-4.8341154679939,7.7000442548868,10.9390794920047,0.000941569372210846,0.331556050920799
SLC8B1,4.6851203529836,3.33297480884722,10.9129499292761,0.000954943365472524,0.331556050920799
PROM1,-1.77558720519053,8.55727604130786,10.874096050395,0.000975186141271779,0.331556050920799
NRSN2,-13.1005892920827,3.61839663867619,10.8283628862295,0.000999569793133935,0.331556050920799
VIM-AS1,-2.77861660790851,6.32663820926878,10.7708244786755,0.00103112567780709,0.331556050920799
XIST,4.16094350273682,6.45338555999616,10.710167223768,0.00106548398738275,0.331556050920799
NFASC,-5.08356503036587,4.54049016009499,10.6818945031819,0.00108189204374897,0.331556050920799
AVIL,-4.89494331066207,3.7056077557433,10.5524245630423,0.0011603577834679,0.346244655440592
SESN2,-11.1215574548814,3.54003116380988,10.4073767335028,0.00125512914990091,0.364055165264715
FGFBP1,3.12607645487298,4.43555125131925,10.3650151500066,0.0012842584540602,0.364055165264715
PDE6B,-4.80538549368031,4.73810833781817,10.244878036008,0.00137064646498719,0.37906732357292
AREG,3.87864044746378,4.69107939139395,10.1451161516551,0.00144684047324182,0.390612479192595
KLHL6,-1.79122918783648,6.50402751353642,10.016320564824,0.00155159125517612,0.406760764757098
PMEPA1,4.08893521101623,3.68889764823837,9.95250661807642,0.00160630534673249,0.406760764757098
IFT46,-1.98505354010236,6.43286261824825,9.9433986200647,0.0016142723709383,0.406760764757098
BCKDHA,4.84822116367512,4.07107989027865,9.86243760259828,0.00168687454606511,0.408729021302633
TMPRSS2,-2.40230033623644,6.16985732764429,9.72237797565835,0.00182037833539306,0.408729021302633
MT1F,2.48508774102785,5.24823417894098,9.71522553611739,0.0018274765185151,0.408729021302633
MT1M,6.24573486348635,3.02301384293387,9.67862468940191,0.00186424122871864,0.408729021302633
CEP85L,-8.78055900029882,3.62404116006456,9.63839639958272,0.00190551524327679,0.408729021302633
ZSCAN1,3.28734084736446,4.24333085336757,9.62716746136981,0.00191720058943108,0.408729021302633
PDZD2,-8.56376940051642,3.3798855572182,9.62365333925248,0.00192087244884789,0.408729021302633
USP53,-2.70830467222777,5.79003819819553,9.62146694823313,0.00192316057636631,0.408729021302633
