gene,logFC,logCPM,LR,PValue,FDR
MT1X,2.74964453880307,5.90892247277933,30.0847794849196,4.13564417303855e-08,0.000368819072765242
SLC22A16,-4.27149241187679,4.54215165977658,28.4183848752592,9.77327739869136e-08,0.000368819072765242
IL23A,-3.94267971755861,4.21880592011657,28.2028064171171,1.09246053547843e-07,0.000368819072765242
NCF1,-5.59204089212944,4.19579891891328,27.8646324245758,1.30106384254429e-07,0.000368819072765242
SCPEP1,1.45974239038746,8.13214049012449,26.0292291600021,3.36287325410013e-07,0.000762632396564829
CLCA2,4.74370773904705,4.0919268566681,23.1255494170235,1.51760713817356e-06,0.00277836804988946
SNCA,7.20550070050811,3.29543881750298,22.8902539172532,1.71519325771463e-06,0.00277836804988946
OAS3,-3.28853624870535,4.68752399314412,21.8531537716734,2.94332439854387e-06,0.00411250530719783
CSRNP1,-3.69285418786343,4.34170284574286,21.53613335842,3.47224246561823e-06,0.00411250530719783
SERPINB2,-7.07749700404926,4.82844564709064,21.4525848568595,3.62686771955007e-06,0.00411250530719783
TCIM,-2.85395188303444,4.83539788461933,19.6903473572022,9.10601660230223e-06,0.00938664747759136
F3,-1.8742047544041,7.39024578732061,17.9990495129327,2.21015296176711e-05,0.0208841036945644
LAG3,-5.24998550838649,3.70594964441851,17.6107214110657,2.71055902878946e-05,0.0221452566384798
TFRC,4.37909595473283,4.25192299257402,17.5941905619935,2.73422341422274e-05,0.0221452566384798
BST2,-3.07666739720771,6.78048849250736,17.1882740965195,3.38519440901694e-05,0.0247912865478798
IFI44L,-2.95368254371295,6.68408218117025,17.0820901594846,3.57983099813949e-05,0.0247912865478798
ISG15,-3.64330523059245,8.05693445354969,17.0107723311854,3.71683456489952e-05,0.0247912865478798
CEACAM6,-2.79824587885952,6.92694067392339,16.8933054925579,3.95407916434286e-05,0.0249085020247132
EMP1,-3.36473592505184,5.14017288923307,15.9851250161835,6.38421359224288e-05,0.0379274994355222
ZSCAN1,-3.94732384304034,4.24333085336757,15.8966383785581,6.68974326404837e-05,0.0379274994355222
DUSP5,-2.66665741276164,6.00315618667821,15.1121173334164,0.000101310904628029,0.0534985447940391
