Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_EMBRYO_IMPLANTATION,38,2,8.17582847214415e-05,1,"ARHGDIB,IGFBP7",2,7,0.285714285714286
GOMF_CALCIUM_ION_BINDING,432,3,0.000384980274974071,1,"DNER,EFHC1,SPARCL1",3,7,0.428571428571429
HP_EEG_WITH_GENERALIZED_POLYSPIKES,3,1,0.00110817932071938,1,EFHC1,1,7,0.142857142857143
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS,141,2,0.00112722108227828,1,"ARHGDIB,IGFBP7",2,7,0.285714285714286
GOBP_NEGATIVE_REGULATION_OF_TROPHOBLAST_CELL_MIGRATION,4,1,0.00147733843294962,1,ARHGDIB,1,7,0.142857142857143
GOMF_N_N_DIMETHYLANILINE_MONOOXYGENASE_ACTIVITY,4,1,0.00147733843294962,1,FMO3,1,7,0.142857142857143
GOBP_TAURINE_METABOLIC_PROCESS,5,1,0.00184638059931552,1,FMO3,1,7,0.142857142857143
HP_EXUDATIVE_RETINAL_DETACHMENT,5,1,0.00184638059931552,1,IGFBP7,1,7,0.142857142857143
GOBP_RESPONSE_TO_CORTISOL,6,1,0.00221530585069107,1,IGFBP7,1,7,0.142857142857143
HP_LOW_SELF_ESTEEM,7,1,0.00258411421794458,1,FMO3,1,7,0.142857142857143
GOCC_ENDOPLASMIC_RETICULUM_LUMEN,223,2,0.00278633121181843,1,"SPARCL1,IGFBP7",2,7,0.285714285714286
HP_MORNING_MYOCLONIC_JERKS,8,1,0.0029528057319369,1,EFHC1,1,7,0.142857142857143
HP_PHOTOSENSITIVE_TONIC_CLONIC_SEIZURE,8,1,0.0029528057319369,1,EFHC1,1,7,0.142857142857143
GOBP_NOTCH_RECEPTOR_PROCESSING,9,1,0.00332138042352348,1,DNER,1,7,0.142857142857143
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,249,2,0.00345963771417152,1,"SPARCL1,IGFBP7",2,7,0.285714285714286
HP_VISUALLY_INDUCED_SEIZURE,10,1,0.00368983832355152,1,EFHC1,1,7,0.142857142857143
HP_AGGRESSIVE_BEHAVIOR,258,2,0.00370886934050825,1,"FMO3,EFHC1",2,7,0.285714285714286
GOBP_TROPHOBLAST_CELL_MIGRATION,11,1,0.00405817946286369,1,ARHGDIB,1,7,0.142857142857143
GOBP_RESPONSE_TO_REDOX_STATE,12,1,0.0044264038722952,1,ARHGDIB,1,7,0.142857142857143
HP_REFLEX_SEIZURE,14,1,0.00516250262482287,1,EFHC1,1,7,0.142857142857143
GOBP_SYNAPTIC_MEMBRANE_ADHESION,15,1,0.00553037702955739,1,SPARCL1,1,7,0.142857142857143
GOMF_GDP_DISSOCIATION_INHIBITOR_ACTIVITY,15,1,0.00553037702955739,1,ARHGDIB,1,7,0.142857142857143
GOMF_INSULIN_LIKE_GROWTH_FACTOR_BINDING,15,1,0.00553037702955739,1,IGFBP7,1,7,0.142857142857143
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE,318,2,0.00557912947972755,1,"SPARCL1,IGFBP7",2,7,0.285714285714286
GOBP_SYNAPSE_ORGANIZATION,336,2,0.00620984317248084,1,"DNER,SPARCL1",2,7,0.285714285714286
GOCC_CELL_BODY,385,2,0.00808574694169509,1,"DNER,EFHC1",2,7,0.285714285714286
