Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_DEFENSE_RESPONSE,1389,10,4.06533508976937e-07,0.00653705882434915,"IL23A,NCF1,SNCA,OAS3,F3,LAG3,TFRC,BST2,IFI44L,ISG15",10,20,0.5
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS,870,8,1.47435951033076e-06,0.00874703847467115,"IL23A,NCF1,SNCA,OAS3,SERPINB2,F3,LAG3,ISG15",8,20,0.4
GOBP_RESPONSE_TO_COPPER_ION,26,3,2.57606751938004e-06,0.00874703847467115,"MT1X,SNCA,TFRC",3,20,0.15
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS,1295,9,2.67165115767399e-06,0.00874703847467115,"IL23A,NCF1,SNCA,OAS3,TCIM,LAG3,TFRC,BST2,ISG15",9,20,0.45
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,944,8,2.71985027197486e-06,0.00874703847467115,"IL23A,NCF1,SNCA,OAS3,LAG3,BST2,IFI44L,ISG15",8,20,0.4
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,1340,9,3.54719585947031e-06,0.00950648490338044,"IL23A,NCF1,SNCA,OAS3,LAG3,TFRC,BST2,IFI44L,ISG15",9,20,0.45
GOBP_DEFENSE_RESPONSE_TO_VIRUS,263,5,6.49021542460844e-06,0.0146298797513856,"IL23A,OAS3,BST2,IFI44L,ISG15",5,20,0.25
GOBP_RESPONSE_TO_CYTOKINE,750,7,7.31533413002458e-06,0.0146298797513856,"MT1X,SNCA,OAS3,F3,TFRC,BST2,ISG15",7,20,0.35
GOBP_INNATE_IMMUNE_RESPONSE,763,7,8.18836553249192e-06,0.0146298797513856,"IL23A,NCF1,SNCA,OAS3,LAG3,BST2,ISG15",7,20,0.35
GOBP_IMMUNE_EFFECTOR_PROCESS,535,6,1.36431927891548e-05,0.0206101780198666,"IL23A,NCF1,TCIM,LAG3,TFRC,BST2",6,20,0.3
GOBP_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,46,3,1.48390944594951e-05,0.0206101780198666,"SNCA,CSRNP1,F3",3,20,0.15
GOBP_REGULATION_OF_RESPONSE_TO_STRESS,1193,8,1.53807298655721e-05,0.0206101780198666,"IL23A,NCF1,SNCA,OAS3,SERPINB2,F3,LAG3,ISG15",8,20,0.4
GOCC_SIDE_OF_MEMBRANE,557,6,1.71492594358436e-05,0.0212123147483358,"NCF1,F3,LAG3,TFRC,BST2,CEACAM6",6,20,0.3
GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS,330,5,1.94572347743626e-05,0.02174970717242,"IL23A,NCF1,LAG3,TFRC,BST2",5,20,0.25
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,51,3,2.02889059444216e-05,0.02174970717242,"OAS3,BST2,ISG15",3,20,0.15
GOBP_RESPONSE_TO_VIRUS,349,5,2.54604658067581e-05,0.0255877681357919,"IL23A,OAS3,BST2,IFI44L,ISG15",5,20,0.25
GOBP_CYTOKINE_PRODUCTION,656,6,4.31046869622211e-05,0.0407719627266185,"IL23A,OAS3,F3,LAG3,BST2,ISG15",6,20,0.3
GOBP_REGULATION_OF_DEFENSE_RESPONSE,678,6,5.18342108865495e-05,0.0463052283919842,"IL23A,NCF1,SNCA,OAS3,LAG3,ISG15",6,20,0.3
