Set,N,DE,P.DE,FDR,DEG.GENES,k,n,GR
GOBP_OXYGEN_TRANSPORT,5,2,5.57149794795967e-07,0.00895896870031914,"CYGB,BPGM",2,5,0.4
GOBP_GAS_TRANSPORT,7,2,1.16976748621205e-06,0.00940493058914486,"CYGB,BPGM",2,5,0.4
GOBP_CRANIAL_NERVE_DEVELOPMENT,45,2,5.49252162403369e-05,0.294399159048206,"KCNA1,ACKR3",2,5,0.4
GOBP_NERVE_DEVELOPMENT,61,2,0.000101356818559928,0.407454410610909,"KCNA1,ACKR3",2,5,0.4
GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT,722,3,0.000520469706141728,1,"KCNA1,ACKR3,BPGM",3,5,0.6
GOMF_C_X_C_CHEMOKINE_BINDING,3,1,0.000791640243363978,1,ACKR3,1,5,0.2
GOMF_VOLTAGE_GATED_MONOATOMIC_ION_CHANNEL_ACTIVITY_INVOLVED_IN_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,3,1,0.000791640243363978,1,KCNA1,1,5,0.2
GOBP_SENSORY_PERCEPTION_OF_TOUCH,4,1,0.00105540888275935,1,KCNA1,1,5,0.2
GOMF_NITRITE_REDUCTASE_ACTIVITY,4,1,0.00105540888275935,1,CYGB,1,5,0.2
GOMF_OXYGEN_CARRIER_ACTIVITY,4,1,0.00105540888275935,1,CYGB,1,5,0.2
GOMF_SUPEROXIDE_DISMUTASE_ACTIVITY,4,1,0.00105540888275935,1,CYGB,1,5,0.2
HP_CRANIOFACIAL_DISPROPORTION,4,1,0.00105540888275935,1,KCNA1,1,5,0.2
GOBP_CELLULAR_RESPONSE_TO_MAGNESIUM_ION,6,1,0.00158277905191107,1,KCNA1,1,5,0.2
GOBP_NEGATIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS,6,1,0.00158277905191107,1,CYGB,1,5,0.2
GOBP_NEURONAL_SIGNAL_TRANSDUCTION,6,1,0.00158277905191107,1,KCNA1,1,5,0.2
GOBP_REGULATION_OF_HEPATIC_STELLATE_CELL_ACTIVATION,6,1,0.00158277905191107,1,CYGB,1,5,0.2
GOMF_C_X_C_CHEMOKINE_RECEPTOR_ACTIVITY,6,1,0.00158277905191107,1,ACKR3,1,5,0.2
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_MIGRATION,7,1,0.0018463805993153,1,CYGB,1,5,0.2
GOBP_HEPATIC_STELLATE_CELL_ACTIVATION,8,1,0.0021099264670349,1,CYGB,1,5,0.2
GOBP_REGULATION_OF_PRESYNAPTIC_MEMBRANE_POTENTIAL,8,1,0.0021099264670349,1,KCNA1,1,5,0.2
HP_INCREASED_HEMATOCRIT,8,1,0.0021099264670349,1,BPGM,1,5,0.2
GOBP_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN,9,1,0.00237341666389102,1,KCNA1,1,5,0.2
GOBP_MAGNESIUM_ION_HOMEOSTASIS,9,1,0.00237341666389102,1,KCNA1,1,5,0.2
GOCC_JUXTAPARANODE_REGION_OF_AXON,9,1,0.00237341666389102,1,KCNA1,1,5,0.2
GOCC_PARANODE_REGION_OF_AXON,9,1,0.00237341666389102,1,KCNA1,1,5,0.2
GOMF_INTRAMOLECULAR_PHOSPHOTRANSFERASE_ACTIVITY,9,1,0.00237341666389102,1,BPGM,1,5,0.2
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_OTHER_NITROGENOUS_COMPOUNDS_AS_DONORS,9,1,0.00237341666389102,1,CYGB,1,5,0.2
HP_ABNORMAL_HEMATOCRIT,9,1,0.00237341666389102,1,BPGM,1,5,0.2
HP_FOCAL_SENSORY_SEIZURE,10,1,0.00263685119870327,1,KCNA1,1,5,0.2
HP_INCREASED_CIRCULATING_HEMOGLOBIN_CONCENTRATION,10,1,0.00263685119870327,1,BPGM,1,5,0.2
GOCC_CALYX_OF_HELD,11,1,0.00290023008029272,1,KCNA1,1,5,0.2
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_HEME_GROUP_OF_DONORS,12,1,0.00316355331747664,1,CYGB,1,5,0.2
